eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526348420813	1	{"lClicked":2,"mouseX":714,"mouseY":214,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526348461148	2	{"lClicked":2,"mouseX":740,"mouseY":162,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526348527668	3	{"lClicked":2,"mouseX":717,"mouseY":127,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526348637859	4	{"lClicked":2,"mouseX":770,"mouseY":123,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526348718993	5	{"lClicked":2,"mouseX":823,"mouseY":107,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526348774298	6	{"lClicked":1,"mouseX":496,"mouseY":117,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526348838587	7	{"lClicked":1,"mouseX":466,"mouseY":139,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526348879723	8	{"lClicked":1,"mouseX":464,"mouseY":129,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526348919278	9	{"lClicked":1,"mouseX":476,"mouseY":176,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526348946720	10	{"lClicked":0,"mouseX":170,"mouseY":114,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526349034270	11	{"lClicked":1,"mouseX":464,"mouseY":135,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526349122991	12	{"lClicked":0,"mouseX":221,"mouseY":208,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526349210606	13	{"lClicked":0,"mouseX":245,"mouseY":185,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526349232323	14	{"lClicked":1,"mouseX":515,"mouseY":141,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526349314037	15	{"lClicked":1,"mouseX":525,"mouseY":182,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526349348759	16	{"lClicked":2,"mouseX":726,"mouseY":153,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526349418123	17	{"lClicked":1,"mouseX":534,"mouseY":158,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526349456174	18	{"lClicked":2,"mouseX":775,"mouseY":173,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526349483384	19	{"lClicked":0,"mouseX":163,"mouseY":155,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526349509108	20	{"lClicked":0,"mouseX":115,"mouseY":146,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526349543739	21	{"lClicked":2,"mouseX":706,"mouseY":164,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526349595646	22	{"lClicked":2,"mouseX":808,"mouseY":140,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526349684085	23	{"lClicked":2,"mouseX":752,"mouseY":180,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526349732092	24	{"lClicked":0,"mouseX":224,"mouseY":122,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	1818-27bcf60d-7100-4a3e-8fee-59ad6b6051f0	1526349787544	25	{"lClicked":1,"mouseX":518,"mouseY":168,"condition":{"name":"FAR","numDiffs":4}}
