eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407089379	1	{"lClicked":0,"mouseX":169,"mouseY":141,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407130924	2	{"lClicked":2,"mouseX":671,"mouseY":93,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407154465	3	{"lClicked":0,"mouseX":157,"mouseY":134,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407194858	4	{"lClicked":1,"mouseX":497,"mouseY":62,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407213471	5	{"lClicked":0,"mouseX":167,"mouseY":122,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407236623	6	{"lClicked":2,"mouseX":755,"mouseY":40,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407261468	7	{"lClicked":2,"mouseX":767,"mouseY":117,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407292248	8	{"lClicked":2,"mouseX":736,"mouseY":59,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407337994	9	{"lClicked":0,"mouseX":167,"mouseY":114,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407363773	10	{"lClicked":0,"mouseX":227,"mouseY":179,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407383320	11	{"lClicked":2,"mouseX":772,"mouseY":104,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407426004	12	{"lClicked":2,"mouseX":648,"mouseY":64,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407469643	13	{"lClicked":1,"mouseX":476,"mouseY":134,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407503028	14	{"lClicked":0,"mouseX":190,"mouseY":67,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407529508	15	{"lClicked":2,"mouseX":765,"mouseY":119,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407552390	16	{"lClicked":2,"mouseX":743,"mouseY":76,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407563407	17	{"lClicked":2,"mouseX":834,"mouseY":133,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407585501	18	{"lClicked":2,"mouseX":769,"mouseY":47,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407606691	19	{"lClicked":2,"mouseX":772,"mouseY":140,"condition":{"name":"FAR","numDiffs":3}}
