eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407483494	1	{"lClicked":2,"mouseX":667,"mouseY":160,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407522717	2	{"lClicked":1,"mouseX":515,"mouseY":123,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407580351	3	{"lClicked":2,"mouseX":779,"mouseY":101,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407621181	4	{"lClicked":0,"mouseX":146,"mouseY":143,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407657311	5	{"lClicked":0,"mouseX":204,"mouseY":93,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407712854	6	{"lClicked":1,"mouseX":437,"mouseY":155,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407802834	7	{"lClicked":1,"mouseX":501,"mouseY":103,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407850670	8	{"lClicked":2,"mouseX":746,"mouseY":108,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407869258	9	{"lClicked":2,"mouseX":801,"mouseY":123,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407916331	10	{"lClicked":2,"mouseX":749,"mouseY":62,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407954782	11	{"lClicked":2,"mouseX":768,"mouseY":99,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407983959	12	{"lClicked":1,"mouseX":482,"mouseY":101,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526408107514	13	{"lClicked":1,"mouseX":404,"mouseY":136,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526408160513	14	{"lClicked":1,"mouseX":467,"mouseY":230,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526408231919	15	{"lClicked":2,"mouseX":675,"mouseY":88,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526408275568	16	{"lClicked":2,"mouseX":836,"mouseY":111,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526408308642	17	{"lClicked":1,"mouseX":451,"mouseY":122,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526408333572	18	{"lClicked":1,"mouseX":387,"mouseY":62,"condition":{"name":"SPLIT","numDiffs":5}}
