eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526419979081	1	{"lClicked":2,"mouseX":737,"mouseY":186,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420018579	2	{"lClicked":0,"mouseX":102,"mouseY":180,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420051665	3	{"lClicked":1,"mouseX":379,"mouseY":162,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420131034	4	{"lClicked":1,"mouseX":440,"mouseY":77,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420148043	5	{"lClicked":0,"mouseX":184,"mouseY":176,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420159154	6	{"lClicked":1,"mouseX":410,"mouseY":105,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420172419	7	{"lClicked":1,"mouseX":486,"mouseY":166,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420185369	8	{"lClicked":2,"mouseX":745,"mouseY":179,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420196651	9	{"lClicked":0,"mouseX":200,"mouseY":169,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420206617	10	{"lClicked":0,"mouseX":223,"mouseY":126,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420241340	11	{"lClicked":0,"mouseX":152,"mouseY":162,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420262554	12	{"lClicked":0,"mouseX":239,"mouseY":139,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420284196	13	{"lClicked":1,"mouseX":496,"mouseY":194,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420316226	14	{"lClicked":1,"mouseX":508,"mouseY":163,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420332101	15	{"lClicked":0,"mouseX":222,"mouseY":147,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420353076	16	{"lClicked":0,"mouseX":226,"mouseY":230,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420386109	17	{"lClicked":2,"mouseX":665,"mouseY":187,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420408077	18	{"lClicked":1,"mouseX":402,"mouseY":142,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420423294	19	{"lClicked":2,"mouseX":652,"mouseY":190,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420460472	20	{"lClicked":0,"mouseX":105,"mouseY":121,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420476615	21	{"lClicked":2,"mouseX":672,"mouseY":141,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420493762	22	{"lClicked":0,"mouseX":202,"mouseY":208,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420513175	23	{"lClicked":1,"mouseX":481,"mouseY":171,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420534080	24	{"lClicked":2,"mouseX":859,"mouseY":219,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420566896	25	{"lClicked":0,"mouseX":203,"mouseY":182,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420580531	26	{"lClicked":2,"mouseX":831,"mouseY":157,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	0133-f20abda3-ae08-4f8c-9b0a-b1566a83e141	1526420592344	27	{"lClicked":2,"mouseX":672,"mouseY":158,"condition":{"name":"CLOSE","numDiffs":7}}
