eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420222184	1	{"lClicked":0,"mouseX":195,"mouseY":132,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420314626	2	{"lClicked":0,"mouseX":246,"mouseY":126,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420356184	3	{"lClicked":1,"mouseX":455,"mouseY":115,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420394311	4	{"lClicked":0,"mouseX":141,"mouseY":231,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420415048	5	{"lClicked":2,"mouseX":725,"mouseY":126,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420434951	6	{"lClicked":2,"mouseX":771,"mouseY":126,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420450045	7	{"lClicked":1,"mouseX":407,"mouseY":129,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420485438	8	{"lClicked":1,"mouseX":490,"mouseY":172,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420496044	9	{"lClicked":2,"mouseX":752,"mouseY":133,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420515343	10	{"lClicked":0,"mouseX":191,"mouseY":167,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420528849	11	{"lClicked":0,"mouseX":169,"mouseY":109,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420550125	12	{"lClicked":1,"mouseX":505,"mouseY":127,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420596467	13	{"lClicked":0,"mouseX":167,"mouseY":90,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420627372	14	{"lClicked":2,"mouseX":770,"mouseY":180,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420642909	15	{"lClicked":0,"mouseX":229,"mouseY":126,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420663128	16	{"lClicked":0,"mouseX":289,"mouseY":123,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420811203	17	{"lClicked":1,"mouseX":435,"mouseY":101,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420825657	18	{"lClicked":2,"mouseX":698,"mouseY":117,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420835517	19	{"lClicked":2,"mouseX":658,"mouseY":91,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420846256	20	{"lClicked":2,"mouseX":715,"mouseY":103,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420871875	21	{"lClicked":0,"mouseX":191,"mouseY":101,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420885430	22	{"lClicked":2,"mouseX":654,"mouseY":120,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420921161	23	{"lClicked":1,"mouseX":508,"mouseY":151,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420933046	24	{"lClicked":0,"mouseX":86,"mouseY":168,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420944131	25	{"lClicked":2,"mouseX":764,"mouseY":106,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420957977	26	{"lClicked":1,"mouseX":488,"mouseY":164,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420976547	27	{"lClicked":1,"mouseX":428,"mouseY":183,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420991378	28	{"lClicked":1,"mouseX":413,"mouseY":136,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526421020906	29	{"lClicked":1,"mouseX":323,"mouseY":140,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526421034392	30	{"lClicked":1,"mouseX":452,"mouseY":153,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526421053009	31	{"lClicked":1,"mouseX":423,"mouseY":141,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526421066764	32	{"lClicked":2,"mouseX":779,"mouseY":143,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526421081009	33	{"lClicked":1,"mouseX":445,"mouseY":104,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526421096259	34	{"lClicked":0,"mouseX":190,"mouseY":121,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526421114233	35	{"lClicked":0,"mouseX":202,"mouseY":97,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526421124712	36	{"lClicked":2,"mouseX":764,"mouseY":116,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526421137449	37	{"lClicked":1,"mouseX":471,"mouseY":133,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526421179312	38	{"lClicked":1,"mouseX":393,"mouseY":131,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526421191587	39	{"lClicked":2,"mouseX":665,"mouseY":138,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526421210984	40	{"lClicked":2,"mouseX":747,"mouseY":162,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526421221149	41	{"lClicked":1,"mouseX":480,"mouseY":162,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526421264853	42	{"lClicked":0,"mouseX":179,"mouseY":192,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526421284219	43	{"lClicked":0,"mouseX":115,"mouseY":145,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526421307872	44	{"lClicked":1,"mouseX":511,"mouseY":145,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526421324969	45	{"lClicked":2,"mouseX":743,"mouseY":67,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526421343204	46	{"lClicked":0,"mouseX":98,"mouseY":116,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526421353277	47	{"lClicked":2,"mouseX":757,"mouseY":122,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526421373990	48	{"lClicked":0,"mouseX":198,"mouseY":218,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526421390855	49	{"lClicked":2,"mouseX":801,"mouseY":174,"condition":{"name":"CLOSE","numDiffs":4}}
