eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526421825809	1	{"lClicked":2,"mouseX":739,"mouseY":119,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526421858728	2	{"lClicked":0,"mouseX":166,"mouseY":146,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526421886356	3	{"lClicked":0,"mouseX":262,"mouseY":200,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526421920299	4	{"lClicked":2,"mouseX":773,"mouseY":116,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526421999425	5	{"lClicked":2,"mouseX":802,"mouseY":202,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422032248	6	{"lClicked":1,"mouseX":481,"mouseY":140,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422068784	7	{"lClicked":0,"mouseX":195,"mouseY":103,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422109145	8	{"lClicked":2,"mouseX":770,"mouseY":109,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422142835	9	{"lClicked":0,"mouseX":122,"mouseY":127,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422179789	10	{"lClicked":2,"mouseX":811,"mouseY":96,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422208125	11	{"lClicked":1,"mouseX":442,"mouseY":110,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422238602	12	{"lClicked":1,"mouseX":505,"mouseY":72,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422267815	13	{"lClicked":0,"mouseX":179,"mouseY":79,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422345273	14	{"lClicked":2,"mouseX":759,"mouseY":118,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422429883	15	{"lClicked":0,"mouseX":187,"mouseY":145,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422485716	16	{"lClicked":0,"mouseX":96,"mouseY":102,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422524560	17	{"lClicked":0,"mouseX":152,"mouseY":194,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422562556	18	{"lClicked":2,"mouseX":728,"mouseY":154,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422603817	19	{"lClicked":2,"mouseX":780,"mouseY":203,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422645378	20	{"lClicked":0,"mouseX":216,"mouseY":106,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422685491	21	{"lClicked":0,"mouseX":183,"mouseY":140,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422712255	22	{"lClicked":0,"mouseX":175,"mouseY":146,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422739656	23	{"lClicked":2,"mouseX":792,"mouseY":105,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422804691	24	{"lClicked":2,"mouseX":713,"mouseY":110,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422838381	25	{"lClicked":1,"mouseX":508,"mouseY":137,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422867693	26	{"lClicked":0,"mouseX":242,"mouseY":93,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422948478	27	{"lClicked":0,"mouseX":188,"mouseY":101,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422982975	28	{"lClicked":1,"mouseX":467,"mouseY":123,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526423004646	29	{"lClicked":0,"mouseX":177,"mouseY":116,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526423029226	30	{"lClicked":2,"mouseX":842,"mouseY":77,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526423053757	31	{"lClicked":1,"mouseX":437,"mouseY":136,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526423087378	32	{"lClicked":1,"mouseX":514,"mouseY":169,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526423108148	33	{"lClicked":0,"mouseX":143,"mouseY":119,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526423211856	34	{"lClicked":1,"mouseX":508,"mouseY":114,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526423242310	35	{"lClicked":1,"mouseX":460,"mouseY":139,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526423273918	36	{"lClicked":0,"mouseX":225,"mouseY":96,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526423321652	37	{"lClicked":0,"mouseX":123,"mouseY":172,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526423339752	38	{"lClicked":2,"mouseX":797,"mouseY":100,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526423356969	39	{"lClicked":2,"mouseX":783,"mouseY":68,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526423389605	40	{"lClicked":0,"mouseX":207,"mouseY":96,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526423407601	41	{"lClicked":0,"mouseX":201,"mouseY":100,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526423449138	42	{"lClicked":2,"mouseX":678,"mouseY":138,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526423470195	43	{"lClicked":1,"mouseX":452,"mouseY":106,"condition":{"name":"FAR","numDiffs":1}}
