eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526424761758	1	{"lClicked":0,"mouseX":261,"mouseY":149,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526424780959	2	{"lClicked":0,"mouseX":170,"mouseY":161,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526424835837	3	{"lClicked":0,"mouseX":296,"mouseY":148,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526424860934	4	{"lClicked":0,"mouseX":131,"mouseY":150,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526424880343	5	{"lClicked":1,"mouseX":487,"mouseY":104,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526424912087	6	{"lClicked":2,"mouseX":747,"mouseY":190,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425003750	7	{"lClicked":0,"mouseX":177,"mouseY":101,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425016302	8	{"lClicked":1,"mouseX":492,"mouseY":115,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425076020	9	{"lClicked":1,"mouseX":455,"mouseY":216,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425125376	10	{"lClicked":0,"mouseX":120,"mouseY":166,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425187458	11	{"lClicked":0,"mouseX":251,"mouseY":132,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425220165	12	{"lClicked":2,"mouseX":757,"mouseY":125,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425252941	13	{"lClicked":0,"mouseX":251,"mouseY":100,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425272750	14	{"lClicked":0,"mouseX":181,"mouseY":149,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425314121	15	{"lClicked":1,"mouseX":432,"mouseY":106,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425351650	16	{"lClicked":2,"mouseX":793,"mouseY":130,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425381348	17	{"lClicked":0,"mouseX":272,"mouseY":109,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425422852	18	{"lClicked":1,"mouseX":425,"mouseY":114,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425448267	19	{"lClicked":1,"mouseX":409,"mouseY":139,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425482016	20	{"lClicked":1,"mouseX":455,"mouseY":152,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425530459	21	{"lClicked":1,"mouseX":401,"mouseY":140,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425545685	22	{"lClicked":2,"mouseX":800,"mouseY":166,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425564824	23	{"lClicked":1,"mouseX":427,"mouseY":93,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425581839	24	{"lClicked":2,"mouseX":758,"mouseY":147,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425601524	25	{"lClicked":1,"mouseX":541,"mouseY":149,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	6723-45763cd6-1ad2-4d33-9864-c52f0b4e23f7	1526425628645	26	{"lClicked":0,"mouseX":213,"mouseY":154,"condition":{"name":"SPLIT","numDiffs":1}}
