eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526431795107	1	{"lClicked":0,"mouseX":192,"mouseY":107,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526431838491	2	{"lClicked":1,"mouseX":512,"mouseY":157,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526431853296	3	{"lClicked":0,"mouseX":168,"mouseY":157,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526431872287	4	{"lClicked":2,"mouseX":773,"mouseY":220,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526431888876	5	{"lClicked":0,"mouseX":180,"mouseY":126,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526431934375	6	{"lClicked":2,"mouseX":727,"mouseY":126,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526431949142	7	{"lClicked":2,"mouseX":712,"mouseY":104,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526431976665	8	{"lClicked":2,"mouseX":719,"mouseY":93,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526432012798	9	{"lClicked":1,"mouseX":482,"mouseY":130,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526432047072	10	{"lClicked":0,"mouseX":214,"mouseY":125,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526432088140	11	{"lClicked":2,"mouseX":744,"mouseY":117,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526432129642	12	{"lClicked":1,"mouseX":380,"mouseY":51,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526432156751	13	{"lClicked":1,"mouseX":497,"mouseY":135,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526432197091	14	{"lClicked":0,"mouseX":160,"mouseY":132,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526432212683	15	{"lClicked":2,"mouseX":747,"mouseY":105,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526432260362	16	{"lClicked":2,"mouseX":697,"mouseY":124,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526432274768	17	{"lClicked":1,"mouseX":434,"mouseY":84,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526432292975	18	{"lClicked":0,"mouseX":195,"mouseY":125,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526432324089	19	{"lClicked":0,"mouseX":135,"mouseY":168,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526432349474	20	{"lClicked":2,"mouseX":699,"mouseY":110,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526432390090	21	{"lClicked":0,"mouseX":201,"mouseY":168,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526432422759	22	{"lClicked":2,"mouseX":764,"mouseY":82,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526432453027	23	{"lClicked":2,"mouseX":658,"mouseY":62,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526432490964	24	{"lClicked":0,"mouseX":198,"mouseY":125,"condition":{"name":"CLOSE","numDiffs":2}}
