eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434028452	1	{"lClicked":2,"mouseX":764,"mouseY":118,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434051126	2	{"lClicked":2,"mouseX":791,"mouseY":78,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434084874	3	{"lClicked":2,"mouseX":846,"mouseY":156,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434104409	4	{"lClicked":1,"mouseX":442,"mouseY":172,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434138701	5	{"lClicked":1,"mouseX":372,"mouseY":168,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434239968	6	{"lClicked":0,"mouseX":125,"mouseY":71,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434275579	7	{"lClicked":1,"mouseX":507,"mouseY":109,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434297331	8	{"lClicked":1,"mouseX":478,"mouseY":57,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434358394	9	{"lClicked":2,"mouseX":685,"mouseY":138,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434381656	10	{"lClicked":0,"mouseX":113,"mouseY":213,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434420612	11	{"lClicked":2,"mouseX":794,"mouseY":106,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434508562	12	{"lClicked":1,"mouseX":413,"mouseY":90,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434563278	13	{"lClicked":0,"mouseX":216,"mouseY":123,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434588330	14	{"lClicked":1,"mouseX":484,"mouseY":87,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434616064	15	{"lClicked":0,"mouseX":173,"mouseY":104,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434722671	16	{"lClicked":1,"mouseX":404,"mouseY":52,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434745177	17	{"lClicked":0,"mouseX":147,"mouseY":109,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434824894	18	{"lClicked":2,"mouseX":764,"mouseY":62,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434847966	19	{"lClicked":1,"mouseX":399,"mouseY":163,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434911194	20	{"lClicked":1,"mouseX":507,"mouseY":72,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434943115	21	{"lClicked":2,"mouseX":704,"mouseY":69,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526435006323	22	{"lClicked":2,"mouseX":771,"mouseY":92,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526435025482	23	{"lClicked":2,"mouseX":753,"mouseY":133,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526435061783	24	{"lClicked":0,"mouseX":220,"mouseY":72,"condition":{"name":"SPLIT","numDiffs":6}}
