eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495156322	1	{"lClicked":2,"mouseX":700,"mouseY":71,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495215671	2	{"lClicked":2,"mouseX":792,"mouseY":157,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495232380	3	{"lClicked":0,"mouseX":168,"mouseY":61,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495306652	4	{"lClicked":1,"mouseX":486,"mouseY":149,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495359231	5	{"lClicked":2,"mouseX":735,"mouseY":171,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495374344	6	{"lClicked":2,"mouseX":725,"mouseY":127,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495407452	7	{"lClicked":0,"mouseX":201,"mouseY":120,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495423974	8	{"lClicked":1,"mouseX":474,"mouseY":119,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495452533	9	{"lClicked":0,"mouseX":132,"mouseY":131,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495486196	10	{"lClicked":2,"mouseX":777,"mouseY":183,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495509369	11	{"lClicked":2,"mouseX":760,"mouseY":176,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495535627	12	{"lClicked":1,"mouseX":449,"mouseY":130,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495557399	13	{"lClicked":1,"mouseX":410,"mouseY":216,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495581026	14	{"lClicked":2,"mouseX":815,"mouseY":164,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495607814	15	{"lClicked":2,"mouseX":731,"mouseY":91,"condition":{"name":"FAR","numDiffs":7}}
