eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	0781-6d39940b-f8b8-4b3a-addb-a7445d06f2c3	1526505386250	1	{"lClicked":1,"mouseX":360,"mouseY":118,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	0781-6d39940b-f8b8-4b3a-addb-a7445d06f2c3	1526505487455	2	{"lClicked":0,"mouseX":228,"mouseY":133,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	0781-6d39940b-f8b8-4b3a-addb-a7445d06f2c3	1526505576503	3	{"lClicked":2,"mouseX":819,"mouseY":108,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	0781-6d39940b-f8b8-4b3a-addb-a7445d06f2c3	1526505624630	4	{"lClicked":0,"mouseX":150,"mouseY":187,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	0781-6d39940b-f8b8-4b3a-addb-a7445d06f2c3	1526505653309	5	{"lClicked":2,"mouseX":759,"mouseY":155,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	0781-6d39940b-f8b8-4b3a-addb-a7445d06f2c3	1526505723043	6	{"lClicked":2,"mouseX":871,"mouseY":143,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	0781-6d39940b-f8b8-4b3a-addb-a7445d06f2c3	1526505732315	7	{"lClicked":1,"mouseX":462,"mouseY":69,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	0781-6d39940b-f8b8-4b3a-addb-a7445d06f2c3	1526505760055	8	{"lClicked":0,"mouseX":187,"mouseY":174,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	0781-6d39940b-f8b8-4b3a-addb-a7445d06f2c3	1526505777780	9	{"lClicked":2,"mouseX":780,"mouseY":50,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	0781-6d39940b-f8b8-4b3a-addb-a7445d06f2c3	1526505859683	10	{"lClicked":1,"mouseX":468,"mouseY":154,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	0781-6d39940b-f8b8-4b3a-addb-a7445d06f2c3	1526505879397	11	{"lClicked":1,"mouseX":382,"mouseY":161,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	0781-6d39940b-f8b8-4b3a-addb-a7445d06f2c3	1526505914127	12	{"lClicked":1,"mouseX":418,"mouseY":156,"condition":{"name":"SPLIT","numDiffs":1}}
