eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526506882361	1	{"lClicked":1,"mouseX":483,"mouseY":126,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526506918997	2	{"lClicked":0,"mouseX":190,"mouseY":149,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526506965533	3	{"lClicked":1,"mouseX":504,"mouseY":118,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526506986968	4	{"lClicked":1,"mouseX":516,"mouseY":116,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507007758	5	{"lClicked":0,"mouseX":163,"mouseY":137,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507028738	6	{"lClicked":2,"mouseX":661,"mouseY":62,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507066407	7	{"lClicked":2,"mouseX":717,"mouseY":149,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507084394	8	{"lClicked":1,"mouseX":395,"mouseY":59,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507101896	9	{"lClicked":1,"mouseX":486,"mouseY":125,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507135140	10	{"lClicked":2,"mouseX":655,"mouseY":49,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507151593	11	{"lClicked":1,"mouseX":471,"mouseY":157,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507170823	12	{"lClicked":2,"mouseX":698,"mouseY":116,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507196439	13	{"lClicked":0,"mouseX":191,"mouseY":132,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507216269	14	{"lClicked":2,"mouseX":684,"mouseY":174,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507231433	15	{"lClicked":0,"mouseX":167,"mouseY":213,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507246566	16	{"lClicked":0,"mouseX":149,"mouseY":132,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507260914	17	{"lClicked":1,"mouseX":509,"mouseY":115,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507275555	18	{"lClicked":2,"mouseX":691,"mouseY":94,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507293032	19	{"lClicked":2,"mouseX":733,"mouseY":141,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507310281	20	{"lClicked":1,"mouseX":435,"mouseY":129,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507328062	21	{"lClicked":2,"mouseX":742,"mouseY":135,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507342545	22	{"lClicked":1,"mouseX":457,"mouseY":84,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507377688	23	{"lClicked":2,"mouseX":756,"mouseY":147,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507389317	24	{"lClicked":2,"mouseX":651,"mouseY":54,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507411342	25	{"lClicked":0,"mouseX":158,"mouseY":194,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507425071	26	{"lClicked":1,"mouseX":376,"mouseY":68,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507462996	27	{"lClicked":0,"mouseX":127,"mouseY":130,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507482465	28	{"lClicked":1,"mouseX":436,"mouseY":125,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507494943	29	{"lClicked":0,"mouseX":185,"mouseY":128,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507514874	30	{"lClicked":1,"mouseX":474,"mouseY":116,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507531609	31	{"lClicked":1,"mouseX":471,"mouseY":130,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507545336	32	{"lClicked":0,"mouseX":119,"mouseY":91,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507597868	33	{"lClicked":1,"mouseX":468,"mouseY":164,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507611073	34	{"lClicked":1,"mouseX":503,"mouseY":117,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507624506	35	{"lClicked":2,"mouseX":745,"mouseY":170,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507636940	36	{"lClicked":1,"mouseX":414,"mouseY":100,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507652343	37	{"lClicked":1,"mouseX":478,"mouseY":161,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507674625	38	{"lClicked":2,"mouseX":717,"mouseY":106,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507691692	39	{"lClicked":0,"mouseX":166,"mouseY":143,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507711286	40	{"lClicked":2,"mouseX":683,"mouseY":88,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507736275	41	{"lClicked":1,"mouseX":448,"mouseY":172,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507748856	42	{"lClicked":1,"mouseX":399,"mouseY":56,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507772129	43	{"lClicked":1,"mouseX":415,"mouseY":153,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507793230	44	{"lClicked":2,"mouseX":680,"mouseY":122,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507818160	45	{"lClicked":2,"mouseX":775,"mouseY":144,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507840077	46	{"lClicked":0,"mouseX":193,"mouseY":114,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507860658	47	{"lClicked":1,"mouseX":502,"mouseY":147,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507876869	48	{"lClicked":1,"mouseX":534,"mouseY":57,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507899651	49	{"lClicked":1,"mouseX":476,"mouseY":124,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507917716	50	{"lClicked":2,"mouseX":661,"mouseY":65,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507933556	51	{"lClicked":0,"mouseX":181,"mouseY":153,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507957279	52	{"lClicked":1,"mouseX":578,"mouseY":50,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507971267	53	{"lClicked":1,"mouseX":468,"mouseY":152,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507995925	54	{"lClicked":1,"mouseX":490,"mouseY":107,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526508025594	55	{"lClicked":2,"mouseX":771,"mouseY":154,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526508046447	56	{"lClicked":2,"mouseX":724,"mouseY":88,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526508078039	57	{"lClicked":2,"mouseX":748,"mouseY":124,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526508089870	58	{"lClicked":2,"mouseX":671,"mouseY":55,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526508110319	59	{"lClicked":1,"mouseX":411,"mouseY":165,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526508132574	60	{"lClicked":2,"mouseX":647,"mouseY":147,"condition":{"name":"CLOSE","numDiffs":2}}
