eventType	type	gameid	time	roundNum	state
state	StateColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319037135	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[222,29,50]},{"color":[201,87,50]},{"color":[343,48,50]},{"color":[205,19,50]},{"color":[69,36,50]},{"color":[352,20,50]},{"color":[98,15,50]},{"color":[60,46,50]},{"color":[16,47,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[107,42,50]},{"color":[274,35,50]},{"color":[223,62,50]},{"color":[98,62,50]},{"color":[234,39,50]},{"color":[269,53,50]},{"color":[98,15,50]},{"color":[60,46,50]},{"color":[339,11,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[245,51,50]},{"color":[194,97,50]},{"color":[336,23,50]},{"color":[138,2,50]},{"color":[61,60,50]},{"color":[214,0,50]},{"color":[98,15,50]},{"color":[60,46,50]},{"color":[30,34,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT","numDiffs":7}}
state	StateColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319087993	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[262,4,50]},{"color":[307,80,50]},{"color":[297,65,50]},{"color":[175,12,50]},{"color":[284,74,50]},{"color":[17,49,50]},{"color":[4,95,50]},{"color":[95,30,50]},{"color":[257,44,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[262,4,50]},{"color":[288,78,50]},{"color":[322,49,50]},{"color":[150,32,50]},{"color":[274,98,50]},{"color":[19,14,50]},{"color":[4,95,50]},{"color":[158,42,50]},{"color":[257,44,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[262,4,50]},{"color":[272,92,50]},{"color":[300,13,50]},{"color":[171,50,50]},{"color":[224,93,50]},{"color":[31,18,50]},{"color":[4,95,50]},{"color":[155,9,50]},{"color":[257,44,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE","numDiffs":6}}
state	StateColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319157028	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[310,69,50]},{"color":[311,0,50]},{"color":[208,45,50]},{"color":[111,30,50]},{"color":[286,30,50]},{"color":[76,89,50]},{"color":[219,40,50]},{"color":[176,19,50]},{"color":[160,33,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[280,46,50]},{"color":[335,11,50]},{"color":[199,86,50]},{"color":[80,54,50]},{"color":[323,87,50]},{"color":[76,89,50]},{"color":[252,42,50]},{"color":[176,19,50]},{"color":[160,33,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[174,42,50]},{"color":[252,33,50]},{"color":[42,15,50]},{"color":[5,45,50]},{"color":[12,85,50]},{"color":[76,89,50]},{"color":[47,24,50]},{"color":[176,19,50]},{"color":[160,33,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT","numDiffs":6}}
state	StateColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319182321	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[238,77,50]},{"color":[337,93,50]},{"color":[186,68,50]},{"color":[217,8,50]},{"color":[335,86,50]},{"color":[6,56,50]},{"color":[43,20,50]},{"color":[136,91,50]},{"color":[72,73,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[238,77,50]},{"color":[116,48,50]},{"color":[155,19,50]},{"color":[256,50,50]},{"color":[172,94,50]},{"color":[164,92,50]},{"color":[201,97,50]},{"color":[195,9,50]},{"color":[6,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[238,77,50]},{"color":[228,94,50]},{"color":[240,23,50]},{"color":[28,63,50]},{"color":[95,74,50]},{"color":[214,77,50]},{"color":[157,68,50]},{"color":[233,42,50]},{"color":[302,42,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"FAR","numDiffs":8}}
state	StateColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319193497	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[316,77,50]},{"color":[331,42,50]},{"color":[146,41,50]},{"color":[148,85,50]},{"color":[177,97,50]},{"color":[68,95,50]},{"color":[265,81,50]},{"color":[101,44,50]},{"color":[174,22,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[84,48,50]},{"color":[268,93,50]},{"color":[146,41,50]},{"color":[201,54,50]},{"color":[64,9,50]},{"color":[68,95,50]},{"color":[14,84,50]},{"color":[151,11,50]},{"color":[250,13,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[108,9,50]},{"color":[56,68,50]},{"color":[146,41,50]},{"color":[261,41,50]},{"color":[247,46,50]},{"color":[68,95,50]},{"color":[107,58,50]},{"color":[342,12,50]},{"color":[76,82,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[1,2,0],"condition":{"name":"FAR","numDiffs":7}}
state	StateColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319226196	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[248,16,50]},{"color":[79,81,50]},{"color":[282,26,50]},{"color":[36,42,50]},{"color":[221,58,50]},{"color":[30,18,50]},{"color":[348,84,50]},{"color":[215,6,50]},{"color":[256,14,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[248,16,50]},{"color":[79,81,50]},{"color":[282,26,50]},{"color":[36,42,50]},{"color":[221,58,50]},{"color":[30,18,50]},{"color":[348,84,50]},{"color":[215,6,50]},{"color":[281,48,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[248,16,50]},{"color":[79,81,50]},{"color":[282,26,50]},{"color":[36,42,50]},{"color":[221,58,50]},{"color":[30,18,50]},{"color":[348,84,50]},{"color":[215,6,50]},{"color":[233,40,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE","numDiffs":1}}
state	StateColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319240543	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[208,24,50]},{"color":[310,64,50]},{"color":[254,36,50]},{"color":[235,16,50]},{"color":[229,87,50]},{"color":[83,44,50]},{"color":[338,27,50]},{"color":[82,94,50]},{"color":[206,92,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[38,0,50]},{"color":[319,81,50]},{"color":[254,36,50]},{"color":[235,16,50]},{"color":[229,87,50]},{"color":[83,44,50]},{"color":[349,62,50]},{"color":[82,94,50]},{"color":[206,92,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[144,5,50]},{"color":[287,57,50]},{"color":[254,36,50]},{"color":[235,16,50]},{"color":[229,87,50]},{"color":[83,44,50]},{"color":[352,38,50]},{"color":[82,94,50]},{"color":[206,92,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE","numDiffs":3}}
state	StateColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319252694	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[49,4,50]},{"color":[45,87,50]},{"color":[123,31,50]},{"color":[266,59,50]},{"color":[161,85,50]},{"color":[211,89,50]},{"color":[138,80,50]},{"color":[349,89,50]},{"color":[175,71,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[49,4,50]},{"color":[89,92,50]},{"color":[123,31,50]},{"color":[320,35,50]},{"color":[161,85,50]},{"color":[211,89,50]},{"color":[138,80,50]},{"color":[349,89,50]},{"color":[175,71,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[49,4,50]},{"color":[264,76,50]},{"color":[123,31,50]},{"color":[199,30,50]},{"color":[161,85,50]},{"color":[211,89,50]},{"color":[138,80,50]},{"color":[349,89,50]},{"color":[175,71,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":2}}
state	StateColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319281471	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[134,91,50]},{"color":[354,19,50]},{"color":[7,72,50]},{"color":[82,19,50]},{"color":[59,42,50]},{"color":[345,74,50]},{"color":[20,30,50]},{"color":[232,13,50]},{"color":[92,18,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[134,91,50]},{"color":[354,19,50]},{"color":[265,48,50]},{"color":[96,75,50]},{"color":[140,78,50]},{"color":[345,74,50]},{"color":[20,30,50]},{"color":[232,13,50]},{"color":[92,18,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[134,91,50]},{"color":[354,19,50]},{"color":[27,71,50]},{"color":[175,23,50]},{"color":[69,36,50]},{"color":[345,74,50]},{"color":[20,30,50]},{"color":[232,13,50]},{"color":[92,18,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT","numDiffs":3}}
state	StateColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319316741	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[153,62,50]},{"color":[17,10,50]},{"color":[85,79,50]},{"color":[145,11,50]},{"color":[34,95,50]},{"color":[273,1,50]},{"color":[102,97,50]},{"color":[242,8,50]},{"color":[25,68,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[142,82,50]},{"color":[347,18,50]},{"color":[85,79,50]},{"color":[145,11,50]},{"color":[34,95,50]},{"color":[273,1,50]},{"color":[102,97,50]},{"color":[280,17,50]},{"color":[24,50,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[130,57,50]},{"color":[299,1,50]},{"color":[85,79,50]},{"color":[145,11,50]},{"color":[34,95,50]},{"color":[273,1,50]},{"color":[102,97,50]},{"color":[7,2,50]},{"color":[29,17,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":4}}
