eventType	type	gameid	time	roundNum	state
state	StateColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332726593	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[247,39,50]},{"color":[167,41,50]},{"color":[69,86,50]},{"color":[315,28,50]},{"color":[185,16,50]},{"color":[268,18,50]},{"color":[114,66,50]},{"color":[280,1,50]},{"color":[276,42,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[158,84,50]},{"color":[200,80,50]},{"color":[329,84,50]},{"color":[150,42,50]},{"color":[185,16,50]},{"color":[85,40,50]},{"color":[61,62,50]},{"color":[66,96,50]},{"color":[172,35,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[304,39,50]},{"color":[129,49,50]},{"color":[78,78,50]},{"color":[288,56,50]},{"color":[185,16,50]},{"color":[295,42,50]},{"color":[114,97,50]},{"color":[25,8,50]},{"color":[300,93,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT","numDiffs":8}}
state	StateColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332786492	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[265,4,50]},{"color":[59,53,50]},{"color":[186,69,50]},{"color":[244,87,50]},{"color":[211,63,50]},{"color":[246,55,50]},{"color":[184,79,50]},{"color":[243,77,50]},{"color":[354,63,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[265,4,50]},{"color":[59,53,50]},{"color":[195,53,50]},{"color":[264,48,50]},{"color":[211,63,50]},{"color":[246,55,50]},{"color":[184,79,50]},{"color":[273,86,50]},{"color":[1,77,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[265,4,50]},{"color":[59,53,50]},{"color":[198,74,50]},{"color":[269,80,50]},{"color":[211,63,50]},{"color":[246,55,50]},{"color":[184,79,50]},{"color":[262,60,50]},{"color":[351,82,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE","numDiffs":4}}
state	StateColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332811449	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[350,73,50]},{"color":[328,22,50]},{"color":[341,71,50]},{"color":[122,39,50]},{"color":[179,4,50]},{"color":[140,5,50]},{"color":[140,89,50]},{"color":[332,76,50]},{"color":[226,22,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[358,30,50]},{"color":[328,22,50]},{"color":[341,71,50]},{"color":[93,44,50]},{"color":[179,4,50]},{"color":[164,31,50]},{"color":[140,89,50]},{"color":[348,82,50]},{"color":[226,22,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[343,85,50]},{"color":[328,22,50]},{"color":[341,71,50]},{"color":[152,94,50]},{"color":[179,4,50]},{"color":[121,21,50]},{"color":[140,89,50]},{"color":[355,33,50]},{"color":[226,22,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE","numDiffs":4}}
state	StateColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332893250	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[310,43,50]},{"color":[281,38,50]},{"color":[151,85,50]},{"color":[197,92,50]},{"color":[67,1,50]},{"color":[336,32,50]},{"color":[95,17,50]},{"color":[241,37,50]},{"color":[127,74,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[271,78,50]},{"color":[318,26,50]},{"color":[151,85,50]},{"color":[197,92,50]},{"color":[67,1,50]},{"color":[336,32,50]},{"color":[95,17,50]},{"color":[241,37,50]},{"color":[79,92,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[250,32,50]},{"color":[273,51,50]},{"color":[151,85,50]},{"color":[197,92,50]},{"color":[67,1,50]},{"color":[336,32,50]},{"color":[95,17,50]},{"color":[241,37,50]},{"color":[97,83,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":3}}
state	StateColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332956705	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[314,70,50]},{"color":[69,44,50]},{"color":[254,28,50]},{"color":[41,41,50]},{"color":[146,50,50]},{"color":[4,34,50]},{"color":[114,41,50]},{"color":[70,51,50]},{"color":[143,97,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[319,42,50]},{"color":[69,44,50]},{"color":[273,51,50]},{"color":[31,73,50]},{"color":[113,83,50]},{"color":[359,81,50]},{"color":[158,33,50]},{"color":[69,17,50]},{"color":[143,97,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[346,32,50]},{"color":[69,44,50]},{"color":[269,14,50]},{"color":[42,60,50]},{"color":[151,80,50]},{"color":[20,84,50]},{"color":[108,28,50]},{"color":[45,47,50]},{"color":[143,97,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE","numDiffs":7}}
state	StateColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332990556	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[221,62,50]},{"color":[314,68,50]},{"color":[294,91,50]},{"color":[342,93,50]},{"color":[93,59,50]},{"color":[108,85,50]},{"color":[34,62,50]},{"color":[316,59,50]},{"color":[272,57,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[215,69,50]},{"color":[336,48,50]},{"color":[307,76,50]},{"color":[329,33,50]},{"color":[68,48,50]},{"color":[142,47,50]},{"color":[22,70,50]},{"color":[316,59,50]},{"color":[261,85,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[173,67,50]},{"color":[129,22,50]},{"color":[241,50,50]},{"color":[195,58,50]},{"color":[352,46,50]},{"color":[211,49,50]},{"color":[277,34,50]},{"color":[316,59,50]},{"color":[169,20,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT","numDiffs":8}}
state	StateColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526333058746	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[345,19,50]},{"color":[310,65,50]},{"color":[232,69,50]},{"color":[141,7,50]},{"color":[29,79,50]},{"color":[268,49,50]},{"color":[307,42,50]},{"color":[111,37,50]},{"color":[64,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[353,49,50]},{"color":[343,32,50]},{"color":[263,38,50]},{"color":[3,5,50]},{"color":[29,79,50]},{"color":[268,49,50]},{"color":[309,65,50]},{"color":[111,37,50]},{"color":[82,64,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[0,58,50]},{"color":[302,26,50]},{"color":[287,61,50]},{"color":[180,8,50]},{"color":[29,79,50]},{"color":[268,49,50]},{"color":[276,86,50]},{"color":[111,37,50]},{"color":[51,39,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE","numDiffs":6}}
state	StateColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526333091338	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[32,69,50]},{"color":[139,62,50]},{"color":[39,8,50]},{"color":[291,69,50]},{"color":[32,72,50]},{"color":[9,58,50]},{"color":[8,52,50]},{"color":[129,22,50]},{"color":[345,54,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[32,69,50]},{"color":[196,18,50]},{"color":[115,83,50]},{"color":[91,71,50]},{"color":[235,37,50]},{"color":[168,86,50]},{"color":[8,52,50]},{"color":[129,22,50]},{"color":[141,45,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[32,69,50]},{"color":[131,83,50]},{"color":[21,8,50]},{"color":[248,50,50]},{"color":[33,46,50]},{"color":[23,58,50]},{"color":[8,52,50]},{"color":[129,22,50]},{"color":[338,34,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT","numDiffs":6}}
state	StateColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526333178698	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[209,70,50]},{"color":[219,39,50]},{"color":[103,3,50]},{"color":[285,90,50]},{"color":[332,58,50]},{"color":[130,66,50]},{"color":[144,79,50]},{"color":[95,28,50]},{"color":[221,86,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[100,12,50]},{"color":[219,39,50]},{"color":[103,3,50]},{"color":[285,90,50]},{"color":[332,58,50]},{"color":[260,66,50]},{"color":[144,79,50]},{"color":[353,90,50]},{"color":[341,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[206,43,50]},{"color":[219,39,50]},{"color":[103,3,50]},{"color":[285,90,50]},{"color":[332,58,50]},{"color":[106,41,50]},{"color":[144,79,50]},{"color":[150,15,50]},{"color":[240,91,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT","numDiffs":4}}
state	StateColorGrid	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526333215030	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[170,68,50]},{"color":[190,45,50]},{"color":[202,99,50]},{"color":[60,61,50]},{"color":[170,84,50]},{"color":[297,0,50]},{"color":[51,98,50]},{"color":[65,83,50]},{"color":[240,60,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[290,24,50]},{"color":[190,45,50]},{"color":[202,99,50]},{"color":[60,61,50]},{"color":[117,52,50]},{"color":[33,86,50]},{"color":[189,75,50]},{"color":[39,28,50]},{"color":[103,89,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[313,47,50]},{"color":[190,45,50]},{"color":[202,99,50]},{"color":[60,61,50]},{"color":[106,23,50]},{"color":[24,47,50]},{"color":[196,40,50]},{"color":[90,12,50]},{"color":[95,63,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT","numDiffs":6}}
