eventType	type	gameid	time	roundNum	state
state	StateColorGrid	8947-20d9cd70-d0da-4406-82c9-dacd37727c93	1526333755322	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[291,31,50]},{"color":[39,38,50]},{"color":[303,34,50]},{"color":[244,4,50]},{"color":[26,33,50]},{"color":[179,79,50]},{"color":[77,89,50]},{"color":[43,17,50]},{"color":[281,57,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[291,31,50]},{"color":[39,38,50]},{"color":[303,34,50]},{"color":[140,11,50]},{"color":[26,33,50]},{"color":[179,79,50]},{"color":[77,89,50]},{"color":[126,15,50]},{"color":[281,57,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[291,31,50]},{"color":[39,38,50]},{"color":[303,34,50]},{"color":[23,1,50]},{"color":[26,33,50]},{"color":[179,79,50]},{"color":[77,89,50]},{"color":[123,2,50]},{"color":[281,57,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE","numDiffs":2}}
state	StateColorGrid	8947-20d9cd70-d0da-4406-82c9-dacd37727c93	1526333782901	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[181,20,50]},{"color":[57,34,50]},{"color":[299,46,50]},{"color":[305,52,50]},{"color":[286,0,50]},{"color":[123,24,50]},{"color":[110,21,50]},{"color":[223,77,50]},{"color":[334,16,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[43,57,50]},{"color":[307,27,50]},{"color":[299,46,50]},{"color":[305,52,50]},{"color":[92,81,50]},{"color":[37,34,50]},{"color":[110,21,50]},{"color":[348,92,50]},{"color":[112,67,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[333,37,50]},{"color":[37,6,50]},{"color":[299,46,50]},{"color":[305,52,50]},{"color":[249,31,50]},{"color":[336,78,50]},{"color":[110,21,50]},{"color":[129,71,50]},{"color":[14,83,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":6}}
state	StateColorGrid	8947-20d9cd70-d0da-4406-82c9-dacd37727c93	1526333814977	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[21,60,50]},{"color":[10,23,50]},{"color":[61,16,50]},{"color":[261,42,50]},{"color":[37,49,50]},{"color":[279,92,50]},{"color":[113,83,50]},{"color":[191,79,50]},{"color":[167,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[112,4,50]},{"color":[10,23,50]},{"color":[224,39,50]},{"color":[244,7,50]},{"color":[210,53,50]},{"color":[224,35,50]},{"color":[113,83,50]},{"color":[251,65,50]},{"color":[137,95,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[196,33,50]},{"color":[10,23,50]},{"color":[205,40,50]},{"color":[330,18,50]},{"color":[216,28,50]},{"color":[258,5,50]},{"color":[113,83,50]},{"color":[265,28,50]},{"color":[86,91,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT","numDiffs":7}}
state	StateColorGrid	8947-20d9cd70-d0da-4406-82c9-dacd37727c93	1526333879865	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[226,9,50]},{"color":[107,7,50]},{"color":[168,78,50]},{"color":[334,87,50]},{"color":[8,85,50]},{"color":[58,55,50]},{"color":[296,85,50]},{"color":[112,2,50]},{"color":[186,97,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[226,9,50]},{"color":[107,7,50]},{"color":[168,78,50]},{"color":[8,34,50]},{"color":[8,85,50]},{"color":[61,28,50]},{"color":[296,85,50]},{"color":[112,2,50]},{"color":[186,97,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[226,9,50]},{"color":[107,7,50]},{"color":[168,78,50]},{"color":[115,61,50]},{"color":[8,85,50]},{"color":[357,75,50]},{"color":[296,85,50]},{"color":[112,2,50]},{"color":[186,97,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT","numDiffs":2}}
state	StateColorGrid	8947-20d9cd70-d0da-4406-82c9-dacd37727c93	1526333931463	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[225,41,50]},{"color":[202,15,50]},{"color":[243,53,50]},{"color":[34,50,50]},{"color":[81,34,50]},{"color":[259,20,50]},{"color":[204,20,50]},{"color":[92,12,50]},{"color":[250,51,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[225,41,50]},{"color":[202,15,50]},{"color":[5,61,50]},{"color":[34,50,50]},{"color":[212,87,50]},{"color":[259,20,50]},{"color":[321,81,50]},{"color":[92,12,50]},{"color":[250,51,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[225,41,50]},{"color":[202,15,50]},{"color":[326,83,50]},{"color":[34,50,50]},{"color":[351,76,50]},{"color":[259,20,50]},{"color":[64,51,50]},{"color":[92,12,50]},{"color":[250,51,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"FAR","numDiffs":3}}
state	StateColorGrid	8947-20d9cd70-d0da-4406-82c9-dacd37727c93	1526333982873	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[139,98,50]},{"color":[350,64,50]},{"color":[117,7,50]},{"color":[187,54,50]},{"color":[169,45,50]},{"color":[339,36,50]},{"color":[35,74,50]},{"color":[342,12,50]},{"color":[208,80,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[197,99,50]},{"color":[189,18,50]},{"color":[117,7,50]},{"color":[160,83,50]},{"color":[169,45,50]},{"color":[339,36,50]},{"color":[221,40,50]},{"color":[177,35,50]},{"color":[111,7,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[204,76,50]},{"color":[167,35,50]},{"color":[117,7,50]},{"color":[126,93,50]},{"color":[169,45,50]},{"color":[339,36,50]},{"color":[252,16,50]},{"color":[124,5,50]},{"color":[223,3,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT","numDiffs":6}}
state	StateColorGrid	8947-20d9cd70-d0da-4406-82c9-dacd37727c93	1526334026227	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[233,48,50]},{"color":[190,2,50]},{"color":[310,99,50]},{"color":[153,82,50]},{"color":[328,64,50]},{"color":[37,21,50]},{"color":[27,37,50]},{"color":[55,3,50]},{"color":[188,56,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[318,63,50]},{"color":[192,65,50]},{"color":[201,67,50]},{"color":[153,82,50]},{"color":[26,6,50]},{"color":[56,75,50]},{"color":[281,52,50]},{"color":[168,47,50]},{"color":[65,64,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[100,74,50]},{"color":[94,24,50]},{"color":[8,48,50]},{"color":[153,82,50]},{"color":[95,28,50]},{"color":[269,31,50]},{"color":[70,86,50]},{"color":[345,65,50]},{"color":[289,0,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[2,0,1],"condition":{"name":"FAR","numDiffs":8}}
state	StateColorGrid	8947-20d9cd70-d0da-4406-82c9-dacd37727c93	1526334056056	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[285,14,50]},{"color":[30,1,50]},{"color":[293,71,50]},{"color":[288,7,50]},{"color":[175,41,50]},{"color":[79,40,50]},{"color":[100,31,50]},{"color":[50,99,50]},{"color":[104,7,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[285,14,50]},{"color":[30,1,50]},{"color":[151,38,50]},{"color":[288,7,50]},{"color":[79,25,50]},{"color":[33,1,50]},{"color":[87,83,50]},{"color":[50,99,50]},{"color":[192,46,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[285,14,50]},{"color":[30,1,50]},{"color":[191,45,50]},{"color":[288,7,50]},{"color":[334,37,50]},{"color":[341,75,50]},{"color":[290,35,50]},{"color":[50,99,50]},{"color":[307,80,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"FAR","numDiffs":5}}
state	StateColorGrid	8947-20d9cd70-d0da-4406-82c9-dacd37727c93	1526334108798	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[268,98,50]},{"color":[283,23,50]},{"color":[72,23,50]},{"color":[297,47,50]},{"color":[289,57,50]},{"color":[113,14,50]},{"color":[88,55,50]},{"color":[216,29,50]},{"color":[148,31,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[268,98,50]},{"color":[283,23,50]},{"color":[72,23,50]},{"color":[297,47,50]},{"color":[289,57,50]},{"color":[113,14,50]},{"color":[88,55,50]},{"color":[71,52,50]},{"color":[43,35,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[268,98,50]},{"color":[283,23,50]},{"color":[72,23,50]},{"color":[297,47,50]},{"color":[289,57,50]},{"color":[113,14,50]},{"color":[88,55,50]},{"color":[88,51,50]},{"color":[34,49,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":2}}
state	StateColorGrid	8947-20d9cd70-d0da-4406-82c9-dacd37727c93	1526334139862	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[325,80,50]},{"color":[74,78,50]},{"color":[267,64,50]},{"color":[240,14,50]},{"color":[124,60,50]},{"color":[126,72,50]},{"color":[59,73,50]},{"color":[26,51,50]},{"color":[177,3,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[325,80,50]},{"color":[74,78,50]},{"color":[267,64,50]},{"color":[187,38,50]},{"color":[124,60,50]},{"color":[126,72,50]},{"color":[59,73,50]},{"color":[356,88,50]},{"color":[177,3,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[325,80,50]},{"color":[74,78,50]},{"color":[267,64,50]},{"color":[37,36,50]},{"color":[124,60,50]},{"color":[126,72,50]},{"color":[59,73,50]},{"color":[164,93,50]},{"color":[177,3,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":2}}
