eventType	type	gameid	time	roundNum	state
state	StateColorGrid	6742-30dc1dc7-31a4-4f0d-9648-7e93930249e1	1526333793092	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[21,24,50]},{"color":[126,23,50]},{"color":[129,51,50]},{"color":[232,67,50]},{"color":[26,95,50]},{"color":[344,38,50]},{"color":[225,87,50]},{"color":[139,97,50]},{"color":[123,30,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[21,24,50]},{"color":[126,23,50]},{"color":[129,51,50]},{"color":[232,67,50]},{"color":[26,95,50]},{"color":[71,53,50]},{"color":[225,87,50]},{"color":[139,97,50]},{"color":[123,30,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[21,24,50]},{"color":[126,23,50]},{"color":[129,51,50]},{"color":[232,67,50]},{"color":[26,95,50]},{"color":[154,24,50]},{"color":[225,87,50]},{"color":[139,97,50]},{"color":[123,30,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[0,2,1],"condition":{"name":"FAR","numDiffs":1}}
state	StateColorGrid	6742-30dc1dc7-31a4-4f0d-9648-7e93930249e1	1526333845732	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[242,85,50]},{"color":[217,24,50]},{"color":[228,58,50]},{"color":[111,13,50]},{"color":[252,76,50]},{"color":[201,61,50]},{"color":[69,39,50]},{"color":[101,26,50]},{"color":[168,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[242,85,50]},{"color":[217,24,50]},{"color":[228,58,50]},{"color":[111,13,50]},{"color":[252,76,50]},{"color":[54,19,50]},{"color":[69,39,50]},{"color":[101,26,50]},{"color":[168,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[242,85,50]},{"color":[217,24,50]},{"color":[228,58,50]},{"color":[111,13,50]},{"color":[252,76,50]},{"color":[24,0,50]},{"color":[69,39,50]},{"color":[101,26,50]},{"color":[168,19,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT","numDiffs":1}}
state	StateColorGrid	6742-30dc1dc7-31a4-4f0d-9648-7e93930249e1	1526333889112	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[200,18,50]},{"color":[223,66,50]},{"color":[97,80,50]},{"color":[287,6,50]},{"color":[94,67,50]},{"color":[221,96,50]},{"color":[165,89,50]},{"color":[109,36,50]},{"color":[232,14,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[200,18,50]},{"color":[223,66,50]},{"color":[97,80,50]},{"color":[287,6,50]},{"color":[94,67,50]},{"color":[221,96,50]},{"color":[165,89,50]},{"color":[109,36,50]},{"color":[119,0,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[200,18,50]},{"color":[223,66,50]},{"color":[97,80,50]},{"color":[287,6,50]},{"color":[94,67,50]},{"color":[221,96,50]},{"color":[165,89,50]},{"color":[109,36,50]},{"color":[207,29,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE","numDiffs":1}}
state	StateColorGrid	6742-30dc1dc7-31a4-4f0d-9648-7e93930249e1	1526333935722	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[34,55,50]},{"color":[119,56,50]},{"color":[223,1,50]},{"color":[101,99,50]},{"color":[274,67,50]},{"color":[242,63,50]},{"color":[252,79,50]},{"color":[279,83,50]},{"color":[130,95,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[31,38,50]},{"color":[162,62,50]},{"color":[17,24,50]},{"color":[141,73,50]},{"color":[280,26,50]},{"color":[232,42,50]},{"color":[252,79,50]},{"color":[293,38,50]},{"color":[150,58,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[18,77,50]},{"color":[111,22,50]},{"color":[313,13,50]},{"color":[78,62,50]},{"color":[259,24,50]},{"color":[218,63,50]},{"color":[252,79,50]},{"color":[320,38,50]},{"color":[120,76,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE","numDiffs":8}}
state	StateColorGrid	6742-30dc1dc7-31a4-4f0d-9648-7e93930249e1	1526333985739	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[205,39,50]},{"color":[15,68,50]},{"color":[226,31,50]},{"color":[307,7,50]},{"color":[335,88,50]},{"color":[181,16,50]},{"color":[287,56,50]},{"color":[53,44,50]},{"color":[304,87,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[205,39,50]},{"color":[14,45,50]},{"color":[226,31,50]},{"color":[307,7,50]},{"color":[335,88,50]},{"color":[181,16,50]},{"color":[287,56,50]},{"color":[53,44,50]},{"color":[304,87,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[205,39,50]},{"color":[1,36,50]},{"color":[226,31,50]},{"color":[307,7,50]},{"color":[335,88,50]},{"color":[181,16,50]},{"color":[287,56,50]},{"color":[53,44,50]},{"color":[304,87,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE","numDiffs":1}}
state	StateColorGrid	6742-30dc1dc7-31a4-4f0d-9648-7e93930249e1	1526334006561	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[231,89,50]},{"color":[176,3,50]},{"color":[273,33,50]},{"color":[233,70,50]},{"color":[310,26,50]},{"color":[176,87,50]},{"color":[72,49,50]},{"color":[262,22,50]},{"color":[243,2,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[231,89,50]},{"color":[33,52,50]},{"color":[42,81,50]},{"color":[233,70,50]},{"color":[176,39,50]},{"color":[216,42,50]},{"color":[332,38,50]},{"color":[262,22,50]},{"color":[243,2,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[231,89,50]},{"color":[159,82,50]},{"color":[11,2,50]},{"color":[233,70,50]},{"color":[161,5,50]},{"color":[88,94,50]},{"color":[232,48,50]},{"color":[262,22,50]},{"color":[243,2,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"FAR","numDiffs":5}}
state	StateColorGrid	6742-30dc1dc7-31a4-4f0d-9648-7e93930249e1	1526334081734	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[185,74,50]},{"color":[1,9,50]},{"color":[314,98,50]},{"color":[224,37,50]},{"color":[354,51,50]},{"color":[200,47,50]},{"color":[339,39,50]},{"color":[62,38,50]},{"color":[15,3,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[185,74,50]},{"color":[34,43,50]},{"color":[314,98,50]},{"color":[8,47,50]},{"color":[354,51,50]},{"color":[89,47,50]},{"color":[119,7,50]},{"color":[327,3,50]},{"color":[15,3,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[185,74,50]},{"color":[22,65,50]},{"color":[314,98,50]},{"color":[4,65,50]},{"color":[354,51,50]},{"color":[127,14,50]},{"color":[251,4,50]},{"color":[230,5,50]},{"color":[15,3,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT","numDiffs":5}}
state	StateColorGrid	6742-30dc1dc7-31a4-4f0d-9648-7e93930249e1	1526334137568	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[199,56,50]},{"color":[346,99,50]},{"color":[86,95,50]},{"color":[78,99,50]},{"color":[171,72,50]},{"color":[238,93,50]},{"color":[294,77,50]},{"color":[98,33,50]},{"color":[333,42,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[336,99,50]},{"color":[51,45,50]},{"color":[36,6,50]},{"color":[78,99,50]},{"color":[297,8,50]},{"color":[238,93,50]},{"color":[294,77,50]},{"color":[296,25,50]},{"color":[333,42,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[206,83,50]},{"color":[0,44,50]},{"color":[142,65,50]},{"color":[78,99,50]},{"color":[153,68,50]},{"color":[238,93,50]},{"color":[294,77,50]},{"color":[48,44,50]},{"color":[333,42,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":5}}
state	StateColorGrid	6742-30dc1dc7-31a4-4f0d-9648-7e93930249e1	1526334188022	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[328,18,50]},{"color":[271,78,50]},{"color":[211,35,50]},{"color":[64,28,50]},{"color":[317,39,50]},{"color":[227,76,50]},{"color":[30,81,50]},{"color":[318,75,50]},{"color":[9,44,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[18,20,50]},{"color":[271,78,50]},{"color":[211,35,50]},{"color":[64,28,50]},{"color":[317,39,50]},{"color":[227,76,50]},{"color":[30,81,50]},{"color":[301,23,50]},{"color":[9,44,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[273,6,50]},{"color":[271,78,50]},{"color":[211,35,50]},{"color":[64,28,50]},{"color":[317,39,50]},{"color":[227,76,50]},{"color":[30,81,50]},{"color":[275,36,50]},{"color":[9,44,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":2}}
state	StateColorGrid	6742-30dc1dc7-31a4-4f0d-9648-7e93930249e1	1526334221507	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[241,16,50]},{"color":[166,74,50]},{"color":[347,86,50]},{"color":[163,97,50]},{"color":[349,33,50]},{"color":[329,29,50]},{"color":[338,6,50]},{"color":[8,68,50]},{"color":[329,84,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[288,4,50]},{"color":[180,93,50]},{"color":[329,99,50]},{"color":[138,79,50]},{"color":[349,33,50]},{"color":[343,52,50]},{"color":[7,31,50]},{"color":[22,22,50]},{"color":[351,62,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[157,28,50]},{"color":[297,74,50]},{"color":[219,92,50]},{"color":[270,50,50]},{"color":[349,33,50]},{"color":[152,38,50]},{"color":[277,87,50]},{"color":[149,97,50]},{"color":[30,44,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT","numDiffs":8}}
