eventType	type	gameid	time	roundNum	state
state	StateColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526346974701	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[164,66,50]},{"color":[55,53,50]},{"color":[124,79,50]},{"color":[206,11,50]},{"color":[132,70,50]},{"color":[37,62,50]},{"color":[104,93,50]},{"color":[147,49,50]},{"color":[278,64,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[78,64,50]},{"color":[326,30,50]},{"color":[218,1,50]},{"color":[206,11,50]},{"color":[323,98,50]},{"color":[37,62,50]},{"color":[295,46,50]},{"color":[103,9,50]},{"color":[138,26,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[337,63,50]},{"color":[244,29,50]},{"color":[257,37,50]},{"color":[206,11,50]},{"color":[1,10,50]},{"color":[37,62,50]},{"color":[346,42,50]},{"color":[64,88,50]},{"color":[195,29,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"FAR","numDiffs":7}}
state	StateColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347051805	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[308,12,50]},{"color":[6,76,50]},{"color":[153,42,50]},{"color":[113,70,50]},{"color":[131,35,50]},{"color":[96,61,50]},{"color":[222,35,50]},{"color":[244,79,50]},{"color":[301,32,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[308,12,50]},{"color":[6,76,50]},{"color":[153,42,50]},{"color":[209,32,50]},{"color":[131,35,50]},{"color":[96,61,50]},{"color":[23,74,50]},{"color":[122,60,50]},{"color":[188,38,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[308,12,50]},{"color":[6,76,50]},{"color":[153,42,50]},{"color":[137,35,50]},{"color":[131,35,50]},{"color":[96,61,50]},{"color":[202,58,50]},{"color":[281,37,50]},{"color":[287,61,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT","numDiffs":4}}
state	StateColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347114775	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[65,43,50]},{"color":[328,69,50]},{"color":[63,13,50]},{"color":[277,52,50]},{"color":[54,26,50]},{"color":[279,36,50]},{"color":[23,56,50]},{"color":[181,26,50]},{"color":[309,71,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[260,10,50]},{"color":[75,16,50]},{"color":[207,15,50]},{"color":[51,51,50]},{"color":[54,26,50]},{"color":[279,36,50]},{"color":[242,73,50]},{"color":[95,47,50]},{"color":[309,71,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[192,66,50]},{"color":[117,79,50]},{"color":[62,50,50]},{"color":[128,77,50]},{"color":[54,26,50]},{"color":[279,36,50]},{"color":[329,56,50]},{"color":[256,25,50]},{"color":[309,71,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"FAR","numDiffs":6}}
state	StateColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347188528	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[235,11,50]},{"color":[224,58,50]},{"color":[337,20,50]},{"color":[93,47,50]},{"color":[208,94,50]},{"color":[45,51,50]},{"color":[120,73,50]},{"color":[181,62,50]},{"color":[122,1,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[235,11,50]},{"color":[345,24,50]},{"color":[58,64,50]},{"color":[93,47,50]},{"color":[208,94,50]},{"color":[45,51,50]},{"color":[120,73,50]},{"color":[181,62,50]},{"color":[136,29,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[235,11,50]},{"color":[259,60,50]},{"color":[29,6,50]},{"color":[93,47,50]},{"color":[208,94,50]},{"color":[45,51,50]},{"color":[120,73,50]},{"color":[181,62,50]},{"color":[292,6,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":3}}
state	StateColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347235216	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[326,3,50]},{"color":[210,60,50]},{"color":[29,47,50]},{"color":[63,19,50]},{"color":[213,55,50]},{"color":[51,29,50]},{"color":[81,1,50]},{"color":[250,93,50]},{"color":[104,90,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[301,70,50]},{"color":[210,60,50]},{"color":[29,47,50]},{"color":[205,94,50]},{"color":[213,55,50]},{"color":[51,29,50]},{"color":[81,1,50]},{"color":[12,69,50]},{"color":[17,60,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[65,81,50]},{"color":[210,60,50]},{"color":[29,47,50]},{"color":[20,57,50]},{"color":[213,55,50]},{"color":[51,29,50]},{"color":[81,1,50]},{"color":[188,50,50]},{"color":[42,32,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[2,1,0],"condition":{"name":"FAR","numDiffs":4}}
state	StateColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347305275	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[2,31,50]},{"color":[331,36,50]},{"color":[149,1,50]},{"color":[290,16,50]},{"color":[4,18,50]},{"color":[235,55,50]},{"color":[228,49,50]},{"color":[29,93,50]},{"color":[163,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[330,33,50]},{"color":[318,66,50]},{"color":[203,45,50]},{"color":[236,4,50]},{"color":[278,18,50]},{"color":[253,54,50]},{"color":[232,70,50]},{"color":[29,93,50]},{"color":[86,26,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[341,70,50]},{"color":[325,78,50]},{"color":[177,21,50]},{"color":[13,15,50]},{"color":[335,4,50]},{"color":[268,73,50]},{"color":[258,51,50]},{"color":[29,93,50]},{"color":[141,34,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE","numDiffs":8}}
state	StateColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347336237	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[314,44,50]},{"color":[43,48,50]},{"color":[217,17,50]},{"color":[340,30,50]},{"color":[283,93,50]},{"color":[25,55,50]},{"color":[347,27,50]},{"color":[136,57,50]},{"color":[213,41,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[327,78,50]},{"color":[43,48,50]},{"color":[217,17,50]},{"color":[301,34,50]},{"color":[297,30,50]},{"color":[25,55,50]},{"color":[347,27,50]},{"color":[156,98,50]},{"color":[213,41,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[303,99,50]},{"color":[43,48,50]},{"color":[217,17,50]},{"color":[346,19,50]},{"color":[253,39,50]},{"color":[25,55,50]},{"color":[347,27,50]},{"color":[98,88,50]},{"color":[213,41,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE","numDiffs":4}}
state	StateColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347379058	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[236,89,50]},{"color":[63,58,50]},{"color":[241,46,50]},{"color":[292,76,50]},{"color":[271,85,50]},{"color":[282,11,50]},{"color":[329,53,50]},{"color":[201,98,50]},{"color":[299,61,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[217,88,50]},{"color":[69,38,50]},{"color":[241,46,50]},{"color":[262,43,50]},{"color":[261,35,50]},{"color":[282,11,50]},{"color":[329,53,50]},{"color":[191,74,50]},{"color":[299,61,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[268,53,50]},{"color":[113,57,50]},{"color":[241,46,50]},{"color":[287,57,50]},{"color":[240,24,50]},{"color":[282,11,50]},{"color":[329,53,50]},{"color":[188,23,50]},{"color":[299,61,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE","numDiffs":5}}
state	StateColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347444913	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[222,29,50]},{"color":[70,45,50]},{"color":[281,23,50]},{"color":[127,92,50]},{"color":[179,76,50]},{"color":[290,1,50]},{"color":[105,81,50]},{"color":[295,14,50]},{"color":[41,3,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[222,29,50]},{"color":[70,45,50]},{"color":[303,8,50]},{"color":[127,92,50]},{"color":[179,76,50]},{"color":[290,1,50]},{"color":[105,81,50]},{"color":[295,14,50]},{"color":[41,3,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[222,29,50]},{"color":[70,45,50]},{"color":[121,7,50]},{"color":[127,92,50]},{"color":[179,76,50]},{"color":[290,1,50]},{"color":[105,81,50]},{"color":[295,14,50]},{"color":[41,3,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT","numDiffs":1}}
state	StateColorGrid	0261-db92856e-7a0b-49b4-b867-2f255736c651	1526347477934	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[202,62,50]},{"color":[21,3,50]},{"color":[10,86,50]},{"color":[19,74,50]},{"color":[5,20,50]},{"color":[326,60,50]},{"color":[216,62,50]},{"color":[76,3,50]},{"color":[159,69,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[202,62,50]},{"color":[21,3,50]},{"color":[349,59,50]},{"color":[16,35,50]},{"color":[5,20,50]},{"color":[326,60,50]},{"color":[216,62,50]},{"color":[76,3,50]},{"color":[109,70,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[202,62,50]},{"color":[21,3,50]},{"color":[10,45,50]},{"color":[9,44,50]},{"color":[5,20,50]},{"color":[326,60,50]},{"color":[216,62,50]},{"color":[76,3,50]},{"color":[97,45,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE","numDiffs":3}}
