eventType	type	gameid	time	roundNum	state
state	StateColorGrid	0052-70ed266e-1bd0-4c34-ae83-0db5bc103a26	1526315161687	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[287,69,50]},{"color":[317,47,50]},{"color":[327,18,50]},{"color":[317,67,50]},{"color":[18,41,50]},{"color":[149,29,50]},{"color":[168,73,50]},{"color":[234,47,50]},{"color":[120,55,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[287,69,50]},{"color":[166,43,50]},{"color":[201,44,50]},{"color":[131,96,50]},{"color":[250,76,50]},{"color":[29,31,50]},{"color":[191,28,50]},{"color":[234,47,50]},{"color":[120,55,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[287,69,50]},{"color":[192,8,50]},{"color":[283,39,50]},{"color":[276,18,50]},{"color":[6,45,50]},{"color":[181,15,50]},{"color":[153,33,50]},{"color":[234,47,50]},{"color":[120,55,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":6}}
state	StateColorGrid	0052-70ed266e-1bd0-4c34-ae83-0db5bc103a26	1526315189401	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[142,64,50]},{"color":[80,83,50]},{"color":[311,13,50]},{"color":[353,14,50]},{"color":[60,80,50]},{"color":[170,53,50]},{"color":[74,35,50]},{"color":[226,68,50]},{"color":[310,1,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[246,29,50]},{"color":[191,64,50]},{"color":[116,48,50]},{"color":[138,72,50]},{"color":[341,24,50]},{"color":[251,12,50]},{"color":[131,7,50]},{"color":[164,28,50]},{"color":[310,1,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[120,58,50]},{"color":[85,59,50]},{"color":[332,30,50]},{"color":[355,48,50]},{"color":[79,70,50]},{"color":[144,33,50]},{"color":[90,70,50]},{"color":[213,31,50]},{"color":[310,1,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":8}}
state	StateColorGrid	0052-70ed266e-1bd0-4c34-ae83-0db5bc103a26	1526315202372	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[43,28,50]},{"color":[172,44,50]},{"color":[231,47,50]},{"color":[82,15,50]},{"color":[179,53,50]},{"color":[100,63,50]},{"color":[293,88,50]},{"color":[188,22,50]},{"color":[304,40,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[43,28,50]},{"color":[172,44,50]},{"color":[231,47,50]},{"color":[82,15,50]},{"color":[179,53,50]},{"color":[100,63,50]},{"color":[293,88,50]},{"color":[212,62,50]},{"color":[304,40,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[43,28,50]},{"color":[172,44,50]},{"color":[231,47,50]},{"color":[82,15,50]},{"color":[179,53,50]},{"color":[100,63,50]},{"color":[293,88,50]},{"color":[106,39,50]},{"color":[304,40,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"FAR","numDiffs":1}}
state	StateColorGrid	0052-70ed266e-1bd0-4c34-ae83-0db5bc103a26	1526315224376	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[34,41,50]},{"color":[168,5,50]},{"color":[284,99,50]},{"color":[208,31,50]},{"color":[156,50,50]},{"color":[134,18,50]},{"color":[79,52,50]},{"color":[139,31,50]},{"color":[198,86,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[34,41,50]},{"color":[331,45,50]},{"color":[284,99,50]},{"color":[208,31,50]},{"color":[156,50,50]},{"color":[134,18,50]},{"color":[79,52,50]},{"color":[84,52,50]},{"color":[200,12,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[34,41,50]},{"color":[325,88,50]},{"color":[284,99,50]},{"color":[208,31,50]},{"color":[156,50,50]},{"color":[134,18,50]},{"color":[79,52,50]},{"color":[153,86,50]},{"color":[201,44,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE","numDiffs":3}}
state	StateColorGrid	0052-70ed266e-1bd0-4c34-ae83-0db5bc103a26	1526315244481	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[71,84,50]},{"color":[268,12,50]},{"color":[68,35,50]},{"color":[150,1,50]},{"color":[291,33,50]},{"color":[43,87,50]},{"color":[289,67,50]},{"color":[42,55,50]},{"color":[320,20,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[71,84,50]},{"color":[268,12,50]},{"color":[53,61,50]},{"color":[252,11,50]},{"color":[291,33,50]},{"color":[32,75,50]},{"color":[294,80,50]},{"color":[51,82,50]},{"color":[320,20,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[71,84,50]},{"color":[268,12,50]},{"color":[56,81,50]},{"color":[220,30,50]},{"color":[291,33,50]},{"color":[43,35,50]},{"color":[310,56,50]},{"color":[74,36,50]},{"color":[320,20,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":5}}
state	StateColorGrid	0052-70ed266e-1bd0-4c34-ae83-0db5bc103a26	1526315262295	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[38,51,50]},{"color":[226,23,50]},{"color":[281,49,50]},{"color":[90,33,50]},{"color":[269,16,50]},{"color":[219,34,50]},{"color":[126,75,50]},{"color":[319,40,50]},{"color":[101,10,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[22,57,50]},{"color":[226,23,50]},{"color":[281,49,50]},{"color":[90,33,50]},{"color":[314,52,50]},{"color":[219,34,50]},{"color":[119,42,50]},{"color":[313,51,50]},{"color":[63,24,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[87,67,50]},{"color":[226,23,50]},{"color":[281,49,50]},{"color":[90,33,50]},{"color":[12,49,50]},{"color":[219,34,50]},{"color":[90,11,50]},{"color":[221,13,50]},{"color":[224,82,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":5}}
state	StateColorGrid	0052-70ed266e-1bd0-4c34-ae83-0db5bc103a26	1526315280374	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[332,95,50]},{"color":[189,60,50]},{"color":[111,22,50]},{"color":[340,71,50]},{"color":[190,89,50]},{"color":[217,39,50]},{"color":[95,13,50]},{"color":[71,48,50]},{"color":[265,54,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[332,95,50]},{"color":[189,60,50]},{"color":[111,22,50]},{"color":[344,13,50]},{"color":[190,89,50]},{"color":[204,30,50]},{"color":[61,24,50]},{"color":[101,30,50]},{"color":[265,26,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[332,95,50]},{"color":[189,60,50]},{"color":[111,22,50]},{"color":[346,51,50]},{"color":[190,89,50]},{"color":[233,16,50]},{"color":[104,23,50]},{"color":[136,74,50]},{"color":[280,74,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE","numDiffs":5}}
state	StateColorGrid	0052-70ed266e-1bd0-4c34-ae83-0db5bc103a26	1526315300794	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[111,95,50]},{"color":[285,15,50]},{"color":[346,4,50]},{"color":[316,4,50]},{"color":[17,23,50]},{"color":[87,43,50]},{"color":[15,33,50]},{"color":[300,28,50]},{"color":[70,37,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[111,95,50]},{"color":[285,15,50]},{"color":[346,4,50]},{"color":[136,26,50]},{"color":[223,86,50]},{"color":[87,43,50]},{"color":[15,33,50]},{"color":[300,28,50]},{"color":[329,20,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[111,95,50]},{"color":[285,15,50]},{"color":[346,4,50]},{"color":[114,96,50]},{"color":[94,19,50]},{"color":[87,43,50]},{"color":[15,33,50]},{"color":[300,28,50]},{"color":[229,0,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"FAR","numDiffs":3}}
state	StateColorGrid	0052-70ed266e-1bd0-4c34-ae83-0db5bc103a26	1526315365802	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[349,9,50]},{"color":[264,32,50]},{"color":[203,6,50]},{"color":[98,79,50]},{"color":[333,66,50]},{"color":[238,66,50]},{"color":[337,31,50]},{"color":[335,32,50]},{"color":[230,11,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[259,21,50]},{"color":[257,41,50]},{"color":[237,28,50]},{"color":[76,95,50]},{"color":[333,66,50]},{"color":[238,66,50]},{"color":[336,86,50]},{"color":[339,77,50]},{"color":[230,11,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[341,16,50]},{"color":[254,52,50]},{"color":[215,79,50]},{"color":[118,98,50]},{"color":[333,66,50]},{"color":[238,66,50]},{"color":[311,30,50]},{"color":[343,93,50]},{"color":[230,11,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE","numDiffs":6}}
state	StateColorGrid	0052-70ed266e-1bd0-4c34-ae83-0db5bc103a26	1526315390681	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[277,89,50]},{"color":[119,44,50]},{"color":[161,31,50]},{"color":[124,94,50]},{"color":[133,40,50]},{"color":[212,46,50]},{"color":[278,98,50]},{"color":[211,48,50]},{"color":[176,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[222,29,50]},{"color":[119,44,50]},{"color":[161,31,50]},{"color":[124,94,50]},{"color":[133,40,50]},{"color":[212,46,50]},{"color":[65,34,50]},{"color":[211,48,50]},{"color":[176,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[140,87,50]},{"color":[119,44,50]},{"color":[161,31,50]},{"color":[124,94,50]},{"color":[133,40,50]},{"color":[212,46,50]},{"color":[173,36,50]},{"color":[211,48,50]},{"color":[176,28,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR","numDiffs":2}}
