eventType	type	gameid	time	roundNum	state
state	StateColorGrid	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407311177	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[221,4,50]},{"color":[185,96,50]},{"color":[214,80,50]},{"color":[61,22,50]},{"color":[5,98,50]},{"color":[32,42,50]},{"color":[172,2,50]},{"color":[9,30,50]},{"color":[55,35,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[143,45,50]},{"color":[150,97,50]},{"color":[277,33,50]},{"color":[341,75,50]},{"color":[301,41,50]},{"color":[238,11,50]},{"color":[22,73,50]},{"color":[84,60,50]},{"color":[55,35,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[119,51,50]},{"color":[118,99,50]},{"color":[306,85,50]},{"color":[343,23,50]},{"color":[321,16,50]},{"color":[288,15,50]},{"color":[355,80,50]},{"color":[93,81,50]},{"color":[55,35,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT","numDiffs":8}}
state	StateColorGrid	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407362383	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[23,12,50]},{"color":[305,55,50]},{"color":[1,31,50]},{"color":[276,46,50]},{"color":[164,7,50]},{"color":[322,43,50]},{"color":[141,10,50]},{"color":[42,59,50]},{"color":[185,95,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[23,12,50]},{"color":[305,55,50]},{"color":[300,16,50]},{"color":[233,80,50]},{"color":[164,7,50]},{"color":[322,43,50]},{"color":[164,37,50]},{"color":[58,57,50]},{"color":[185,95,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[23,12,50]},{"color":[305,55,50]},{"color":[191,98,50]},{"color":[302,98,50]},{"color":[164,7,50]},{"color":[322,43,50]},{"color":[213,43,50]},{"color":[100,26,50]},{"color":[185,95,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT","numDiffs":4}}
state	StateColorGrid	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407476326	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[154,93,50]},{"color":[352,72,50]},{"color":[8,96,50]},{"color":[283,57,50]},{"color":[275,0,50]},{"color":[311,60,50]},{"color":[80,52,50]},{"color":[309,96,50]},{"color":[351,61,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[154,93,50]},{"color":[352,72,50]},{"color":[8,96,50]},{"color":[283,57,50]},{"color":[295,56,50]},{"color":[311,60,50]},{"color":[80,52,50]},{"color":[309,96,50]},{"color":[351,61,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[154,93,50]},{"color":[352,72,50]},{"color":[8,96,50]},{"color":[283,57,50]},{"color":[290,40,50]},{"color":[311,60,50]},{"color":[80,52,50]},{"color":[309,96,50]},{"color":[351,61,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT","numDiffs":1}}
state	StateColorGrid	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407546940	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[133,82,50]},{"color":[269,7,50]},{"color":[171,42,50]},{"color":[232,40,50]},{"color":[238,94,50]},{"color":[26,64,50]},{"color":[86,43,50]},{"color":[109,75,50]},{"color":[24,14,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[133,82,50]},{"color":[315,29,50]},{"color":[171,42,50]},{"color":[232,40,50]},{"color":[238,94,50]},{"color":[12,36,50]},{"color":[86,43,50]},{"color":[109,75,50]},{"color":[24,14,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[133,82,50]},{"color":[294,24,50]},{"color":[171,42,50]},{"color":[232,40,50]},{"color":[238,94,50]},{"color":[34,19,50]},{"color":[86,43,50]},{"color":[109,75,50]},{"color":[24,14,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE","numDiffs":2}}
state	StateColorGrid	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407581840	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[285,45,50]},{"color":[245,11,50]},{"color":[41,5,50]},{"color":[320,9,50]},{"color":[124,88,50]},{"color":[79,74,50]},{"color":[264,67,50]},{"color":[338,67,50]},{"color":[320,87,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[285,45,50]},{"color":[245,11,50]},{"color":[41,5,50]},{"color":[56,89,50]},{"color":[124,88,50]},{"color":[79,74,50]},{"color":[224,31,50]},{"color":[77,8,50]},{"color":[214,86,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[285,45,50]},{"color":[245,11,50]},{"color":[41,5,50]},{"color":[68,54,50]},{"color":[124,88,50]},{"color":[79,74,50]},{"color":[242,15,50]},{"color":[77,21,50]},{"color":[213,28,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT","numDiffs":4}}
state	StateColorGrid	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407626930	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[185,34,50]},{"color":[218,24,50]},{"color":[353,61,50]},{"color":[220,92,50]},{"color":[216,5,50]},{"color":[141,52,50]},{"color":[248,29,50]},{"color":[252,91,50]},{"color":[20,65,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[185,34,50]},{"color":[283,71,50]},{"color":[199,93,50]},{"color":[36,30,50]},{"color":[78,56,50]},{"color":[304,37,50]},{"color":[101,96,50]},{"color":[252,91,50]},{"color":[20,65,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[185,34,50]},{"color":[218,51,50]},{"color":[2,92,50]},{"color":[214,26,50]},{"color":[216,14,50]},{"color":[80,67,50]},{"color":[212,77,50]},{"color":[252,91,50]},{"color":[20,65,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT","numDiffs":6}}
state	StateColorGrid	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407778658	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[73,35,50]},{"color":[24,9,50]},{"color":[179,78,50]},{"color":[344,94,50]},{"color":[174,14,50]},{"color":[148,91,50]},{"color":[171,95,50]},{"color":[46,63,50]},{"color":[279,14,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[62,65,50]},{"color":[37,3,50]},{"color":[179,78,50]},{"color":[344,94,50]},{"color":[174,14,50]},{"color":[148,91,50]},{"color":[171,95,50]},{"color":[46,63,50]},{"color":[222,5,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[75,67,50]},{"color":[25,28,50]},{"color":[179,78,50]},{"color":[344,94,50]},{"color":[174,14,50]},{"color":[148,91,50]},{"color":[171,95,50]},{"color":[46,63,50]},{"color":[245,25,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":3}}
state	StateColorGrid	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407812920	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[38,75,50]},{"color":[170,77,50]},{"color":[180,37,50]},{"color":[178,36,50]},{"color":[334,7,50]},{"color":[280,40,50]},{"color":[168,47,50]},{"color":[264,92,50]},{"color":[52,20,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[82,77,50]},{"color":[170,77,50]},{"color":[44,76,50]},{"color":[49,71,50]},{"color":[46,70,50]},{"color":[280,40,50]},{"color":[222,87,50]},{"color":[264,92,50]},{"color":[52,20,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[177,59,50]},{"color":[170,77,50]},{"color":[296,55,50]},{"color":[102,50,50]},{"color":[341,99,50]},{"color":[280,40,50]},{"color":[344,90,50]},{"color":[264,92,50]},{"color":[52,20,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":5}}
state	StateColorGrid	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407839451	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[335,81,50]},{"color":[108,24,50]},{"color":[43,68,50]},{"color":[30,50,50]},{"color":[155,20,50]},{"color":[229,87,50]},{"color":[53,36,50]},{"color":[346,60,50]},{"color":[280,51,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[119,21,50]},{"color":[110,73,50]},{"color":[319,55,50]},{"color":[329,91,50]},{"color":[270,44,50]},{"color":[76,54,50]},{"color":[256,40,50]},{"color":[45,88,50]},{"color":[280,51,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[120,9,50]},{"color":[124,98,50]},{"color":[267,23,50]},{"color":[347,90,50]},{"color":[218,85,50]},{"color":[125,50,50]},{"color":[268,15,50]},{"color":[35,70,50]},{"color":[280,51,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT","numDiffs":8}}
state	StateColorGrid	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407863047	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[241,57,50]},{"color":[276,58,50]},{"color":[45,14,50]},{"color":[5,41,50]},{"color":[218,44,50]},{"color":[115,58,50]},{"color":[186,85,50]},{"color":[291,22,50]},{"color":[264,58,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[241,57,50]},{"color":[61,13,50]},{"color":[89,74,50]},{"color":[241,46,50]},{"color":[348,17,50]},{"color":[193,72,50]},{"color":[262,11,50]},{"color":[44,68,50]},{"color":[264,58,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[241,57,50]},{"color":[130,32,50]},{"color":[113,99,50]},{"color":[247,69,50]},{"color":[338,90,50]},{"color":[169,33,50]},{"color":[157,2,50]},{"color":[64,52,50]},{"color":[264,58,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":7}}
