eventType	type	gameid	time	roundNum	state
state	StateColorGrid	9641-9ff24c0b-f085-4b5d-b174-20186bf4a696	1526419763772	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[61,30,50]},{"color":[40,82,50]},{"color":[82,66,50]},{"color":[184,80,50]},{"color":[227,77,50]},{"color":[350,35,50]},{"color":[186,39,50]},{"color":[245,27,50]},{"color":[339,25,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[325,26,50]},{"color":[352,44,50]},{"color":[82,66,50]},{"color":[58,74,50]},{"color":[138,63,50]},{"color":[350,35,50]},{"color":[186,39,50]},{"color":[245,27,50]},{"color":[339,25,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[38,5,50]},{"color":[250,7,50]},{"color":[82,66,50]},{"color":[331,95,50]},{"color":[317,74,50]},{"color":[350,35,50]},{"color":[186,39,50]},{"color":[245,27,50]},{"color":[339,25,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":4}}
state	StateColorGrid	9641-9ff24c0b-f085-4b5d-b174-20186bf4a696	1526419789406	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[231,86,50]},{"color":[221,64,50]},{"color":[83,84,50]},{"color":[14,89,50]},{"color":[118,88,50]},{"color":[261,45,50]},{"color":[162,28,50]},{"color":[293,55,50]},{"color":[227,99,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[68,57,50]},{"color":[179,40,50]},{"color":[83,84,50]},{"color":[62,76,50]},{"color":[61,31,50]},{"color":[120,62,50]},{"color":[326,5,50]},{"color":[93,80,50]},{"color":[92,14,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[35,96,50]},{"color":[129,68,50]},{"color":[83,84,50]},{"color":[296,61,50]},{"color":[221,15,50]},{"color":[205,49,50]},{"color":[206,59,50]},{"color":[181,43,50]},{"color":[294,4,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":8}}
state	StateColorGrid	9641-9ff24c0b-f085-4b5d-b174-20186bf4a696	1526419805016	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[266,79,50]},{"color":[1,35,50]},{"color":[278,40,50]},{"color":[238,98,50]},{"color":[106,16,50]},{"color":[270,79,50]},{"color":[25,52,50]},{"color":[295,40,50]},{"color":[191,42,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[266,79,50]},{"color":[86,92,50]},{"color":[278,40,50]},{"color":[238,98,50]},{"color":[106,16,50]},{"color":[69,65,50]},{"color":[221,68,50]},{"color":[195,51,50]},{"color":[296,70,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[266,79,50]},{"color":[215,73,50]},{"color":[278,40,50]},{"color":[238,98,50]},{"color":[106,16,50]},{"color":[113,20,50]},{"color":[108,65,50]},{"color":[132,81,50]},{"color":[71,45,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"FAR","numDiffs":5}}
state	StateColorGrid	9641-9ff24c0b-f085-4b5d-b174-20186bf4a696	1526419844614	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[300,53,50]},{"color":[28,62,50]},{"color":[274,50,50]},{"color":[48,0,50]},{"color":[340,60,50]},{"color":[26,68,50]},{"color":[77,88,50]},{"color":[195,49,50]},{"color":[11,29,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[0,37,50]},{"color":[28,62,50]},{"color":[181,90,50]},{"color":[14,43,50]},{"color":[59,35,50]},{"color":[280,7,50]},{"color":[309,32,50]},{"color":[109,85,50]},{"color":[280,96,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[25,28,50]},{"color":[28,62,50]},{"color":[172,41,50]},{"color":[13,63,50]},{"color":[93,52,50]},{"color":[203,15,50]},{"color":[314,98,50]},{"color":[109,60,50]},{"color":[267,65,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT","numDiffs":8}}
state	StateColorGrid	9641-9ff24c0b-f085-4b5d-b174-20186bf4a696	1526419858947	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[41,78,50]},{"color":[122,59,50]},{"color":[79,39,50]},{"color":[299,22,50]},{"color":[34,83,50]},{"color":[225,76,50]},{"color":[155,14,50]},{"color":[202,43,50]},{"color":[335,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[41,78,50]},{"color":[191,63,50]},{"color":[79,39,50]},{"color":[299,22,50]},{"color":[125,87,50]},{"color":[79,36,50]},{"color":[155,14,50]},{"color":[29,39,50]},{"color":[335,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[41,78,50]},{"color":[165,30,50]},{"color":[79,39,50]},{"color":[299,22,50]},{"color":[87,84,50]},{"color":[74,83,50]},{"color":[155,14,50]},{"color":[18,77,50]},{"color":[335,4,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT","numDiffs":4}}
state	StateColorGrid	9641-9ff24c0b-f085-4b5d-b174-20186bf4a696	1526419873108	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[46,38,50]},{"color":[310,56,50]},{"color":[33,60,50]},{"color":[207,25,50]},{"color":[132,65,50]},{"color":[212,16,50]},{"color":[216,79,50]},{"color":[101,89,50]},{"color":[117,75,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[45,67,50]},{"color":[324,83,50]},{"color":[38,34,50]},{"color":[260,4,50]},{"color":[81,92,50]},{"color":[328,0,50]},{"color":[224,21,50]},{"color":[101,89,50]},{"color":[148,95,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[45,92,50]},{"color":[319,15,50]},{"color":[41,82,50]},{"color":[211,36,50]},{"color":[81,55,50]},{"color":[285,7,50]},{"color":[250,35,50]},{"color":[101,89,50]},{"color":[147,49,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":8}}
state	StateColorGrid	9641-9ff24c0b-f085-4b5d-b174-20186bf4a696	1526419883273	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[316,13,50]},{"color":[354,16,50]},{"color":[291,55,50]},{"color":[314,64,50]},{"color":[268,34,50]},{"color":[148,71,50]},{"color":[256,25,50]},{"color":[214,93,50]},{"color":[246,1,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[316,13,50]},{"color":[4,49,50]},{"color":[291,55,50]},{"color":[314,64,50]},{"color":[268,34,50]},{"color":[148,71,50]},{"color":[214,61,50]},{"color":[214,93,50]},{"color":[101,2,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[316,13,50]},{"color":[187,79,50]},{"color":[291,55,50]},{"color":[314,64,50]},{"color":[268,34,50]},{"color":[148,71,50]},{"color":[129,10,50]},{"color":[214,93,50]},{"color":[71,82,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT","numDiffs":3}}
state	StateColorGrid	9641-9ff24c0b-f085-4b5d-b174-20186bf4a696	1526419899071	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[6,71,50]},{"color":[352,72,50]},{"color":[82,45,50]},{"color":[14,10,50]},{"color":[357,14,50]},{"color":[345,32,50]},{"color":[356,22,50]},{"color":[0,47,50]},{"color":[236,48,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[288,15,50]},{"color":[352,72,50]},{"color":[82,45,50]},{"color":[14,10,50]},{"color":[357,14,50]},{"color":[121,88,50]},{"color":[46,66,50]},{"color":[0,47,50]},{"color":[21,68,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[58,42,50]},{"color":[352,72,50]},{"color":[82,45,50]},{"color":[14,10,50]},{"color":[357,14,50]},{"color":[91,28,50]},{"color":[145,69,50]},{"color":[0,47,50]},{"color":[67,80,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR","numDiffs":4}}
state	StateColorGrid	9641-9ff24c0b-f085-4b5d-b174-20186bf4a696	1526419943463	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[201,30,50]},{"color":[25,6,50]},{"color":[136,10,50]},{"color":[153,93,50]},{"color":[73,66,50]},{"color":[295,19,50]},{"color":[188,77,50]},{"color":[118,52,50]},{"color":[101,36,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[201,30,50]},{"color":[25,6,50]},{"color":[136,10,50]},{"color":[153,93,50]},{"color":[86,49,50]},{"color":[295,19,50]},{"color":[188,77,50]},{"color":[118,52,50]},{"color":[80,10,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[201,30,50]},{"color":[25,6,50]},{"color":[136,10,50]},{"color":[153,93,50]},{"color":[82,83,50]},{"color":[295,19,50]},{"color":[188,77,50]},{"color":[118,52,50]},{"color":[114,26,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE","numDiffs":2}}
state	StateColorGrid	9641-9ff24c0b-f085-4b5d-b174-20186bf4a696	1526419958245	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[49,17,50]},{"color":[210,25,50]},{"color":[334,92,50]},{"color":[203,62,50]},{"color":[189,4,50]},{"color":[76,10,50]},{"color":[268,18,50]},{"color":[6,48,50]},{"color":[331,91,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[49,17,50]},{"color":[210,25,50]},{"color":[334,92,50]},{"color":[203,62,50]},{"color":[93,25,50]},{"color":[165,42,50]},{"color":[268,18,50]},{"color":[321,65,50]},{"color":[331,91,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[49,17,50]},{"color":[210,25,50]},{"color":[334,92,50]},{"color":[203,62,50]},{"color":[253,85,50]},{"color":[325,28,50]},{"color":[268,18,50]},{"color":[46,84,50]},{"color":[331,91,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[0,2,1],"condition":{"name":"FAR","numDiffs":3}}
