eventType	type	gameid	time	roundNum	state
state	StateColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420222184	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[255,23,50]},{"color":[293,96,50]},{"color":[123,10,50]},{"color":[159,18,50]},{"color":[333,43,50]},{"color":[356,94,50]},{"color":[167,59,50]},{"color":[92,26,50]},{"color":[209,95,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[29,81,50]},{"color":[88,99,50]},{"color":[123,10,50]},{"color":[172,76,50]},{"color":[33,48,50]},{"color":[279,72,50]},{"color":[356,19,50]},{"color":[283,57,50]},{"color":[102,81,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[200,3,50]},{"color":[131,35,50]},{"color":[123,10,50]},{"color":[120,85,50]},{"color":[188,26,50]},{"color":[229,2,50]},{"color":[72,43,50]},{"color":[194,63,50]},{"color":[264,55,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":8}}
state	StateColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420314627	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[326,35,50]},{"color":[16,84,50]},{"color":[100,55,50]},{"color":[52,87,50]},{"color":[321,89,50]},{"color":[171,38,50]},{"color":[242,71,50]},{"color":[212,86,50]},{"color":[175,20,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[6,13,50]},{"color":[32,74,50]},{"color":[100,55,50]},{"color":[52,87,50]},{"color":[321,89,50]},{"color":[171,38,50]},{"color":[233,41,50]},{"color":[212,86,50]},{"color":[174,13,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[358,38,50]},{"color":[31,94,50]},{"color":[100,55,50]},{"color":[52,87,50]},{"color":[321,89,50]},{"color":[171,38,50]},{"color":[220,83,50]},{"color":[212,86,50]},{"color":[137,14,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE","numDiffs":4}}
state	StateColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420356184	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[22,65,50]},{"color":[15,76,50]},{"color":[11,76,50]},{"color":[265,17,50]},{"color":[89,97,50]},{"color":[123,41,50]},{"color":[26,44,50]},{"color":[263,24,50]},{"color":[288,48,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[12,51,50]},{"color":[15,76,50]},{"color":[11,76,50]},{"color":[266,10,50]},{"color":[89,97,50]},{"color":[84,43,50]},{"color":[51,17,50]},{"color":[288,79,50]},{"color":[248,27,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[24,14,50]},{"color":[15,76,50]},{"color":[11,76,50]},{"color":[358,3,50]},{"color":[89,97,50]},{"color":[101,46,50]},{"color":[45,27,50]},{"color":[284,23,50]},{"color":[244,57,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE","numDiffs":6}}
state	StateColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420394311	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[102,61,50]},{"color":[276,28,50]},{"color":[118,8,50]},{"color":[332,91,50]},{"color":[131,17,50]},{"color":[42,89,50]},{"color":[126,24,50]},{"color":[28,64,50]},{"color":[88,91,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[175,75,50]},{"color":[276,28,50]},{"color":[118,8,50]},{"color":[232,48,50]},{"color":[131,17,50]},{"color":[42,89,50]},{"color":[289,17,50]},{"color":[176,7,50]},{"color":[88,91,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[92,88,50]},{"color":[276,28,50]},{"color":[118,8,50]},{"color":[338,72,50]},{"color":[131,17,50]},{"color":[42,89,50]},{"color":[150,55,50]},{"color":[9,37,50]},{"color":[88,91,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT","numDiffs":4}}
state	StateColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420415048	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[353,47,50]},{"color":[84,44,50]},{"color":[160,65,50]},{"color":[151,36,50]},{"color":[173,8,50]},{"color":[229,39,50]},{"color":[359,25,50]},{"color":[54,19,50]},{"color":[225,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[353,47,50]},{"color":[84,44,50]},{"color":[313,24,50]},{"color":[23,66,50]},{"color":[173,8,50]},{"color":[84,28,50]},{"color":[359,25,50]},{"color":[321,27,50]},{"color":[225,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[353,47,50]},{"color":[84,44,50]},{"color":[128,7,50]},{"color":[63,86,50]},{"color":[173,8,50]},{"color":[113,0,50]},{"color":[359,25,50]},{"color":[18,68,50]},{"color":[225,66,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"FAR","numDiffs":4}}
state	StateColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420434951	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[160,5,50]},{"color":[188,64,50]},{"color":[157,54,50]},{"color":[118,16,50]},{"color":[253,18,50]},{"color":[244,16,50]},{"color":[320,15,50]},{"color":[142,2,50]},{"color":[324,42,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[160,5,50]},{"color":[278,7,50]},{"color":[276,2,50]},{"color":[118,16,50]},{"color":[319,47,50]},{"color":[244,16,50]},{"color":[320,15,50]},{"color":[142,2,50]},{"color":[324,42,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[160,5,50]},{"color":[164,50,50]},{"color":[74,30,50]},{"color":[118,16,50]},{"color":[339,0,50]},{"color":[244,16,50]},{"color":[320,15,50]},{"color":[142,2,50]},{"color":[324,42,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT","numDiffs":3}}
state	StateColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420450045	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[172,3,50]},{"color":[157,64,50]},{"color":[87,77,50]},{"color":[22,59,50]},{"color":[225,88,50]},{"color":[108,41,50]},{"color":[214,11,50]},{"color":[122,93,50]},{"color":[20,3,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[182,10,50]},{"color":[145,59,50]},{"color":[87,77,50]},{"color":[26,85,50]},{"color":[225,88,50]},{"color":[108,41,50]},{"color":[214,11,50]},{"color":[138,44,50]},{"color":[20,3,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[205,37,50]},{"color":[124,99,50]},{"color":[87,77,50]},{"color":[30,59,50]},{"color":[225,88,50]},{"color":[108,41,50]},{"color":[214,11,50]},{"color":[123,66,50]},{"color":[20,3,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE","numDiffs":4}}
state	StateColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420485438	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[150,77,50]},{"color":[174,43,50]},{"color":[243,53,50]},{"color":[188,58,50]},{"color":[291,38,50]},{"color":[49,38,50]},{"color":[109,88,50]},{"color":[340,24,50]},{"color":[200,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[150,77,50]},{"color":[174,43,50]},{"color":[243,53,50]},{"color":[188,58,50]},{"color":[291,38,50]},{"color":[106,1,50]},{"color":[109,88,50]},{"color":[340,24,50]},{"color":[200,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[150,77,50]},{"color":[174,43,50]},{"color":[243,53,50]},{"color":[188,58,50]},{"color":[291,38,50]},{"color":[4,30,50]},{"color":[109,88,50]},{"color":[340,24,50]},{"color":[200,4,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"FAR","numDiffs":1}}
state	StateColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420496044	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[188,5,50]},{"color":[250,39,50]},{"color":[5,61,50]},{"color":[60,8,50]},{"color":[182,85,50]},{"color":[24,63,50]},{"color":[219,45,50]},{"color":[234,39,50]},{"color":[123,51,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[188,5,50]},{"color":[250,39,50]},{"color":[5,61,50]},{"color":[60,8,50]},{"color":[182,85,50]},{"color":[24,63,50]},{"color":[219,45,50]},{"color":[234,39,50]},{"color":[208,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[188,5,50]},{"color":[250,39,50]},{"color":[5,61,50]},{"color":[60,8,50]},{"color":[182,85,50]},{"color":[24,63,50]},{"color":[219,45,50]},{"color":[234,39,50]},{"color":[12,64,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"FAR","numDiffs":1}}
state	StateColorGrid	2095-86d2ba1e-81d0-41fe-84e3-f7b97ceba778	1526420515343	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[272,1,50]},{"color":[33,78,50]},{"color":[283,85,50]},{"color":[77,76,50]},{"color":[12,74,50]},{"color":[325,92,50]},{"color":[348,76,50]},{"color":[321,72,50]},{"color":[278,49,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[272,1,50]},{"color":[102,46,50]},{"color":[134,87,50]},{"color":[45,50,50]},{"color":[35,17,50]},{"color":[351,13,50]},{"color":[305,63,50]},{"color":[321,72,50]},{"color":[278,49,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[272,1,50]},{"color":[13,20,50]},{"color":[340,72,50]},{"color":[236,1,50]},{"color":[64,79,50]},{"color":[104,31,50]},{"color":[310,3,50]},{"color":[321,72,50]},{"color":[278,49,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR","numDiffs":6}}
