eventType	type	gameid	time	roundNum	state
state	StateColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423382473	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[76,76,50]},{"color":[63,34,50]},{"color":[348,74,50]},{"color":[201,39,50]},{"color":[308,25,50]},{"color":[130,77,50]},{"color":[79,64,50]},{"color":[356,5,50]},{"color":[274,49,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[76,76,50]},{"color":[84,82,50]},{"color":[348,74,50]},{"color":[201,39,50]},{"color":[308,25,50]},{"color":[130,77,50]},{"color":[64,48,50]},{"color":[210,19,50]},{"color":[256,47,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[76,76,50]},{"color":[108,52,50]},{"color":[348,74,50]},{"color":[201,39,50]},{"color":[308,25,50]},{"color":[130,77,50]},{"color":[65,64,50]},{"color":[219,3,50]},{"color":[284,66,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE","numDiffs":4}}
state	StateColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423398140	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[196,23,50]},{"color":[279,38,50]},{"color":[152,89,50]},{"color":[221,98,50]},{"color":[110,5,50]},{"color":[246,6,50]},{"color":[166,29,50]},{"color":[139,1,50]},{"color":[37,96,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[261,2,50]},{"color":[332,38,50]},{"color":[111,34,50]},{"color":[221,98,50]},{"color":[296,1,50]},{"color":[245,0,50]},{"color":[128,4,50]},{"color":[198,30,50]},{"color":[49,49,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[31,43,50]},{"color":[38,49,50]},{"color":[14,10,50]},{"color":[221,98,50]},{"color":[292,43,50]},{"color":[81,91,50]},{"color":[254,44,50]},{"color":[323,30,50]},{"color":[228,50,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT","numDiffs":8}}
state	StateColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423411535	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[141,13,50]},{"color":[247,21,50]},{"color":[38,57,50]},{"color":[142,62,50]},{"color":[148,70,50]},{"color":[67,7,50]},{"color":[89,83,50]},{"color":[94,97,50]},{"color":[93,16,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[141,13,50]},{"color":[247,21,50]},{"color":[38,57,50]},{"color":[142,62,50]},{"color":[273,80,50]},{"color":[67,7,50]},{"color":[269,73,50]},{"color":[94,97,50]},{"color":[93,16,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[141,13,50]},{"color":[247,21,50]},{"color":[38,57,50]},{"color":[142,62,50]},{"color":[195,63,50]},{"color":[67,7,50]},{"color":[85,22,50]},{"color":[94,97,50]},{"color":[93,16,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"FAR","numDiffs":2}}
state	StateColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423497187	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[21,42,50]},{"color":[263,17,50]},{"color":[155,30,50]},{"color":[152,54,50]},{"color":[227,66,50]},{"color":[234,16,50]},{"color":[84,99,50]},{"color":[196,10,50]},{"color":[138,83,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[17,67,50]},{"color":[263,17,50]},{"color":[155,30,50]},{"color":[162,66,50]},{"color":[269,34,50]},{"color":[234,16,50]},{"color":[84,99,50]},{"color":[196,10,50]},{"color":[138,83,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[6,75,50]},{"color":[263,17,50]},{"color":[155,30,50]},{"color":[173,91,50]},{"color":[278,53,50]},{"color":[234,16,50]},{"color":[84,99,50]},{"color":[196,10,50]},{"color":[138,83,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":3}}
state	StateColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423523546	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[5,42,50]},{"color":[178,80,50]},{"color":[45,24,50]},{"color":[357,23,50]},{"color":[40,11,50]},{"color":[302,20,50]},{"color":[71,97,50]},{"color":[276,41,50]},{"color":[34,63,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[94,28,50]},{"color":[203,21,50]},{"color":[45,24,50]},{"color":[257,25,50]},{"color":[40,11,50]},{"color":[344,73,50]},{"color":[329,37,50]},{"color":[276,41,50]},{"color":[259,59,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[143,53,50]},{"color":[210,84,50]},{"color":[45,24,50]},{"color":[223,52,50]},{"color":[40,11,50]},{"color":[8,36,50]},{"color":[354,26,50]},{"color":[276,41,50]},{"color":[249,93,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":6}}
state	StateColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423560125	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[182,18,50]},{"color":[146,60,50]},{"color":[285,18,50]},{"color":[17,17,50]},{"color":[315,85,50]},{"color":[285,26,50]},{"color":[130,63,50]},{"color":[20,34,50]},{"color":[157,81,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[182,18,50]},{"color":[146,60,50]},{"color":[311,70,50]},{"color":[17,17,50]},{"color":[315,85,50]},{"color":[285,26,50]},{"color":[130,63,50]},{"color":[20,34,50]},{"color":[157,81,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[182,18,50]},{"color":[146,60,50]},{"color":[248,87,50]},{"color":[17,17,50]},{"color":[315,85,50]},{"color":[285,26,50]},{"color":[130,63,50]},{"color":[20,34,50]},{"color":[157,81,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT","numDiffs":1}}
state	StateColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423577372	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[206,45,50]},{"color":[112,33,50]},{"color":[231,35,50]},{"color":[106,21,50]},{"color":[184,29,50]},{"color":[316,86,50]},{"color":[2,68,50]},{"color":[286,77,50]},{"color":[63,39,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[275,48,50]},{"color":[318,23,50]},{"color":[94,24,50]},{"color":[279,38,50]},{"color":[79,61,50]},{"color":[264,74,50]},{"color":[2,68,50]},{"color":[286,77,50]},{"color":[273,64,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[330,46,50]},{"color":[329,93,50]},{"color":[97,61,50]},{"color":[329,58,50]},{"color":[149,91,50]},{"color":[231,67,50]},{"color":[2,68,50]},{"color":[286,77,50]},{"color":[256,35,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT","numDiffs":7}}
state	StateColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423597937	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[352,12,50]},{"color":[282,46,50]},{"color":[212,2,50]},{"color":[189,37,50]},{"color":[234,29,50]},{"color":[321,5,50]},{"color":[118,97,50]},{"color":[93,53,50]},{"color":[81,23,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[352,12,50]},{"color":[9,64,50]},{"color":[277,77,50]},{"color":[158,57,50]},{"color":[34,24,50]},{"color":[87,69,50]},{"color":[301,89,50]},{"color":[52,93,50]},{"color":[81,23,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[352,12,50]},{"color":[136,50,50]},{"color":[8,59,50]},{"color":[314,62,50]},{"color":[281,79,50]},{"color":[296,86,50]},{"color":[70,1,50]},{"color":[273,98,50]},{"color":[81,23,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR","numDiffs":7}}
state	StateColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423613060	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[209,11,50]},{"color":[168,65,50]},{"color":[216,50,50]},{"color":[208,88,50]},{"color":[252,55,50]},{"color":[88,9,50]},{"color":[300,21,50]},{"color":[130,46,50]},{"color":[314,24,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[209,11,50]},{"color":[168,65,50]},{"color":[222,36,50]},{"color":[208,88,50]},{"color":[221,39,50]},{"color":[88,9,50]},{"color":[295,49,50]},{"color":[89,83,50]},{"color":[354,5,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[209,11,50]},{"color":[168,65,50]},{"color":[212,93,50]},{"color":[208,88,50]},{"color":[241,38,50]},{"color":[88,9,50]},{"color":[325,76,50]},{"color":[149,88,50]},{"color":[278,16,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE","numDiffs":5}}
state	StateColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423631322	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[98,78,50]},{"color":[53,2,50]},{"color":[119,99,50]},{"color":[338,46,50]},{"color":[117,26,50]},{"color":[254,43,50]},{"color":[195,0,50]},{"color":[165,27,50]},{"color":[312,77,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[191,96,50]},{"color":[225,23,50]},{"color":[78,0,50]},{"color":[338,46,50]},{"color":[194,92,50]},{"color":[98,3,50]},{"color":[292,29,50]},{"color":[353,77,50]},{"color":[150,54,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[10,45,50]},{"color":[90,45,50]},{"color":[287,26,50]},{"color":[338,46,50]},{"color":[19,3,50]},{"color":[346,85,50]},{"color":[187,96,50]},{"color":[215,27,50]},{"color":[220,55,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[1,2,0],"condition":{"name":"FAR","numDiffs":8}}
state	StateColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423676575	11	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[125,97,50]},{"color":[331,24,50]},{"color":[358,30,50]},{"color":[329,15,50]},{"color":[19,62,50]},{"color":[336,54,50]},{"color":[304,76,50]},{"color":[55,41,50]},{"color":[108,15,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[312,15,50]},{"color":[36,73,50]},{"color":[217,76,50]},{"color":[184,95,50]},{"color":[330,40,50]},{"color":[336,54,50]},{"color":[354,63,50]},{"color":[220,85,50]},{"color":[108,15,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[280,16,50]},{"color":[31,89,50]},{"color":[213,74,50]},{"color":[169,92,50]},{"color":[273,41,50]},{"color":[336,54,50]},{"color":[2,78,50]},{"color":[269,25,50]},{"color":[108,15,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT","numDiffs":7}}
