eventType	type	gameid	time	roundNum	state
state	StateColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526431795107	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[16,73,50]},{"color":[271,23,50]},{"color":[200,37,50]},{"color":[169,31,50]},{"color":[248,42,50]},{"color":[248,27,50]},{"color":[276,47,50]},{"color":[327,46,50]},{"color":[324,39,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[359,30,50]},{"color":[227,17,50]},{"color":[205,63,50]},{"color":[178,31,50]},{"color":[277,87,50]},{"color":[264,66,50]},{"color":[276,47,50]},{"color":[327,46,50]},{"color":[308,62,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[350,92,50]},{"color":[358,13,50]},{"color":[212,46,50]},{"color":[186,87,50]},{"color":[251,80,50]},{"color":[245,76,50]},{"color":[276,47,50]},{"color":[327,46,50]},{"color":[334,89,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE","numDiffs":7}}
state	StateColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526431838491	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[309,57,50]},{"color":[181,29,50]},{"color":[292,96,50]},{"color":[239,83,50]},{"color":[217,41,50]},{"color":[118,76,50]},{"color":[37,97,50]},{"color":[299,81,50]},{"color":[279,58,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[309,57,50]},{"color":[358,33,50]},{"color":[292,96,50]},{"color":[239,83,50]},{"color":[217,41,50]},{"color":[289,4,50]},{"color":[37,97,50]},{"color":[299,81,50]},{"color":[71,61,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[309,57,50]},{"color":[151,94,50]},{"color":[292,96,50]},{"color":[239,83,50]},{"color":[217,41,50]},{"color":[214,88,50]},{"color":[37,97,50]},{"color":[299,81,50]},{"color":[176,93,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"FAR","numDiffs":3}}
state	StateColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526431853296	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[131,84,50]},{"color":[225,68,50]},{"color":[352,24,50]},{"color":[37,85,50]},{"color":[357,78,50]},{"color":[24,6,50]},{"color":[148,31,50]},{"color":[75,18,50]},{"color":[89,57,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[131,84,50]},{"color":[225,68,50]},{"color":[197,23,50]},{"color":[37,85,50]},{"color":[261,24,50]},{"color":[24,6,50]},{"color":[88,60,50]},{"color":[314,77,50]},{"color":[322,0,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[131,84,50]},{"color":[225,68,50]},{"color":[78,28,50]},{"color":[37,85,50]},{"color":[124,6,50]},{"color":[24,6,50]},{"color":[266,39,50]},{"color":[196,56,50]},{"color":[174,94,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"FAR","numDiffs":5}}
state	StateColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526431872287	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[236,38,50]},{"color":[138,85,50]},{"color":[21,53,50]},{"color":[259,86,50]},{"color":[156,26,50]},{"color":[135,48,50]},{"color":[51,79,50]},{"color":[108,94,50]},{"color":[45,92,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[225,97,50]},{"color":[126,70,50]},{"color":[21,53,50]},{"color":[259,86,50]},{"color":[156,26,50]},{"color":[140,86,50]},{"color":[51,79,50]},{"color":[108,94,50]},{"color":[45,92,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[211,31,50]},{"color":[73,74,50]},{"color":[21,53,50]},{"color":[259,86,50]},{"color":[156,26,50]},{"color":[112,57,50]},{"color":[51,79,50]},{"color":[108,94,50]},{"color":[45,92,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":3}}
state	StateColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526431888876	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[299,61,50]},{"color":[143,85,50]},{"color":[306,66,50]},{"color":[150,54,50]},{"color":[72,78,50]},{"color":[229,39,50]},{"color":[159,0,50]},{"color":[257,49,50]},{"color":[171,83,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[228,67,50]},{"color":[143,85,50]},{"color":[207,93,50]},{"color":[48,13,50]},{"color":[164,88,50]},{"color":[129,80,50]},{"color":[123,74,50]},{"color":[305,14,50]},{"color":[171,83,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[31,41,50]},{"color":[143,85,50]},{"color":[138,81,50]},{"color":[274,22,50]},{"color":[311,26,50]},{"color":[43,12,50]},{"color":[344,78,50]},{"color":[74,22,50]},{"color":[171,83,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[0,2,1],"condition":{"name":"FAR","numDiffs":7}}
state	StateColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526431934375	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[100,11,50]},{"color":[259,64,50]},{"color":[218,73,50]},{"color":[118,26,50]},{"color":[55,16,50]},{"color":[182,0,50]},{"color":[211,54,50]},{"color":[276,16,50]},{"color":[139,72,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[100,11,50]},{"color":[256,37,50]},{"color":[218,73,50]},{"color":[54,14,50]},{"color":[55,16,50]},{"color":[182,0,50]},{"color":[211,54,50]},{"color":[276,16,50]},{"color":[139,72,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[100,11,50]},{"color":[5,26,50]},{"color":[218,73,50]},{"color":[258,46,50]},{"color":[55,16,50]},{"color":[182,0,50]},{"color":[211,54,50]},{"color":[276,16,50]},{"color":[139,72,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":2}}
state	StateColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526431949142	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[249,4,50]},{"color":[94,59,50]},{"color":[180,31,50]},{"color":[20,4,50]},{"color":[327,65,50]},{"color":[228,9,50]},{"color":[149,51,50]},{"color":[102,5,50]},{"color":[321,79,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[255,78,50]},{"color":[94,59,50]},{"color":[230,44,50]},{"color":[165,44,50]},{"color":[327,65,50]},{"color":[122,93,50]},{"color":[149,51,50]},{"color":[154,67,50]},{"color":[98,25,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[321,47,50]},{"color":[94,59,50]},{"color":[168,79,50]},{"color":[283,71,50]},{"color":[327,65,50]},{"color":[175,51,50]},{"color":[149,51,50]},{"color":[64,57,50]},{"color":[35,19,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"FAR","numDiffs":6}}
state	StateColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526431976665	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[117,49,50]},{"color":[172,52,50]},{"color":[346,75,50]},{"color":[38,45,50]},{"color":[25,93,50]},{"color":[315,93,50]},{"color":[142,10,50]},{"color":[25,97,50]},{"color":[84,92,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[117,49,50]},{"color":[28,21,50]},{"color":[346,75,50]},{"color":[38,45,50]},{"color":[25,93,50]},{"color":[315,93,50]},{"color":[310,29,50]},{"color":[250,66,50]},{"color":[89,20,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[117,49,50]},{"color":[37,0,50]},{"color":[346,75,50]},{"color":[38,45,50]},{"color":[25,93,50]},{"color":[315,93,50]},{"color":[286,27,50]},{"color":[264,86,50]},{"color":[67,30,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":4}}
state	StateColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526432012798	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[72,71,50]},{"color":[176,66,50]},{"color":[188,30,50]},{"color":[233,16,50]},{"color":[41,77,50]},{"color":[319,17,50]},{"color":[208,76,50]},{"color":[226,24,50]},{"color":[359,34,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[142,74,50]},{"color":[176,66,50]},{"color":[188,30,50]},{"color":[233,16,50]},{"color":[55,59,50]},{"color":[328,42,50]},{"color":[208,76,50]},{"color":[236,26,50]},{"color":[301,10,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[115,92,50]},{"color":[176,66,50]},{"color":[188,30,50]},{"color":[233,16,50]},{"color":[41,98,50]},{"color":[312,38,50]},{"color":[208,76,50]},{"color":[235,43,50]},{"color":[348,38,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE","numDiffs":5}}
state	StateColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526432047072	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[143,4,50]},{"color":[56,19,50]},{"color":[331,14,50]},{"color":[203,97,50]},{"color":[89,63,50]},{"color":[276,78,50]},{"color":[132,15,50]},{"color":[73,72,50]},{"color":[281,22,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[26,12,50]},{"color":[56,19,50]},{"color":[331,14,50]},{"color":[203,97,50]},{"color":[86,32,50]},{"color":[276,78,50]},{"color":[184,14,50]},{"color":[73,72,50]},{"color":[281,22,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[276,58,50]},{"color":[56,19,50]},{"color":[331,14,50]},{"color":[203,97,50]},{"color":[180,47,50]},{"color":[276,78,50]},{"color":[24,26,50]},{"color":[73,72,50]},{"color":[281,22,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT","numDiffs":3}}
state	StateColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526432088140	11	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[194,16,50]},{"color":[47,26,50]},{"color":[219,4,50]},{"color":[339,85,50]},{"color":[253,64,50]},{"color":[58,63,50]},{"color":[334,3,50]},{"color":[240,12,50]},{"color":[214,39,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[194,16,50]},{"color":[46,48,50]},{"color":[240,22,50]},{"color":[339,85,50]},{"color":[253,64,50]},{"color":[58,63,50]},{"color":[334,3,50]},{"color":[240,12,50]},{"color":[214,39,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[194,16,50]},{"color":[27,48,50]},{"color":[216,35,50]},{"color":[339,85,50]},{"color":[253,64,50]},{"color":[58,63,50]},{"color":[334,3,50]},{"color":[240,12,50]},{"color":[214,39,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE","numDiffs":2}}
state	StateColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526432129643	12	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[223,73,50]},{"color":[147,83,50]},{"color":[350,66,50]},{"color":[207,13,50]},{"color":[160,38,50]},{"color":[133,66,50]},{"color":[155,90,50]},{"color":[139,64,50]},{"color":[35,76,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[320,26,50]},{"color":[286,34,50]},{"color":[62,10,50]},{"color":[207,13,50]},{"color":[56,63,50]},{"color":[22,56,50]},{"color":[237,41,50]},{"color":[139,64,50]},{"color":[35,76,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[349,24,50]},{"color":[248,56,50]},{"color":[119,8,50]},{"color":[207,13,50]},{"color":[66,46,50]},{"color":[1,19,50]},{"color":[212,95,50]},{"color":[139,64,50]},{"color":[35,76,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT","numDiffs":6}}
state	StateColorGrid	3683-8bcf4877-22e7-47dc-ba28-36b28ac2144c	1526432156751	13	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[326,38,50]},{"color":[203,7,50]},{"color":[83,24,50]},{"color":[171,7,50]},{"color":[337,38,50]},{"color":[160,40,50]},{"color":[109,49,50]},{"color":[224,89,50]},{"color":[19,13,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[322,8,50]},{"color":[211,76,50]},{"color":[83,24,50]},{"color":[171,7,50]},{"color":[321,61,50]},{"color":[160,40,50]},{"color":[109,49,50]},{"color":[224,89,50]},{"color":[307,2,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[285,15,50]},{"color":[215,81,50]},{"color":[83,24,50]},{"color":[171,7,50]},{"color":[311,29,50]},{"color":[160,40,50]},{"color":[109,49,50]},{"color":[224,89,50]},{"color":[38,23,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE","numDiffs":4}}
