eventType	type	gameid	time	roundNum	state
state	StateColorGrid	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526431915978	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[354,46,50]},{"color":[125,84,50]},{"color":[11,70,50]},{"color":[279,41,50]},{"color":[64,84,50]},{"color":[61,11,50]},{"color":[352,31,50]},{"color":[237,13,50]},{"color":[110,79,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[354,46,50]},{"color":[71,87,50]},{"color":[11,70,50]},{"color":[279,41,50]},{"color":[64,84,50]},{"color":[61,11,50]},{"color":[352,31,50]},{"color":[238,38,50]},{"color":[93,30,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[354,46,50]},{"color":[143,97,50]},{"color":[11,70,50]},{"color":[279,41,50]},{"color":[64,84,50]},{"color":[61,11,50]},{"color":[352,31,50]},{"color":[263,29,50]},{"color":[137,54,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE","numDiffs":3}}
state	StateColorGrid	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432017253	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[129,41,50]},{"color":[38,33,50]},{"color":[179,48,50]},{"color":[91,50,50]},{"color":[71,13,50]},{"color":[343,97,50]},{"color":[235,35,50]},{"color":[300,19,50]},{"color":[50,24,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[170,32,50]},{"color":[106,4,50]},{"color":[186,66,50]},{"color":[108,36,50]},{"color":[71,13,50]},{"color":[336,40,50]},{"color":[240,61,50]},{"color":[306,33,50]},{"color":[40,79,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[159,31,50]},{"color":[37,5,50]},{"color":[195,83,50]},{"color":[144,77,50]},{"color":[71,13,50]},{"color":[335,87,50]},{"color":[248,28,50]},{"color":[319,42,50]},{"color":[37,62,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE","numDiffs":8}}
state	StateColorGrid	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432082707	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[188,54,50]},{"color":[294,30,50]},{"color":[6,94,50]},{"color":[165,47,50]},{"color":[8,68,50]},{"color":[352,82,50]},{"color":[82,0,50]},{"color":[215,11,50]},{"color":[202,69,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[188,54,50]},{"color":[294,30,50]},{"color":[6,94,50]},{"color":[87,17,50]},{"color":[8,68,50]},{"color":[352,82,50]},{"color":[82,0,50]},{"color":[215,11,50]},{"color":[198,73,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[188,54,50]},{"color":[294,30,50]},{"color":[6,94,50]},{"color":[138,49,50]},{"color":[8,68,50]},{"color":[352,82,50]},{"color":[82,0,50]},{"color":[215,11,50]},{"color":[192,99,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE","numDiffs":2}}
state	StateColorGrid	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432132266	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[185,42,50]},{"color":[355,30,50]},{"color":[129,67,50]},{"color":[8,43,50]},{"color":[181,75,50]},{"color":[41,5,50]},{"color":[292,36,50]},{"color":[201,98,50]},{"color":[140,35,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[223,28,50]},{"color":[355,30,50]},{"color":[207,35,50]},{"color":[236,73,50]},{"color":[208,90,50]},{"color":[111,82,50]},{"color":[40,63,50]},{"color":[57,36,50]},{"color":[303,45,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[143,91,50]},{"color":[355,30,50]},{"color":[62,47,50]},{"color":[64,23,50]},{"color":[11,92,50]},{"color":[245,97,50]},{"color":[98,34,50]},{"color":[340,29,50]},{"color":[87,92,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"FAR","numDiffs":8}}
state	StateColorGrid	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432146588	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[201,32,50]},{"color":[285,89,50]},{"color":[289,12,50]},{"color":[319,17,50]},{"color":[186,77,50]},{"color":[55,38,50]},{"color":[104,56,50]},{"color":[309,14,50]},{"color":[326,43,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[140,93,50]},{"color":[205,75,50]},{"color":[289,12,50]},{"color":[319,17,50]},{"color":[186,77,50]},{"color":[55,38,50]},{"color":[104,56,50]},{"color":[59,24,50]},{"color":[61,74,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[270,35,50]},{"color":[252,18,50]},{"color":[289,12,50]},{"color":[319,17,50]},{"color":[186,77,50]},{"color":[55,38,50]},{"color":[104,56,50]},{"color":[17,75,50]},{"color":[171,17,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"FAR","numDiffs":4}}
state	StateColorGrid	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432174849	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[301,50,50]},{"color":[73,29,50]},{"color":[313,87,50]},{"color":[26,54,50]},{"color":[291,31,50]},{"color":[155,24,50]},{"color":[243,51,50]},{"color":[62,35,50]},{"color":[333,41,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[71,28,50]},{"color":[357,8,50]},{"color":[78,96,50]},{"color":[270,0,50]},{"color":[291,31,50]},{"color":[355,49,50]},{"color":[58,75,50]},{"color":[191,32,50]},{"color":[36,2,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[256,27,50]},{"color":[109,19,50]},{"color":[285,65,50]},{"color":[35,36,50]},{"color":[291,31,50]},{"color":[59,5,50]},{"color":[274,78,50]},{"color":[95,73,50]},{"color":[323,65,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":8}}
state	StateColorGrid	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432252232	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[177,92,50]},{"color":[299,75,50]},{"color":[99,40,50]},{"color":[55,52,50]},{"color":[205,22,50]},{"color":[20,77,50]},{"color":[160,98,50]},{"color":[356,67,50]},{"color":[175,50,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[167,93,50]},{"color":[307,37,50]},{"color":[99,40,50]},{"color":[55,52,50]},{"color":[228,26,50]},{"color":[20,77,50]},{"color":[160,98,50]},{"color":[335,45,50]},{"color":[175,50,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[169,46,50]},{"color":[312,85,50]},{"color":[99,40,50]},{"color":[55,52,50]},{"color":[274,7,50]},{"color":[20,77,50]},{"color":[160,98,50]},{"color":[339,58,50]},{"color":[175,50,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE","numDiffs":4}}
state	StateColorGrid	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432292719	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[74,15,50]},{"color":[189,80,50]},{"color":[19,69,50]},{"color":[110,56,50]},{"color":[357,98,50]},{"color":[254,81,50]},{"color":[253,45,50]},{"color":[320,51,50]},{"color":[158,3,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[74,15,50]},{"color":[273,46,50]},{"color":[244,54,50]},{"color":[231,4,50]},{"color":[193,50,50]},{"color":[172,47,50]},{"color":[324,8,50]},{"color":[81,63,50]},{"color":[348,89,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[74,15,50]},{"color":[341,44,50]},{"color":[146,42,50]},{"color":[332,60,50]},{"color":[28,28,50]},{"color":[326,47,50]},{"color":[210,71,50]},{"color":[247,57,50]},{"color":[176,97,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":8}}
state	StateColorGrid	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432312307	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[78,79,50]},{"color":[329,2,50]},{"color":[355,55,50]},{"color":[358,97,50]},{"color":[87,5,50]},{"color":[119,42,50]},{"color":[357,58,50]},{"color":[106,79,50]},{"color":[210,92,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[78,79,50]},{"color":[59,72,50]},{"color":[58,85,50]},{"color":[218,76,50]},{"color":[147,71,50]},{"color":[224,24,50]},{"color":[152,30,50]},{"color":[220,95,50]},{"color":[24,75,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[78,79,50]},{"color":[207,46,50]},{"color":[281,80,50]},{"color":[147,26,50]},{"color":[252,10,50]},{"color":[58,62,50]},{"color":[108,95,50]},{"color":[335,69,50]},{"color":[251,92,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"FAR","numDiffs":8}}
state	StateColorGrid	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432381293	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[11,6,50]},{"color":[45,37,50]},{"color":[347,93,50]},{"color":[326,5,50]},{"color":[312,37,50]},{"color":[63,83,50]},{"color":[76,12,50]},{"color":[331,7,50]},{"color":[315,24,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[39,17,50]},{"color":[33,74,50]},{"color":[346,26,50]},{"color":[30,11,50]},{"color":[312,37,50]},{"color":[63,83,50]},{"color":[88,44,50]},{"color":[352,3,50]},{"color":[310,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[273,3,50]},{"color":[26,33,50]},{"color":[331,76,50]},{"color":[174,2,50]},{"color":[312,37,50]},{"color":[63,83,50]},{"color":[99,26,50]},{"color":[256,11,50]},{"color":[286,28,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE","numDiffs":7}}
