eventType	type	gameid	time	roundNum	state
state	StateColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434028452	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[290,98,50]},{"color":[137,90,50]},{"color":[40,15,50]},{"color":[6,47,50]},{"color":[257,14,50]},{"color":[138,90,50]},{"color":[350,14,50]},{"color":[195,82,50]},{"color":[151,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[194,23,50]},{"color":[23,16,50]},{"color":[309,81,50]},{"color":[6,47,50]},{"color":[243,81,50]},{"color":[6,70,50]},{"color":[170,54,50]},{"color":[281,0,50]},{"color":[151,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[160,32,50]},{"color":[209,6,50]},{"color":[282,78,50]},{"color":[6,47,50]},{"color":[220,73,50]},{"color":[344,72,50]},{"color":[156,15,50]},{"color":[37,10,50]},{"color":[151,66,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT","numDiffs":7}}
state	StateColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434051126	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[150,2,50]},{"color":[353,2,50]},{"color":[151,98,50]},{"color":[39,71,50]},{"color":[234,19,50]},{"color":[42,8,50]},{"color":[199,48,50]},{"color":[44,42,50]},{"color":[42,94,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[300,53,50]},{"color":[353,2,50]},{"color":[71,64,50]},{"color":[39,71,50]},{"color":[234,19,50]},{"color":[188,30,50]},{"color":[199,48,50]},{"color":[44,42,50]},{"color":[256,47,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[65,51,50]},{"color":[353,2,50]},{"color":[102,0,50]},{"color":[39,71,50]},{"color":[234,19,50]},{"color":[272,98,50]},{"color":[199,48,50]},{"color":[44,42,50]},{"color":[122,53,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[2,0,1],"condition":{"name":"FAR","numDiffs":4}}
state	StateColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434084874	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[321,85,50]},{"color":[264,14,50]},{"color":[358,82,50]},{"color":[143,58,50]},{"color":[19,65,50]},{"color":[272,65,50]},{"color":[313,22,50]},{"color":[121,52,50]},{"color":[288,30,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[321,85,50]},{"color":[264,14,50]},{"color":[358,82,50]},{"color":[143,58,50]},{"color":[19,65,50]},{"color":[272,65,50]},{"color":[313,22,50]},{"color":[280,66,50]},{"color":[288,30,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[321,85,50]},{"color":[264,14,50]},{"color":[358,82,50]},{"color":[143,58,50]},{"color":[19,65,50]},{"color":[272,65,50]},{"color":[313,22,50]},{"color":[309,77,50]},{"color":[288,30,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT","numDiffs":1}}
state	StateColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434104409	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[312,12,50]},{"color":[304,75,50]},{"color":[314,7,50]},{"color":[77,5,50]},{"color":[318,70,50]},{"color":[2,65,50]},{"color":[171,4,50]},{"color":[134,77,50]},{"color":[87,86,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[312,12,50]},{"color":[348,47,50]},{"color":[44,70,50]},{"color":[296,21,50]},{"color":[267,5,50]},{"color":[302,70,50]},{"color":[154,57,50]},{"color":[255,56,50]},{"color":[182,31,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[312,12,50]},{"color":[102,61,50]},{"color":[241,53,50]},{"color":[164,74,50]},{"color":[72,51,50]},{"color":[168,5,50]},{"color":[252,59,50]},{"color":[341,28,50]},{"color":[274,51,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":8}}
state	StateColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434138701	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[321,65,50]},{"color":[352,34,50]},{"color":[254,6,50]},{"color":[96,50,50]},{"color":[236,33,50]},{"color":[283,76,50]},{"color":[81,90,50]},{"color":[243,27,50]},{"color":[67,39,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[328,99,50]},{"color":[5,50,50]},{"color":[39,13,50]},{"color":[96,50,50]},{"color":[236,33,50]},{"color":[283,76,50]},{"color":[157,93,50]},{"color":[220,85,50]},{"color":[55,69,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[250,35,50]},{"color":[188,68,50]},{"color":[183,73,50]},{"color":[96,50,50]},{"color":[236,33,50]},{"color":[283,76,50]},{"color":[21,28,50]},{"color":[91,51,50]},{"color":[8,42,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT","numDiffs":6}}
state	StateColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434239968	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[347,24,50]},{"color":[71,1,50]},{"color":[317,82,50]},{"color":[224,64,50]},{"color":[179,77,50]},{"color":[140,72,50]},{"color":[26,91,50]},{"color":[121,73,50]},{"color":[337,33,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[347,24,50]},{"color":[71,1,50]},{"color":[317,82,50]},{"color":[224,64,50]},{"color":[179,77,50]},{"color":[103,18,50]},{"color":[26,91,50]},{"color":[121,73,50]},{"color":[337,33,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[347,24,50]},{"color":[71,1,50]},{"color":[317,82,50]},{"color":[224,64,50]},{"color":[179,77,50]},{"color":[166,99,50]},{"color":[26,91,50]},{"color":[121,73,50]},{"color":[337,33,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT","numDiffs":1}}
state	StateColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434275579	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[47,13,50]},{"color":[71,51,50]},{"color":[267,46,50]},{"color":[8,76,50]},{"color":[76,80,50]},{"color":[349,66,50]},{"color":[115,22,50]},{"color":[263,96,50]},{"color":[318,98,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[47,13,50]},{"color":[338,18,50]},{"color":[210,88,50]},{"color":[336,34,50]},{"color":[338,98,50]},{"color":[349,66,50]},{"color":[98,78,50]},{"color":[161,61,50]},{"color":[318,98,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[47,13,50]},{"color":[98,12,50]},{"color":[76,96,50]},{"color":[236,28,50]},{"color":[236,33,50]},{"color":[349,66,50]},{"color":[312,18,50]},{"color":[283,6,50]},{"color":[318,98,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR","numDiffs":6}}
state	StateColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434297331	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[156,31,50]},{"color":[241,91,50]},{"color":[0,73,50]},{"color":[280,29,50]},{"color":[341,99,50]},{"color":[34,0,50]},{"color":[0,38,50]},{"color":[215,88,50]},{"color":[246,29,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[156,31,50]},{"color":[254,59,50]},{"color":[0,73,50]},{"color":[280,29,50]},{"color":[15,86,50]},{"color":[29,22,50]},{"color":[339,36,50]},{"color":[215,88,50]},{"color":[246,29,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[156,31,50]},{"color":[314,50,50]},{"color":[0,73,50]},{"color":[280,29,50]},{"color":[165,4,50]},{"color":[345,67,50]},{"color":[308,93,50]},{"color":[215,88,50]},{"color":[246,29,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT","numDiffs":4}}
state	StateColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434358394	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[339,73,50]},{"color":[144,14,50]},{"color":[110,13,50]},{"color":[288,60,50]},{"color":[73,22,50]},{"color":[308,57,50]},{"color":[141,32,50]},{"color":[227,27,50]},{"color":[300,20,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[321,74,50]},{"color":[144,14,50]},{"color":[79,27,50]},{"color":[288,60,50]},{"color":[103,25,50]},{"color":[284,68,50]},{"color":[164,44,50]},{"color":[227,27,50]},{"color":[320,48,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[347,44,50]},{"color":[144,14,50]},{"color":[127,49,50]},{"color":[288,60,50]},{"color":[125,44,50]},{"color":[308,22,50]},{"color":[150,20,50]},{"color":[227,27,50]},{"color":[296,14,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":6}}
state	StateColorGrid	0662-16810e9b-6397-4bb9-9b30-faacb5fa0af0	1526434381656	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[302,66,50]},{"color":[45,72,50]},{"color":[63,53,50]},{"color":[125,80,50]},{"color":[311,72,50]},{"color":[0,85,50]},{"color":[259,33,50]},{"color":[32,7,50]},{"color":[129,24,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[325,61,50]},{"color":[37,89,50]},{"color":[63,53,50]},{"color":[125,80,50]},{"color":[344,53,50]},{"color":[0,85,50]},{"color":[241,81,50]},{"color":[69,5,50]},{"color":[129,24,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[318,96,50]},{"color":[45,92,50]},{"color":[63,53,50]},{"color":[125,80,50]},{"color":[309,21,50]},{"color":[0,85,50]},{"color":[258,42,50]},{"color":[319,5,50]},{"color":[129,24,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":5}}
