eventType	type	gameid	time	roundNum	state
state	StateColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495156322	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[240,23,50]},{"color":[253,90,50]},{"color":[278,88,50]},{"color":[142,61,50]},{"color":[5,81,50]},{"color":[68,99,50]},{"color":[216,19,50]},{"color":[282,83,50]},{"color":[359,49,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[117,93,50]},{"color":[253,90,50]},{"color":[208,58,50]},{"color":[142,61,50]},{"color":[260,65,50]},{"color":[114,25,50]},{"color":[172,56,50]},{"color":[282,83,50]},{"color":[82,40,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[268,17,50]},{"color":[253,90,50]},{"color":[267,69,50]},{"color":[142,61,50]},{"color":[15,31,50]},{"color":[82,70,50]},{"color":[267,15,50]},{"color":[282,83,50]},{"color":[349,49,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":6}}
state	StateColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495215671	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[235,86,50]},{"color":[281,60,50]},{"color":[2,59,50]},{"color":[71,71,50]},{"color":[107,66,50]},{"color":[108,96,50]},{"color":[302,23,50]},{"color":[289,15,50]},{"color":[139,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[252,62,50]},{"color":[281,60,50]},{"color":[2,59,50]},{"color":[104,38,50]},{"color":[84,29,50]},{"color":[110,59,50]},{"color":[314,57,50]},{"color":[290,56,50]},{"color":[139,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[229,83,50]},{"color":[281,60,50]},{"color":[2,59,50]},{"color":[80,52,50]},{"color":[129,37,50]},{"color":[73,49,50]},{"color":[305,62,50]},{"color":[314,28,50]},{"color":[139,53,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE","numDiffs":6}}
state	StateColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495232380	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[338,39,50]},{"color":[66,53,50]},{"color":[116,75,50]},{"color":[292,51,50]},{"color":[150,30,50]},{"color":[48,42,50]},{"color":[7,8,50]},{"color":[184,85,50]},{"color":[210,90,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[338,39,50]},{"color":[66,53,50]},{"color":[116,75,50]},{"color":[148,24,50]},{"color":[349,15,50]},{"color":[157,28,50]},{"color":[7,8,50]},{"color":[166,18,50]},{"color":[230,72,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[338,39,50]},{"color":[66,53,50]},{"color":[116,75,50]},{"color":[17,17,50]},{"color":[71,88,50]},{"color":[120,74,50]},{"color":[7,8,50]},{"color":[60,57,50]},{"color":[116,73,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"FAR","numDiffs":5}}
state	StateColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495306652	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[332,74,50]},{"color":[324,10,50]},{"color":[268,94,50]},{"color":[67,62,50]},{"color":[216,41,50]},{"color":[149,67,50]},{"color":[88,27,50]},{"color":[91,29,50]},{"color":[23,90,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[312,31,50]},{"color":[324,10,50]},{"color":[257,42,50]},{"color":[100,45,50]},{"color":[210,82,50]},{"color":[149,67,50]},{"color":[57,44,50]},{"color":[162,36,50]},{"color":[357,87,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[297,52,50]},{"color":[324,10,50]},{"color":[244,56,50]},{"color":[74,92,50]},{"color":[224,79,50]},{"color":[149,67,50]},{"color":[44,17,50]},{"color":[118,26,50]},{"color":[14,82,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE","numDiffs":7}}
state	StateColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495359231	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[78,88,50]},{"color":[4,4,50]},{"color":[7,6,50]},{"color":[200,58,50]},{"color":[239,92,50]},{"color":[183,28,50]},{"color":[49,51,50]},{"color":[355,66,50]},{"color":[92,49,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[78,88,50]},{"color":[182,26,50]},{"color":[7,6,50]},{"color":[200,58,50]},{"color":[77,76,50]},{"color":[161,87,50]},{"color":[49,51,50]},{"color":[355,66,50]},{"color":[92,49,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[78,88,50]},{"color":[349,36,50]},{"color":[7,6,50]},{"color":[200,58,50]},{"color":[2,2,50]},{"color":[338,32,50]},{"color":[49,51,50]},{"color":[355,66,50]},{"color":[92,49,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"FAR","numDiffs":3}}
state	StateColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495374344	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[129,6,50]},{"color":[63,8,50]},{"color":[233,28,50]},{"color":[352,59,50]},{"color":[199,82,50]},{"color":[212,60,50]},{"color":[80,77,50]},{"color":[269,7,50]},{"color":[8,54,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[8,53,50]},{"color":[63,8,50]},{"color":[233,28,50]},{"color":[352,59,50]},{"color":[143,63,50]},{"color":[212,60,50]},{"color":[80,77,50]},{"color":[269,7,50]},{"color":[8,54,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[245,29,50]},{"color":[63,8,50]},{"color":[233,28,50]},{"color":[352,59,50]},{"color":[312,98,50]},{"color":[212,60,50]},{"color":[80,77,50]},{"color":[269,7,50]},{"color":[8,54,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR","numDiffs":2}}
state	StateColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495407452	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[323,58,50]},{"color":[0,22,50]},{"color":[279,99,50]},{"color":[296,52,50]},{"color":[64,16,50]},{"color":[217,78,50]},{"color":[204,4,50]},{"color":[36,64,50]},{"color":[330,42,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[323,58,50]},{"color":[41,94,50]},{"color":[279,99,50]},{"color":[90,28,50]},{"color":[64,16,50]},{"color":[140,91,50]},{"color":[60,89,50]},{"color":[36,64,50]},{"color":[330,42,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[323,58,50]},{"color":[82,7,50]},{"color":[279,99,50]},{"color":[178,94,50]},{"color":[64,16,50]},{"color":[248,7,50]},{"color":[226,86,50]},{"color":[36,64,50]},{"color":[330,42,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[2,0,1],"condition":{"name":"FAR","numDiffs":4}}
state	StateColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495423974	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[239,61,50]},{"color":[200,17,50]},{"color":[290,24,50]},{"color":[355,22,50]},{"color":[314,20,50]},{"color":[265,17,50]},{"color":[76,65,50]},{"color":[320,7,50]},{"color":[75,51,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[262,63,50]},{"color":[151,10,50]},{"color":[290,24,50]},{"color":[322,65,50]},{"color":[349,17,50]},{"color":[254,25,50]},{"color":[76,65,50]},{"color":[267,1,50]},{"color":[63,24,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[183,2,50]},{"color":[33,66,50]},{"color":[290,24,50]},{"color":[89,38,50]},{"color":[80,53,50]},{"color":[305,65,50]},{"color":[76,65,50]},{"color":[136,61,50]},{"color":[206,40,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT","numDiffs":7}}
state	StateColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495452533	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[15,24,50]},{"color":[75,52,50]},{"color":[248,60,50]},{"color":[130,37,50]},{"color":[105,31,50]},{"color":[183,13,50]},{"color":[39,44,50]},{"color":[53,20,50]},{"color":[277,45,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[15,24,50]},{"color":[103,50,50]},{"color":[248,60,50]},{"color":[130,37,50]},{"color":[105,31,50]},{"color":[198,59,50]},{"color":[39,44,50]},{"color":[97,35,50]},{"color":[277,45,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[15,24,50]},{"color":[123,98,50]},{"color":[248,60,50]},{"color":[130,37,50]},{"color":[105,31,50]},{"color":[190,72,50]},{"color":[39,44,50]},{"color":[110,20,50]},{"color":[277,45,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE","numDiffs":3}}
state	StateColorGrid	2090-ebb58aea-8cb6-40b1-9283-6af7fd389f5a	1526495486196	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[207,72,50]},{"color":[28,75,50]},{"color":[90,32,50]},{"color":[30,81,50]},{"color":[50,62,50]},{"color":[261,57,50]},{"color":[350,99,50]},{"color":[209,20,50]},{"color":[241,38,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[207,72,50]},{"color":[28,75,50]},{"color":[90,32,50]},{"color":[30,81,50]},{"color":[50,62,50]},{"color":[261,57,50]},{"color":[350,99,50]},{"color":[356,86,50]},{"color":[241,38,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[207,72,50]},{"color":[28,75,50]},{"color":[90,32,50]},{"color":[30,81,50]},{"color":[50,62,50]},{"color":[261,57,50]},{"color":[350,99,50]},{"color":[193,70,50]},{"color":[241,38,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT","numDiffs":1}}
