eventType	type	gameid	time	roundNum	state
state	StateColorGrid	0781-6d39940b-f8b8-4b3a-addb-a7445d06f2c3	1526505386250	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[219,35,50]},{"color":[47,54,50]},{"color":[56,23,50]},{"color":[33,3,50]},{"color":[209,69,50]},{"color":[74,90,50]},{"color":[268,20,50]},{"color":[117,20,50]},{"color":[181,69,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[219,35,50]},{"color":[47,54,50]},{"color":[56,23,50]},{"color":[33,3,50]},{"color":[267,31,50]},{"color":[89,16,50]},{"color":[268,20,50]},{"color":[117,20,50]},{"color":[60,18,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[219,35,50]},{"color":[47,54,50]},{"color":[56,23,50]},{"color":[33,3,50]},{"color":[136,28,50]},{"color":[214,30,50]},{"color":[268,20,50]},{"color":[117,20,50]},{"color":[67,88,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"FAR","numDiffs":3}}
state	StateColorGrid	0781-6d39940b-f8b8-4b3a-addb-a7445d06f2c3	1526505487455	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[129,24,50]},{"color":[303,41,50]},{"color":[9,78,50]},{"color":[116,86,50]},{"color":[193,10,50]},{"color":[154,26,50]},{"color":[191,70,50]},{"color":[124,43,50]},{"color":[194,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[129,24,50]},{"color":[327,80,50]},{"color":[29,84,50]},{"color":[111,54,50]},{"color":[280,71,50]},{"color":[154,26,50]},{"color":[205,88,50]},{"color":[94,71,50]},{"color":[198,87,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[129,24,50]},{"color":[322,19,50]},{"color":[18,28,50]},{"color":[78,93,50]},{"color":[284,93,50]},{"color":[154,26,50]},{"color":[194,45,50]},{"color":[100,84,50]},{"color":[206,21,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE","numDiffs":7}}
state	StateColorGrid	0781-6d39940b-f8b8-4b3a-addb-a7445d06f2c3	1526505576503	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[200,56,50]},{"color":[292,33,50]},{"color":[274,15,50]},{"color":[4,56,50]},{"color":[87,66,50]},{"color":[264,89,50]},{"color":[7,41,50]},{"color":[357,48,50]},{"color":[96,35,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[200,56,50]},{"color":[292,33,50]},{"color":[274,15,50]},{"color":[4,56,50]},{"color":[224,98,50]},{"color":[88,6,50]},{"color":[92,54,50]},{"color":[357,48,50]},{"color":[4,14,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[200,56,50]},{"color":[292,33,50]},{"color":[274,15,50]},{"color":[4,56,50]},{"color":[268,66,50]},{"color":[186,0,50]},{"color":[75,28,50]},{"color":[357,48,50]},{"color":[345,63,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT","numDiffs":4}}
state	StateColorGrid	0781-6d39940b-f8b8-4b3a-addb-a7445d06f2c3	1526505624630	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[314,69,50]},{"color":[310,0,50]},{"color":[305,36,50]},{"color":[109,48,50]},{"color":[237,80,50]},{"color":[216,10,50]},{"color":[249,77,50]},{"color":[341,38,50]},{"color":[206,44,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[298,36,50]},{"color":[209,23,50]},{"color":[261,32,50]},{"color":[109,48,50]},{"color":[243,54,50]},{"color":[216,10,50]},{"color":[249,77,50]},{"color":[290,32,50]},{"color":[206,44,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[113,8,50]},{"color":[272,75,50]},{"color":[27,33,50]},{"color":[109,48,50]},{"color":[297,60,50]},{"color":[216,10,50]},{"color":[249,77,50]},{"color":[244,61,50]},{"color":[206,44,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":5}}
state	StateColorGrid	0781-6d39940b-f8b8-4b3a-addb-a7445d06f2c3	1526505653309	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[303,57,50]},{"color":[256,7,50]},{"color":[4,94,50]},{"color":[86,29,50]},{"color":[284,71,50]},{"color":[348,17,50]},{"color":[74,95,50]},{"color":[221,76,50]},{"color":[146,45,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[62,6,50]},{"color":[102,97,50]},{"color":[80,65,50]},{"color":[319,55,50]},{"color":[48,69,50]},{"color":[166,96,50]},{"color":[315,89,50]},{"color":[221,76,50]},{"color":[318,79,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[289,77,50]},{"color":[220,9,50]},{"color":[351,51,50]},{"color":[83,81,50]},{"color":[262,42,50]},{"color":[340,35,50]},{"color":[118,92,50]},{"color":[221,76,50]},{"color":[124,26,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT","numDiffs":8}}
state	StateColorGrid	0781-6d39940b-f8b8-4b3a-addb-a7445d06f2c3	1526505723043	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[108,22,50]},{"color":[239,45,50]},{"color":[188,39,50]},{"color":[341,32,50]},{"color":[343,40,50]},{"color":[327,28,50]},{"color":[82,85,50]},{"color":[304,49,50]},{"color":[221,22,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[161,10,50]},{"color":[220,36,50]},{"color":[188,39,50]},{"color":[344,18,50]},{"color":[307,67,50]},{"color":[301,62,50]},{"color":[67,98,50]},{"color":[294,79,50]},{"color":[356,5,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[137,30,50]},{"color":[258,28,50]},{"color":[188,39,50]},{"color":[269,29,50]},{"color":[332,73,50]},{"color":[316,17,50]},{"color":[56,84,50]},{"color":[334,52,50]},{"color":[219,13,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE","numDiffs":8}}
state	StateColorGrid	0781-6d39940b-f8b8-4b3a-addb-a7445d06f2c3	1526505732315	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[341,57,50]},{"color":[68,79,50]},{"color":[39,53,50]},{"color":[64,55,50]},{"color":[188,58,50]},{"color":[113,13,50]},{"color":[87,91,50]},{"color":[23,47,50]},{"color":[19,52,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[341,57,50]},{"color":[14,49,50]},{"color":[39,53,50]},{"color":[241,6,50]},{"color":[16,83,50]},{"color":[213,8,50]},{"color":[87,91,50]},{"color":[23,47,50]},{"color":[19,52,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[341,57,50]},{"color":[239,50,50]},{"color":[39,53,50]},{"color":[237,37,50]},{"color":[247,85,50]},{"color":[347,77,50]},{"color":[87,91,50]},{"color":[23,47,50]},{"color":[19,52,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR","numDiffs":4}}
state	StateColorGrid	0781-6d39940b-f8b8-4b3a-addb-a7445d06f2c3	1526505760055	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[321,56,50]},{"color":[183,93,50]},{"color":[338,6,50]},{"color":[179,6,50]},{"color":[217,15,50]},{"color":[355,79,50]},{"color":[250,73,50]},{"color":[28,65,50]},{"color":[134,80,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[247,8,50]},{"color":[216,86,50]},{"color":[338,6,50]},{"color":[179,6,50]},{"color":[217,15,50]},{"color":[355,79,50]},{"color":[348,34,50]},{"color":[28,65,50]},{"color":[168,61,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[229,52,50]},{"color":[280,27,50]},{"color":[338,6,50]},{"color":[179,6,50]},{"color":[217,15,50]},{"color":[355,79,50]},{"color":[33,87,50]},{"color":[28,65,50]},{"color":[352,66,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[2,0,1],"condition":{"name":"FAR","numDiffs":4}}
state	StateColorGrid	0781-6d39940b-f8b8-4b3a-addb-a7445d06f2c3	1526505777780	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[65,27,50]},{"color":[188,68,50]},{"color":[298,50,50]},{"color":[256,23,50]},{"color":[221,54,50]},{"color":[303,46,50]},{"color":[218,80,50]},{"color":[129,96,50]},{"color":[135,36,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[65,27,50]},{"color":[188,68,50]},{"color":[298,50,50]},{"color":[256,23,50]},{"color":[221,54,50]},{"color":[303,46,50]},{"color":[61,95,50]},{"color":[129,96,50]},{"color":[135,36,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[65,27,50]},{"color":[188,68,50]},{"color":[298,50,50]},{"color":[256,23,50]},{"color":[221,54,50]},{"color":[303,46,50]},{"color":[81,69,50]},{"color":[129,96,50]},{"color":[135,36,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT","numDiffs":1}}
state	StateColorGrid	0781-6d39940b-f8b8-4b3a-addb-a7445d06f2c3	1526505859683	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[204,74,50]},{"color":[108,1,50]},{"color":[243,14,50]},{"color":[155,27,50]},{"color":[105,24,50]},{"color":[197,60,50]},{"color":[144,93,50]},{"color":[7,33,50]},{"color":[206,32,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[204,74,50]},{"color":[108,1,50]},{"color":[243,14,50]},{"color":[155,27,50]},{"color":[105,24,50]},{"color":[209,15,50]},{"color":[144,93,50]},{"color":[7,33,50]},{"color":[206,32,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[204,74,50]},{"color":[108,1,50]},{"color":[243,14,50]},{"color":[155,27,50]},{"color":[105,24,50]},{"color":[201,54,50]},{"color":[144,93,50]},{"color":[7,33,50]},{"color":[206,32,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":1}}
