eventType	type	gameid	time	roundNum	state
state	StateColorGrid	0356-2f7908fb-0dcc-4e43-81d9-412057901ca8	1526510453159	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[302,95,50]},{"color":[72,97,50]},{"color":[21,15,50]},{"color":[138,68,50]},{"color":[268,42,50]},{"color":[174,74,50]},{"color":[175,7,50]},{"color":[31,26,50]},{"color":[335,22,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[309,35,50]},{"color":[72,97,50]},{"color":[49,29,50]},{"color":[99,29,50]},{"color":[268,42,50]},{"color":[174,74,50]},{"color":[175,7,50]},{"color":[31,26,50]},{"color":[335,22,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[185,6,50]},{"color":[72,97,50]},{"color":[25,7,50]},{"color":[150,40,50]},{"color":[268,42,50]},{"color":[174,74,50]},{"color":[175,7,50]},{"color":[31,26,50]},{"color":[335,22,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":3}}
state	StateColorGrid	0356-2f7908fb-0dcc-4e43-81d9-412057901ca8	1526510509149	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[192,39,50]},{"color":[358,34,50]},{"color":[66,1,50]},{"color":[174,16,50]},{"color":[344,16,50]},{"color":[146,30,50]},{"color":[340,60,50]},{"color":[20,87,50]},{"color":[211,67,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[192,39,50]},{"color":[170,19,50]},{"color":[66,1,50]},{"color":[108,73,50]},{"color":[344,16,50]},{"color":[146,30,50]},{"color":[17,36,50]},{"color":[20,87,50]},{"color":[211,67,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[192,39,50]},{"color":[266,10,50]},{"color":[66,1,50]},{"color":[219,46,50]},{"color":[344,16,50]},{"color":[146,30,50]},{"color":[110,76,50]},{"color":[20,87,50]},{"color":[211,67,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":3}}
state	StateColorGrid	0356-2f7908fb-0dcc-4e43-81d9-412057901ca8	1526510534910	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[36,12,50]},{"color":[287,34,50]},{"color":[86,74,50]},{"color":[259,4,50]},{"color":[290,54,50]},{"color":[181,13,50]},{"color":[180,28,50]},{"color":[152,17,50]},{"color":[346,95,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[36,12,50]},{"color":[31,30,50]},{"color":[86,74,50]},{"color":[354,56,50]},{"color":[169,10,50]},{"color":[354,41,50]},{"color":[281,77,50]},{"color":[236,96,50]},{"color":[195,47,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[36,12,50]},{"color":[223,45,50]},{"color":[86,74,50]},{"color":[306,73,50]},{"color":[22,37,50]},{"color":[230,48,50]},{"color":[216,86,50]},{"color":[219,5,50]},{"color":[251,54,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[2,0,1],"condition":{"name":"FAR","numDiffs":7}}
state	StateColorGrid	0356-2f7908fb-0dcc-4e43-81d9-412057901ca8	1526510557027	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[60,30,50]},{"color":[66,53,50]},{"color":[305,59,50]},{"color":[300,73,50]},{"color":[161,45,50]},{"color":[271,12,50]},{"color":[250,59,50]},{"color":[50,80,50]},{"color":[42,55,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[338,21,50]},{"color":[66,53,50]},{"color":[305,59,50]},{"color":[300,73,50]},{"color":[0,99,50]},{"color":[271,12,50]},{"color":[341,29,50]},{"color":[50,80,50]},{"color":[42,55,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[357,48,50]},{"color":[66,53,50]},{"color":[305,59,50]},{"color":[300,73,50]},{"color":[13,44,50]},{"color":[271,12,50]},{"color":[334,82,50]},{"color":[50,80,50]},{"color":[42,55,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT","numDiffs":3}}
state	StateColorGrid	0356-2f7908fb-0dcc-4e43-81d9-412057901ca8	1526510573697	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[94,29,50]},{"color":[22,46,50]},{"color":[43,8,50]},{"color":[47,65,50]},{"color":[127,20,50]},{"color":[254,72,50]},{"color":[168,73,50]},{"color":[22,99,50]},{"color":[20,77,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[94,29,50]},{"color":[22,46,50]},{"color":[43,8,50]},{"color":[47,65,50]},{"color":[196,9,50]},{"color":[254,72,50]},{"color":[353,46,50]},{"color":[22,99,50]},{"color":[20,77,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[94,29,50]},{"color":[22,46,50]},{"color":[43,8,50]},{"color":[47,65,50]},{"color":[34,57,50]},{"color":[254,72,50]},{"color":[28,18,50]},{"color":[22,99,50]},{"color":[20,77,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":2}}
state	StateColorGrid	0356-2f7908fb-0dcc-4e43-81d9-412057901ca8	1526510596521	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[242,25,50]},{"color":[167,50,50]},{"color":[30,86,50]},{"color":[261,13,50]},{"color":[151,76,50]},{"color":[221,75,50]},{"color":[243,28,50]},{"color":[182,99,50]},{"color":[186,22,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[326,43,50]},{"color":[167,50,50]},{"color":[30,86,50]},{"color":[155,93,50]},{"color":[151,76,50]},{"color":[221,75,50]},{"color":[243,28,50]},{"color":[182,99,50]},{"color":[186,22,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[165,29,50]},{"color":[167,50,50]},{"color":[30,86,50]},{"color":[353,40,50]},{"color":[151,76,50]},{"color":[221,75,50]},{"color":[243,28,50]},{"color":[182,99,50]},{"color":[186,22,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":2}}
state	StateColorGrid	0356-2f7908fb-0dcc-4e43-81d9-412057901ca8	1526510635234	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[350,54,50]},{"color":[213,48,50]},{"color":[160,49,50]},{"color":[241,69,50]},{"color":[271,6,50]},{"color":[81,31,50]},{"color":[254,11,50]},{"color":[203,53,50]},{"color":[249,36,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[334,47,50]},{"color":[200,97,50]},{"color":[181,76,50]},{"color":[243,51,50]},{"color":[134,3,50]},{"color":[133,72,50]},{"color":[254,11,50]},{"color":[216,15,50]},{"color":[246,63,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[68,27,50]},{"color":[62,43,50]},{"color":[331,30,50]},{"color":[73,13,50]},{"color":[232,75,50]},{"color":[254,63,50]},{"color":[254,11,50]},{"color":[91,18,50]},{"color":[83,41,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT","numDiffs":8}}
state	StateColorGrid	0356-2f7908fb-0dcc-4e43-81d9-412057901ca8	1526510674977	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[30,72,50]},{"color":[208,93,50]},{"color":[130,15,50]},{"color":[144,35,50]},{"color":[262,49,50]},{"color":[84,93,50]},{"color":[153,82,50]},{"color":[213,9,50]},{"color":[321,16,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[30,72,50]},{"color":[208,93,50]},{"color":[130,36,50]},{"color":[144,35,50]},{"color":[262,49,50]},{"color":[84,93,50]},{"color":[153,82,50]},{"color":[33,15,50]},{"color":[282,7,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[30,72,50]},{"color":[208,93,50]},{"color":[106,22,50]},{"color":[144,35,50]},{"color":[262,49,50]},{"color":[84,93,50]},{"color":[153,82,50]},{"color":[161,9,50]},{"color":[248,29,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE","numDiffs":3}}
state	StateColorGrid	0356-2f7908fb-0dcc-4e43-81d9-412057901ca8	1526510693789	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[213,47,50]},{"color":[225,77,50]},{"color":[145,25,50]},{"color":[8,75,50]},{"color":[234,29,50]},{"color":[127,30,50]},{"color":[25,33,50]},{"color":[225,29,50]},{"color":[169,11,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[213,47,50]},{"color":[225,77,50]},{"color":[145,25,50]},{"color":[188,72,50]},{"color":[234,29,50]},{"color":[127,30,50]},{"color":[25,33,50]},{"color":[225,29,50]},{"color":[169,11,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[213,47,50]},{"color":[225,77,50]},{"color":[145,25,50]},{"color":[345,27,50]},{"color":[234,29,50]},{"color":[127,30,50]},{"color":[25,33,50]},{"color":[225,29,50]},{"color":[169,11,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":1}}
state	StateColorGrid	0356-2f7908fb-0dcc-4e43-81d9-412057901ca8	1526510748440	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[93,80,50]},{"color":[107,95,50]},{"color":[77,96,50]},{"color":[82,47,50]},{"color":[212,39,50]},{"color":[120,60,50]},{"color":[73,19,50]},{"color":[28,29,50]},{"color":[91,1,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[126,94,50]},{"color":[107,95,50]},{"color":[77,96,50]},{"color":[82,47,50]},{"color":[255,24,50]},{"color":[120,60,50]},{"color":[73,19,50]},{"color":[8,21,50]},{"color":[91,1,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[118,70,50]},{"color":[107,95,50]},{"color":[77,96,50]},{"color":[82,47,50]},{"color":[249,16,50]},{"color":[120,60,50]},{"color":[73,19,50]},{"color":[14,12,50]},{"color":[91,1,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE","numDiffs":3}}
