eventType	gameid	time	roundNum	obj
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332493025	1	{"type":"Utterance","sender":"listener","contents":"hi, nice to meet you!","time":1526332493025}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332514295	1	{"type":"Utterance","sender":"speaker","contents":"Hello.  There are four purple squares and four greenish squares","time":1526332514295}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332531495	1	{"type":"Utterance","sender":"listener","contents":"this one might be easiest to identify the bottom right corners","time":1526332531495}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332541882	1	{"type":"Utterance","sender":"listener","contents":"could be purple corner, pink corner, or blueish greenish corner","time":1526332541882}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332559105	1	{"type":"Utterance","sender":"listener","contents":"bottom right?","time":1526332559105}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332574977	1	{"type":"Utterance","sender":"speaker","contents":"well I see two that have purple bottom right corners","time":1526332574977}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332594995	1	{"type":"Utterance","sender":"listener","contents":"i only see one, there is a purple corner and a pink corner in the bottom right ","time":1526332594995}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332599541	1	{"type":"Utterance","sender":"listener","contents":"and a blueish green corner in bottom right","time":1526332599541}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332608509	1	{"type":"Utterance","sender":"listener","contents":"you don't see the pink and purple one?","time":1526332608509}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332610868	1	{"type":"Utterance","sender":"listener","contents":"just two pruple?","time":1526332610868}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332633625	1	{"type":"Utterance","sender":"speaker","contents":"I would call it bright purple, maybe that is the one you see as pink","time":1526332633625}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332649553	1	{"type":"Utterance","sender":"speaker","contents":"what is the upper left corner on that one?","time":1526332649553}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332659421	1	{"type":"Utterance","sender":"listener","contents":"yeah maybe our monitors are different ","time":1526332659421}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332670510	1	{"type":"Utterance","sender":"listener","contents":"we can use dark purple and bright purple for the bottom right ","time":1526332670510}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332674535	1	{"type":"Utterance","sender":"listener","contents":"i know what you mean ","time":1526332674535}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332709224	1	{"type":"Utterance","sender":"speaker","contents":"ok, so you can you select the bright purple one?","time":1526332709224}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332753127	2	{"type":"Utterance","sender":"speaker","contents":"hmm so this one seems a little more tough ","time":1526332753127}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332761063	2	{"type":"Utterance","sender":"listener","contents":"I know!!","time":1526332761063}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332761455	2	{"type":"Utterance","sender":"speaker","contents":"its the one with the two dark blue squares in the bottom left","time":1526332761455}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332766891	2	{"type":"Utterance","sender":"speaker","contents":"so middle row all the way to the left","time":1526332766891}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332768212	2	{"type":"Utterance","sender":"speaker","contents":"its dark blue","time":1526332768212}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332775399	2	{"type":"Utterance","sender":"speaker","contents":"and bottom row in the middle is the same shade of dark blue","time":1526332775399}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332803838	3	{"type":"Utterance","sender":"speaker","contents":"the upper left corner is a brown shade","time":1526332803838}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332843178	4	{"type":"Utterance","sender":"speaker","contents":"hmmm","time":1526332843178}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332848833	4	{"type":"Utterance","sender":"speaker","contents":"this may be one of the toughest","time":1526332848833}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332853198	4	{"type":"Utterance","sender":"speaker","contents":"so i would personally say","time":1526332853198}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332876856	4	{"type":"Utterance","sender":"speaker","contents":"it has the lightest corner in the top left and the darkest green in the bottom right","time":1526332876856}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332908256	5	{"type":"Utterance","sender":"listener","contents":"nice job","time":1526332908256}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332920364	5	{"type":"Utterance","sender":"speaker","contents":"There is a brownish shade in the top left corner.  You too","time":1526332920364}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332938481	5	{"type":"Utterance","sender":"listener","contents":"easiest might be going off of middle row on the right ","time":1526332938481}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332945404	5	{"type":"Utterance","sender":"listener","contents":"thres like an orange, brown, and red","time":1526332945404}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332953236	5	{"type":"Utterance","sender":"speaker","contents":"orange","time":1526332953236}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332961915	6	{"type":"Utterance","sender":"speaker","contents":"thanks :)","time":1526332961915}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332971171	6	{"type":"Utterance","sender":"listener","contents":"oops","time":1526332971171}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526332982925	6	{"type":"Utterance","sender":"speaker","contents":"brightest green in the middle row on the right ","time":1526332982925}
utterance	4134-ce8c7b41-296d-407f-af4e-e01ae44a150c	1526333033047	7	{"type":"Utterance","sender":"speaker","contents":"The upper right is purple","time":1526333033047}
