eventType	gameid	time	roundNum	obj
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407303687	1	{"type":"Utterance","sender":"speaker","contents":"Purple is in the center square","time":1526407303687}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407357584	2	{"type":"Utterance","sender":"speaker","contents":"Blue square in the middle-left","time":1526407357584}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407449698	3	{"type":"Utterance","sender":"speaker","contents":"Two identical shades of purple in the center and center left. ","time":1526407449698}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407503297	4	{"type":"Utterance","sender":"speaker","contents":"bright orange in center-right","time":1526407503297}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407536289	4	{"type":"Utterance","sender":"listener","contents":"Gray above the blue center square?","time":1526407536289}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407545109	4	{"type":"Utterance","sender":"speaker","contents":"yes","time":1526407545109}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407572010	5	{"type":"Utterance","sender":"speaker","contents":"Yellow left center square","time":1526407572010}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407615720	6	{"type":"Utterance","sender":"speaker","contents":"blue in left center with purple below it","time":1526407615720}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407717992	7	{"type":"Utterance","sender":"speaker","contents":"Olive green left top, gray bottom left","time":1526407717992}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407758006	7	{"type":"Utterance","sender":"listener","contents":"Do you mean gray bottom right?","time":1526407758006}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407772054	7	{"type":"Utterance","sender":"speaker","contents":"Yes, sorry about that!","time":1526407772054}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407794874	8	{"type":"Utterance","sender":"speaker","contents":"green top left","time":1526407794874}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407836301	9	{"type":"Utterance","sender":"speaker","contents":"Purple center","time":1526407836301}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407855587	10	{"type":"Utterance","sender":"speaker","contents":"yellow bottom center","time":1526407855587}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407891413	11	{"type":"Utterance","sender":"speaker","contents":"Green top center","time":1526407891413}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407913597	12	{"type":"Utterance","sender":"speaker","contents":"green right center","time":1526407913597}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407978115	13	{"type":"Utterance","sender":"speaker","contents":"Medium purple center right","time":1526407978115}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526407998756	13	{"type":"Utterance","sender":"listener","contents":"is it the darker or lighter shade of purple?","time":1526407998756}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526408004796	13	{"type":"Utterance","sender":"speaker","contents":"Lighter","time":1526408004796}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526408034482	14	{"type":"Utterance","sender":"speaker","contents":"brightest shade of red on top left","time":1526408034482}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526408065714	15	{"type":"Utterance","sender":"speaker","contents":"Yellow top right","time":1526408065714}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526408080988	16	{"type":"Utterance","sender":"speaker","contents":"brown bottom right","time":1526408080988}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526408111026	17	{"type":"Utterance","sender":"speaker","contents":"Brown bottom right","time":1526408111026}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526408143045	18	{"type":"Utterance","sender":"speaker","contents":"darkest shade of purple in left center","time":1526408143045}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526408176744	19	{"type":"Utterance","sender":"speaker","contents":"Bright green center","time":1526408176744}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526408217653	20	{"type":"Utterance","sender":"speaker","contents":"brightest shade of teal in top right","time":1526408217653}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526408256489	21	{"type":"Utterance","sender":"speaker","contents":"Dark green center","time":1526408256489}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526408275892	22	{"type":"Utterance","sender":"speaker","contents":"pink bottom right","time":1526408275892}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526408303775	23	{"type":"Utterance","sender":"speaker","contents":"Purple center","time":1526408303775}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526408321471	24	{"type":"Utterance","sender":"speaker","contents":"green top center","time":1526408321471}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526408343231	25	{"type":"Utterance","sender":"speaker","contents":"Green center","time":1526408343231}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526408362554	26	{"type":"Utterance","sender":"speaker","contents":"green center","time":1526408362554}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526408394469	27	{"type":"Utterance","sender":"speaker","contents":"Blue center","time":1526408394469}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526408437604	28	{"type":"Utterance","sender":"speaker","contents":"purple bottom center (darker shade)","time":1526408437604}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526408465346	29	{"type":"Utterance","sender":"speaker","contents":"Pink center","time":1526408465346}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526408493499	30	{"type":"Utterance","sender":"speaker","contents":"blue bottom left","time":1526408493499}
utterance	4875-b0bf8007-ee17-4937-b9a7-29326048fb83	1526408534581	31	{"type":"Utterance","sender":"speaker","contents":"Brighter blue right center","time":1526408534581}
