eventType	gameid	time	roundNum	obj
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526408827285	1	{"type":"Utterance","sender":"listener","contents":"I'm ready","time":1526408827285}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409175707	1	{"type":"Utterance","sender":"speaker","contents":"A sea green square in the bottom right corner.","time":1526409175707}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409225105	2	{"type":"Utterance","sender":"listener","contents":"Top left square is bright aqua, bottom left square is medium aqua.","time":1526409225105}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409271599	2	{"type":"Utterance","sender":"speaker","contents":"To me, all middle colors appear grey. This is the one that doesn't have a brighter blue or green color bottom left","time":1526409271599}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409332330	2	{"type":"Utterance","sender":"listener","contents":"The only way to differentiate them is the bottom left square. The selected one is a medium version of the top left square instead of the olive colors~~~","time":1526409332330}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409381281	2	{"type":"Utterance","sender":"speaker","contents":"I'm the one with the selected square, as the speaker. The bottom left square is the most muted, dull color","time":1526409381281}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409443480	3	{"type":"Utterance","sender":"speaker","contents":"Okay, the middle bottom square is a burnt orange, the darkest of the three.","time":1526409443480}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409507917	4	{"type":"Utterance","sender":"speaker","contents":"Middle is almost brown, top right is a darker sea green","time":1526409507917}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409529138	5	{"type":"Utterance","sender":"speaker","contents":"Middle center square is blue.","time":1526409529138}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409542189	6	{"type":"Utterance","sender":"speaker","contents":"Middle square is purple","time":1526409542189}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409568338	7	{"type":"Utterance","sender":"speaker","contents":"Middle right square is lime green.","time":1526409568338}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409625444	8	{"type":"Utterance","sender":"speaker","contents":"middle right is a bright magenta","time":1526409625444}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409658380	9	{"type":"Utterance","sender":"speaker","contents":"Bottom right square is royal blue","time":1526409658380}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409678716	10	{"type":"Utterance","sender":"speaker","contents":"top middle is red","time":1526409678716}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409711189	11	{"type":"Utterance","sender":"speaker","contents":"Top right square is magenta","time":1526409711189}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409826810	12	{"type":"Utterance","sender":"speaker","contents":"middle is a dark purple","time":1526409826810}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409876447	13	{"type":"Utterance","sender":"speaker","contents":"Middle square is the dullest green","time":1526409876447}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409929008	14	{"type":"Utterance","sender":"speaker","contents":"middle is a baby blue, bottom right a bright sea green","time":1526409929008}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410005343	15	{"type":"Utterance","sender":"speaker","contents":"Middle square is a medium red violet, just below it is a medium mauve","time":1526410005343}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410051675	16	{"type":"Utterance","sender":"speaker","contents":"Middle left is a true yellow, top right is a neon green","time":1526410051675}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410082489	17	{"type":"Utterance","sender":"speaker","contents":"Top left square is a bright yellow green","time":1526410082489}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410107379	18	{"type":"Utterance","sender":"speaker","contents":"Top left is brown, top middle is purple","time":1526410107379}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410133498	19	{"type":"Utterance","sender":"speaker","contents":"Top left square is a bright red violet","time":1526410133498}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410172570	20	{"type":"Utterance","sender":"speaker","contents":"Apologizes on that one. Top left is red, top middle is a red brown","time":1526410172570}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410213678	21	{"type":"Utterance","sender":"speaker","contents":"Top left square is mauve next to a medium sea green","time":1526410213678}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410253842	22	{"type":"Utterance","sender":"speaker","contents":"Middle is a duller purple, bottom right is a darker pink","time":1526410253842}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410287646	23	{"type":"Utterance","sender":"speaker","contents":"Top left is rust next to bright yellow-green","time":1526410287646}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410315931	24	{"type":"Utterance","sender":"speaker","contents":"Middle left is a neon green","time":1526410315931}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410372506	25	{"type":"Utterance","sender":"speaker","contents":"Middle right is a blue-violet, the more vibrant one","time":1526410372506}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410420276	26	{"type":"Utterance","sender":"speaker","contents":"Top left is the lighter green, with a top right purple square","time":1526410420276}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410483208	27	{"type":"Utterance","sender":"speaker","contents":"Top left is cerulean next to fuchsia ","time":1526410483208}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410532063	28	{"type":"Utterance","sender":"speaker","contents":"Middle right is a bright blue, top middle is the dull pink","time":1526410532063}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410575788	29	{"type":"Utterance","sender":"speaker","contents":"Bottom center is a bright fuchsia, with yellow to the right of it ","time":1526410575788}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410612010	30	{"type":"Utterance","sender":"speaker","contents":"Middle is a dull yellow-green, bottom middle is a orange color","time":1526410612010}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410721181	31	{"type":"Utterance","sender":"speaker","contents":"Top left is a bright lime next to warm gray","time":1526410721181}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410795410	32	{"type":"Utterance","sender":"speaker","contents":"Top middle is a neon pink, bottom right is a slightly dark purple","time":1526410795410}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410878757	33	{"type":"Utterance","sender":"speaker","contents":"Top left is a bright red orange and top right is a medium sage","time":1526410878757}
utterance	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410916867	34	{"type":"Utterance","sender":"speaker","contents":"Top left and right are a brighter green, middle right is a almost true orange ","time":1526410916867}
