eventType	gameid	time	roundNum	obj
utterance	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407460145	1	{"type":"Utterance","sender":"speaker","contents":"Hello","time":1526407460145}
utterance	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407464484	1	{"type":"Utterance","sender":"listener","contents":"hello","time":1526407464484}
utterance	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407479317	1	{"type":"Utterance","sender":"speaker","contents":"The box with red on the top","time":1526407479317}
utterance	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407512943	2	{"type":"Utterance","sender":"speaker","contents":"the box with the brighter red in the center","time":1526407512943}
utterance	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407558620	3	{"type":"Utterance","sender":"speaker","contents":"one with the purply color in the center on the top row","time":1526407558620}
utterance	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407565523	3	{"type":"Utterance","sender":"speaker","contents":"wait","time":1526407565523}
utterance	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407577021	3	{"type":"Utterance","sender":"speaker","contents":"the dull purply color, not the bright one","time":1526407577021}
utterance	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407613959	4	{"type":"Utterance","sender":"speaker","contents":"bright yellow-greenish 2nd row all the way right","time":1526407613959}
utterance	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407651362	5	{"type":"Utterance","sender":"speaker","contents":"2 bright greens. one on the top right, the other on the middle left","time":1526407651362}
utterance	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407702918	6	{"type":"Utterance","sender":"speaker","contents":"two blue-ish squares touching diagonally, one top center, second left middle","time":1526407702918}
utterance	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407751777	7	{"type":"Utterance","sender":"speaker","contents":"this one is harder ","time":1526407751777}
utterance	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407761340	7	{"type":"Utterance","sender":"listener","contents":"no problem, we'll get it","time":1526407761340}
utterance	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407792629	7	{"type":"Utterance","sender":"speaker","contents":"the box in the middle on the left is not orange or bright red, it's the duller red one","time":1526407792629}
utterance	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407835502	8	{"type":"Utterance","sender":"speaker","contents":"top right is brighter orange","time":1526407835502}
utterance	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407866177	9	{"type":"Utterance","sender":"speaker","contents":"top left is blue","time":1526407866177}
utterance	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407900894	10	{"type":"Utterance","sender":"speaker","contents":"bottom left corner is the dullest","time":1526407900894}
utterance	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407912496	10	{"type":"Utterance","sender":"speaker","contents":"compared to the two other options","time":1526407912496}
utterance	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407938423	11	{"type":"Utterance","sender":"speaker","contents":"center row left is red","time":1526407938423}
utterance	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407977898	12	{"type":"Utterance","sender":"speaker","contents":"center row left has brightest ted","time":1526407977898}
utterance	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526407980199	12	{"type":"Utterance","sender":"speaker","contents":"*red","time":1526407980199}
utterance	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526408015843	13	{"type":"Utterance","sender":"listener","contents":"tough one","time":1526408015843}
utterance	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526408023762	13	{"type":"Utterance","sender":"speaker","contents":"it is","time":1526408023762}
utterance	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526408053258	13	{"type":"Utterance","sender":"speaker","contents":"Its not the one with the blue-green in the bottom left corner","time":1526408053258}
utterance	4447-68443758-056e-4aae-b0a4-1776a4f20133	1526408077063	13	{"type":"Utterance","sender":"listener","contents":"so just grayish?","time":1526408077063}
