eventType	gameid	time	roundNum	obj
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526420009824	1	{"type":"Utterance","sender":"speaker","contents":"reverse L shape green","time":1526420009824}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526420082397	2	{"type":"Utterance","sender":"speaker","contents":"The weird pink in the left bottom","time":1526420082397}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526420129568	3	{"type":"Utterance","sender":"speaker","contents":"grey is in the middle","time":1526420129568}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526420155585	4	{"type":"Utterance","sender":"speaker","contents":"red in the right middle","time":1526420155585}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526420216759	5	{"type":"Utterance","sender":"speaker","contents":"royal blue is in the right middle. grey is above the royal blue one","time":1526420216759}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526420285351	6	{"type":"Utterance","sender":"speaker","contents":"yellow for middle right, grey for left top and left middle","time":1526420285351}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526420399712	7	{"type":"Utterance","sender":"speaker","contents":"the square in the middle right is the most bluish of the two purples of that spot","time":1526420399712}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526420489289	8	{"type":"Utterance","sender":"speaker","contents":"left side is pink top, ble middle, green bottom","time":1526420489289}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526420552491	9	{"type":"Utterance","sender":"speaker","contents":"top right is the lighter of the two blues in that spot","time":1526420552491}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526420583580	10	{"type":"Utterance","sender":"speaker","contents":"grey top right","time":1526420583580}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526420702938	11	{"type":"Utterance","sender":"speaker","contents":"middle square is not the neon green or the  bluish green. its more of a medium green","time":1526420702938}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526420755307	12	{"type":"Utterance","sender":"speaker","contents":"middle top is bright blue ","time":1526420755307}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526420793468	13	{"type":"Utterance","sender":"speaker","contents":"middle right is purple","time":1526420793468}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526420868891	14	{"type":"Utterance","sender":"speaker","contents":"middle is purple, bottom middle is orangish","time":1526420868891}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526420916618	15	{"type":"Utterance","sender":"speaker","contents":"middle right is purple","time":1526420916618}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526420937356	16	{"type":"Utterance","sender":"speaker","contents":"middle right is yellow","time":1526420937356}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526420974791	17	{"type":"Utterance","sender":"speaker","contents":"middle square is purple","time":1526420974791}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526421007275	18	{"type":"Utterance","sender":"speaker","contents":"top left is light blue, bottom right is red","time":1526421007275}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526421076933	19	{"type":"Utterance","sender":"speaker","contents":"middle left is olive. bottom right is tan","time":1526421076933}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526421117292	20	{"type":"Utterance","sender":"speaker","contents":"top right is blue","time":1526421117292}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526421145673	21	{"type":"Utterance","sender":"speaker","contents":"top left is green","time":1526421145673}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526421238260	22	{"type":"Utterance","sender":"speaker","contents":"middle is almost green","time":1526421238260}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526421361416	23	{"type":"Utterance","sender":"speaker","contents":"middle bottom is the darkest of the blues in that spot","time":1526421361416}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526421447538	24	{"type":"Utterance","sender":"speaker","contents":"middle left and bottom middle are almost the same","time":1526421447538}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526421530774	25	{"type":"Utterance","sender":"speaker","contents":"middle left is sky blue. not as green as the other ones in that spot~~~","time":1526421530774}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526421572441	26	{"type":"Utterance","sender":"speaker","contents":"middle right is red, top left is grey","time":1526421572441}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526421695386	27	{"type":"Utterance","sender":"speaker","contents":"middle is the medium orange color between the three oranges","time":1526421695386}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526421754012	28	{"type":"Utterance","sender":"speaker","contents":"top left is green, botttom left is bluish purple","time":1526421754012}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526421764247	28	{"type":"Utterance","sender":"speaker","contents":"top right is green sorry","time":1526421764247}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526421840873	29	{"type":"Utterance","sender":"speaker","contents":"bottom middle and bottom right are both fuchsia ","time":1526421840873}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526421869751	30	{"type":"Utterance","sender":"speaker","contents":"no bluish purple","time":1526421869751}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526421914777	31	{"type":"Utterance","sender":"speaker","contents":"bottom right is medium green","time":1526421914777}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526421941820	32	{"type":"Utterance","sender":"speaker","contents":"bottom left is pink","time":1526421941820}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526421974274	33	{"type":"Utterance","sender":"speaker","contents":"middle right is hot pink","time":1526421974274}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526421990665	34	{"type":"Utterance","sender":"speaker","contents":"middle is pink","time":1526421990665}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422028142	35	{"type":"Utterance","sender":"speaker","contents":"middle is grayish green","time":1526422028142}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422042565	36	{"type":"Utterance","sender":"speaker","contents":"middle is red","time":1526422042565}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422062855	37	{"type":"Utterance","sender":"speaker","contents":"middle is green","time":1526422062855}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422111775	38	{"type":"Utterance","sender":"speaker","contents":"top middle is purple, ","time":1526422111775}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422125301	38	{"type":"Utterance","sender":"listener","contents":"dark or light purple?","time":1526422125301}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422134581	38	{"type":"Utterance","sender":"speaker","contents":"bright","time":1526422134581}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422164129	39	{"type":"Utterance","sender":"speaker","contents":"top left and middle left are both blue","time":1526422164129}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422196718	40	{"type":"Utterance","sender":"speaker","contents":"middle top is yellow","time":1526422196718}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422211627	40	{"type":"Utterance","sender":"listener","contents":"bright yellow?","time":1526422211627}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422216044	40	{"type":"Utterance","sender":"speaker","contents":"bright","time":1526422216044}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422237632	41	{"type":"Utterance","sender":"speaker","contents":"bottom left is purple","time":1526422237632}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422274825	42	{"type":"Utterance","sender":"speaker","contents":"middle is sky blue","time":1526422274825}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422319474	43	{"type":"Utterance","sender":"speaker","contents":"bottom left is brick red, not bright red","time":1526422319474}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422351229	44	{"type":"Utterance","sender":"speaker","contents":"top right is brown","time":1526422351229}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422385409	45	{"type":"Utterance","sender":"speaker","contents":"three yellow squares","time":1526422385409}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422431688	46	{"type":"Utterance","sender":"speaker","contents":"bottom middle is not bright green, but green","time":1526422431688}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422463833	47	{"type":"Utterance","sender":"speaker","contents":"bottom left is purple","time":1526422463833}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422502714	48	{"type":"Utterance","sender":"speaker","contents":"top right is red","time":1526422502714}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422586797	49	{"type":"Utterance","sender":"speaker","contents":"middle is yellowish-green. bottom right is sky blue","time":1526422586797}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422633474	50	{"type":"Utterance","sender":"speaker","contents":"middle purple top right is pink","time":1526422633474}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422667712	51	{"type":"Utterance","sender":"speaker","contents":"bottom left is brown","time":1526422667712}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422719608	52	{"type":"Utterance","sender":"speaker","contents":"bottom left is green bottom right brownish","time":1526422719608}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422774446	53	{"type":"Utterance","sender":"speaker","contents":"bottom middle and bottom right are almost the same color of blue","time":1526422774446}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422799626	54	{"type":"Utterance","sender":"speaker","contents":"bottom middle is pink","time":1526422799626}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422827722	55	{"type":"Utterance","sender":"speaker","contents":"bottom right is brownish","time":1526422827722}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422883838	56	{"type":"Utterance","sender":"speaker","contents":"mid left is purple","time":1526422883838}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422914437	57	{"type":"Utterance","sender":"speaker","contents":"middle left is neon green","time":1526422914437}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422941400	58	{"type":"Utterance","sender":"speaker","contents":"bottom right is blue","time":1526422941400}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526422983192	59	{"type":"Utterance","sender":"speaker","contents":"middle right is blue, not grey","time":1526422983192}
utterance	3335-f60a68e2-a21a-4b5d-9a4f-f9f2dd673077	1526423039698	60	{"type":"Utterance","sender":"speaker","contents":"middle is a bright olive green","time":1526423039698}
