eventType	gameid	time	roundNum	obj
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526422853759	1	{"type":"Utterance","sender":"listener","contents":"mid","time":1526422853759}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526422869982	1	{"type":"Utterance","sender":"speaker","contents":"center","time":1526422869982}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526422880196	2	{"type":"Utterance","sender":"speaker","contents":"center","time":1526422880196}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526422900442	3	{"type":"Utterance","sender":"speaker","contents":"center","time":1526422900442}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526422907050	4	{"type":"Utterance","sender":"speaker","contents":"center","time":1526422907050}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526422926552	5	{"type":"Utterance","sender":"speaker","contents":"right","time":1526422926552}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526422936032	6	{"type":"Utterance","sender":"speaker","contents":"left","time":1526422936032}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526422956198	7	{"type":"Utterance","sender":"speaker","contents":"center","time":1526422956198}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526422969188	8	{"type":"Utterance","sender":"speaker","contents":"left","time":1526422969188}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526422991142	9	{"type":"Utterance","sender":"speaker","contents":"left","time":1526422991142}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526422998422	10	{"type":"Utterance","sender":"speaker","contents":"middle","time":1526422998422}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423015418	11	{"type":"Utterance","sender":"speaker","contents":"right","time":1526423015418}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423030381	12	{"type":"Utterance","sender":"speaker","contents":"left","time":1526423030381}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423052634	13	{"type":"Utterance","sender":"speaker","contents":"right","time":1526423052634}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423061809	14	{"type":"Utterance","sender":"speaker","contents":"right","time":1526423061809}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423089158	15	{"type":"Utterance","sender":"speaker","contents":"right","time":1526423089158}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423102305	16	{"type":"Utterance","sender":"speaker","contents":"right","time":1526423102305}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423116138	17	{"type":"Utterance","sender":"speaker","contents":"middle","time":1526423116138}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423130766	18	{"type":"Utterance","sender":"speaker","contents":"left","time":1526423130766}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423154167	19	{"type":"Utterance","sender":"speaker","contents":"left","time":1526423154167}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423162515	20	{"type":"Utterance","sender":"speaker","contents":"middle","time":1526423162515}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423174560	21	{"type":"Utterance","sender":"speaker","contents":"middle","time":1526423174560}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423184616	22	{"type":"Utterance","sender":"speaker","contents":"left","time":1526423184616}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423207248	23	{"type":"Utterance","sender":"speaker","contents":"left","time":1526423207248}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423224596	24	{"type":"Utterance","sender":"speaker","contents":"left","time":1526423224596}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423238532	25	{"type":"Utterance","sender":"speaker","contents":"right","time":1526423238532}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423246603	26	{"type":"Utterance","sender":"speaker","contents":"left","time":1526423246603}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423258206	27	{"type":"Utterance","sender":"speaker","contents":"left","time":1526423258206}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423267881	28	{"type":"Utterance","sender":"speaker","contents":"right","time":1526423267881}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423285720	29	{"type":"Utterance","sender":"speaker","contents":"right","time":1526423285720}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423294954	30	{"type":"Utterance","sender":"speaker","contents":"middle","time":1526423294954}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423306200	31	{"type":"Utterance","sender":"speaker","contents":"right","time":1526423306200}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423314829	32	{"type":"Utterance","sender":"speaker","contents":"middle","time":1526423314829}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423325933	33	{"type":"Utterance","sender":"speaker","contents":"left","time":1526423325933}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423328703	33	{"type":"Utterance","sender":"listener","contents":"left","time":1526423328703}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423340632	34	{"type":"Utterance","sender":"speaker","contents":"middle","time":1526423340632}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423352217	35	{"type":"Utterance","sender":"speaker","contents":"left","time":1526423352217}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423360377	36	{"type":"Utterance","sender":"speaker","contents":"left","time":1526423360377}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423374802	37	{"type":"Utterance","sender":"speaker","contents":"middle","time":1526423374802}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423394100	38	{"type":"Utterance","sender":"speaker","contents":"middle","time":1526423394100}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423431939	39	{"type":"Utterance","sender":"speaker","contents":"left","time":1526423431939}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423440549	40	{"type":"Utterance","sender":"speaker","contents":"left","time":1526423440549}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423457450	41	{"type":"Utterance","sender":"speaker","contents":"left","time":1526423457450}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423469406	42	{"type":"Utterance","sender":"speaker","contents":"left","time":1526423469406}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423485779	43	{"type":"Utterance","sender":"speaker","contents":"middle","time":1526423485779}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423513793	44	{"type":"Utterance","sender":"speaker","contents":"left","time":1526423513793}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423526746	45	{"type":"Utterance","sender":"speaker","contents":"left","time":1526423526746}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423534095	46	{"type":"Utterance","sender":"speaker","contents":"middle","time":1526423534095}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423562259	47	{"type":"Utterance","sender":"speaker","contents":"left","time":1526423562259}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423584017	48	{"type":"Utterance","sender":"speaker","contents":"left","time":1526423584017}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423598090	49	{"type":"Utterance","sender":"speaker","contents":"middle","time":1526423598090}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423612705	50	{"type":"Utterance","sender":"speaker","contents":"middle","time":1526423612705}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423631264	51	{"type":"Utterance","sender":"speaker","contents":"middle","time":1526423631264}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423650041	52	{"type":"Utterance","sender":"speaker","contents":"left","time":1526423650041}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423667792	53	{"type":"Utterance","sender":"speaker","contents":"middle","time":1526423667792}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423681289	54	{"type":"Utterance","sender":"speaker","contents":"middle","time":1526423681289}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423703535	55	{"type":"Utterance","sender":"speaker","contents":"left","time":1526423703535}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423721533	56	{"type":"Utterance","sender":"speaker","contents":"left","time":1526423721533}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423736972	57	{"type":"Utterance","sender":"speaker","contents":"right","time":1526423736972}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423748254	58	{"type":"Utterance","sender":"speaker","contents":"left","time":1526423748254}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423795130	59	{"type":"Utterance","sender":"speaker","contents":"right","time":1526423795130}
utterance	8169-bb232933-05f1-4fe7-b57c-1e75d88dbe5f	1526423824898	60	{"type":"Utterance","sender":"speaker","contents":"left","time":1526423824898}
