eventType	gameid	time	roundNum	obj
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526431841352	1	{"type":"Utterance","sender":"speaker","contents":"Hi!","time":1526431841352}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526431845132	1	{"type":"Utterance","sender":"listener","contents":"hi","time":1526431845132}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526431858982	1	{"type":"Utterance","sender":"listener","contents":"so which do i pick:)","time":1526431858982}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526431886642	1	{"type":"Utterance","sender":"speaker","contents":"Okay so on the correct one, the bottom right green is dark and slightly brownish. The middle yellow and top middle green are very close in color","time":1526431886642}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526431892505	1	{"type":"Utterance","sender":"speaker","contents":"And the bottom middle blue is very.~~~~~~blue","time":1526431892505}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526431927829	2	{"type":"Utterance","sender":"listener","contents":"Sorry that was super wordy","time":1526431927829}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526431936126	2	{"type":"Utterance","sender":"speaker","contents":"thats ok i got it","time":1526431936126}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526431985849	2	{"type":"Utterance","sender":"speaker","contents":"so this on has a center grayish one like all of them ecept it has a bright pink square next to it","time":1526431985849}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432009518	2	{"type":"Utterance","sender":"speaker","contents":"and the square beloq the bright pink is dark dirty orange","time":1526432009518}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432068974	3	{"type":"Utterance","sender":"speaker","contents":"bottom right blue is dark, and the middle left green is kind of sea foamy","time":1526432068974}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432124941	4	{"type":"Utterance","sender":"speaker","contents":"the center middle square is the babiest blue with purplelish bottom left","time":1526432124941}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432143154	5	{"type":"Utterance","sender":"speaker","contents":"Top left is purple","time":1526432143154}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432166874	6	{"type":"Utterance","sender":"speaker","contents":"bottom left is royal blue","time":1526432166874}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432238081	7	{"type":"Utterance","sender":"speaker","contents":"Blue-est middle, and top/bottom middle are very muted","time":1526432238081}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432287609	8	{"type":"Utterance","sender":"speaker","contents":"right middle square is royal blue ","time":1526432287609}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432305119	9	{"type":"Utterance","sender":"speaker","contents":"Bottom left is bright green","time":1526432305119}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432356494	10	{"type":"Utterance","sender":"speaker","contents":"bottom left is the less green and darker","time":1526432356494}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432373864	10	{"type":"Utterance","sender":"listener","contents":"is top right bright red?","time":1526432373864}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432374079	10	{"type":"Utterance","sender":"speaker","contents":"almost gray","time":1526432374079}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432379890	10	{"type":"Utterance","sender":"speaker","contents":"yes","time":1526432379890}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432438911	11	{"type":"Utterance","sender":"speaker","contents":"purple middle bottom, and two blues top middle and middle right","time":1526432438911}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432484264	12	{"type":"Utterance","sender":"speaker","contents":"dark pink center ","time":1526432484264}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432491312	13	{"type":"Utterance","sender":"listener","contents":"gray blue bott","time":1526432491312}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432494307	13	{"type":"Utterance","sender":"listener","contents":"sorry","time":1526432494307}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432498100	13	{"type":"Utterance","sender":"speaker","contents":"no problem!","time":1526432498100}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432507057	13	{"type":"Utterance","sender":"speaker","contents":"muted purple top left","time":1526432507057}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432540054	14	{"type":"Utterance","sender":"listener","contents":"ho boy","time":1526432540054}
utterance	2807-73a9cdbb-5dbc-4a00-aa1c-157d3bb6d1aa	1526432543494	14	{"type":"Utterance","sender":"listener","contents":"I believe in you","time":1526432543494}
