eventType	gameid	time	roundNum	obj
utterance	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526432656741	1	{"type":"Utterance","sender":"listener","contents":"hi :)","time":1526432656741}
utterance	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526432661222	1	{"type":"Utterance","sender":"speaker","contents":"hi!","time":1526432661222}
utterance	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526432674401	1	{"type":"Utterance","sender":"listener","contents":"maybe could go off bottom row right corner","time":1526432674401}
utterance	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526432681116	1	{"type":"Utterance","sender":"listener","contents":"light purple, dark blue, dark purple ","time":1526432681116}
utterance	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526432696576	1	{"type":"Utterance","sender":"listener","contents":"or the bottom row middle tile ","time":1526432696576}
utterance	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526432703095	1	{"type":"Utterance","sender":"listener","contents":"dullest orange, medium orange, brightest orange","time":1526432703095}
utterance	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526432743529	1	{"type":"Utterance","sender":"speaker","contents":"the grid has a bright orange middle bottom cube and bright purple cube to the right","time":1526432743529}
utterance	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526432757725	2	{"type":"Utterance","sender":"speaker","contents":"nice :)","time":1526432757725}
utterance	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526432766124	2	{"type":"Utterance","sender":"listener","contents":":)","time":1526432766124}
utterance	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526432770221	2	{"type":"Utterance","sender":"speaker","contents":"middle row right side gray tile ","time":1526432770221}
utterance	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526432825130	3	{"type":"Utterance","sender":"speaker","contents":"middle yellow orange","time":1526432825130}
utterance	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526432864012	4	{"type":"Utterance","sender":"speaker","contents":"darkest green in top left corner ","time":1526432864012}
utterance	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526432890039	5	{"type":"Utterance","sender":"speaker","contents":"purple top right corner","time":1526432890039}
utterance	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526432903609	6	{"type":"Utterance","sender":"speaker","contents":"pink center tile ","time":1526432903609}
utterance	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526432919580	7	{"type":"Utterance","sender":"speaker","contents":"orange top middle","time":1526432919580}
utterance	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526432966815	8	{"type":"Utterance","sender":"speaker","contents":"green tile middle row on the left ","time":1526432966815}
utterance	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526433039487	9	{"type":"Utterance","sender":"speaker","contents":"bright aqua on the left top next to gold taupe","time":1526433039487}
utterance	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526433068772	9	{"type":"Utterance","sender":"speaker","contents":"brightest middle blue","time":1526433068772}
