eventType	gameid	time	roundNum	obj
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493321511	1	{"type":"Utterance","sender":"speaker","contents":"Teal in middle top","time":1526493321511}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493353442	2	{"type":"Utterance","sender":"listener","contents":"Hello?","time":1526493353442}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493362154	2	{"type":"Utterance","sender":"speaker","contents":"Oh i didn't know it switched","time":1526493362154}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493364834	2	{"type":"Utterance","sender":"speaker","contents":"grey middle top","time":1526493364834}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493401728	3	{"type":"Utterance","sender":"speaker","contents":"right center most purple","time":1526493401728}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493432407	4	{"type":"Utterance","sender":"speaker","contents":"Darkest blue in middle","time":1526493432407}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493466202	5	{"type":"Utterance","sender":"speaker","contents":"lightest teal in bottom center","time":1526493466202}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493508773	6	{"type":"Utterance","sender":"speaker","contents":"grey middle right","time":1526493508773}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493539066	7	{"type":"Utterance","sender":"speaker","contents":"purple right side center","time":1526493539066}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493571370	7	{"type":"Utterance","sender":"listener","contents":"should we label the boxes 1-9 going from top left, then from middle left, then right left?","time":1526493571370}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493589430	7	{"type":"Utterance","sender":"speaker","contents":"ok then purple 6","time":1526493589430}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493601026	8	{"type":"Utterance","sender":"speaker","contents":"That was weird","time":1526493601026}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493603690	8	{"type":"Utterance","sender":"speaker","contents":"I clicked that one","time":1526493603690}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493614241	8	{"type":"Utterance","sender":"speaker","contents":"3: yellow","time":1526493614241}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493619707	8	{"type":"Utterance","sender":"listener","contents":"tell me the numbering system one more time please","time":1526493619707}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493626186	8	{"type":"Utterance","sender":"speaker","contents":"1 2 3 on top","time":1526493626186}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493629313	8	{"type":"Utterance","sender":"speaker","contents":"then 4 5 6 middle","time":1526493629313}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493634408	8	{"type":"Utterance","sender":"speaker","contents":"7 8 9 bottom","time":1526493634408}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493639238	8	{"type":"Utterance","sender":"speaker","contents":"left to right","time":1526493639238}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493642412	8	{"type":"Utterance","sender":"listener","contents":"thats what i thought","time":1526493642412}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493657295	9	{"type":"Utterance","sender":"listener","contents":"9: grey","time":1526493657295}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493668678	9	{"type":"Utterance","sender":"speaker","contents":"good idea btw.~~~~~~4 lime green","time":1526493668678}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493675534	9	{"type":"Utterance","sender":"listener","contents":"oops","time":1526493675534}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493677505	9	{"type":"Utterance","sender":"listener","contents":"sorry","time":1526493677505}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493681679	9	{"type":"Utterance","sender":"speaker","contents":"its ok","time":1526493681679}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493696910	10	{"type":"Utterance","sender":"listener","contents":"were both just trying to make a lil bank is all","time":1526493696910}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493706366	10	{"type":"Utterance","sender":"speaker","contents":"6: blue","time":1526493706366}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493720538	11	{"type":"Utterance","sender":"speaker","contents":"4 lightest blue","time":1526493720538}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493740780	12	{"type":"Utterance","sender":"speaker","contents":"1 purple","time":1526493740780}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493755708	13	{"type":"Utterance","sender":"speaker","contents":"4 neon green","time":1526493755708}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493782732	14	{"type":"Utterance","sender":"speaker","contents":"7 purple","time":1526493782732}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493794090	15	{"type":"Utterance","sender":"speaker","contents":"8 blue","time":1526493794090}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493808411	16	{"type":"Utterance","sender":"speaker","contents":"6 blue","time":1526493808411}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493829037	17	{"type":"Utterance","sender":"speaker","contents":"5 red","time":1526493829037}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493853858	18	{"type":"Utterance","sender":"speaker","contents":"8 green","time":1526493853858}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493857137	18	{"type":"Utterance","sender":"speaker","contents":" no","time":1526493857137}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493870841	18	{"type":"Utterance","sender":"speaker","contents":"3 blue","time":1526493870841}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493886640	19	{"type":"Utterance","sender":"speaker","contents":"2 purple","time":1526493886640}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493916662	20	{"type":"Utterance","sender":"speaker","contents":"2 light orange","time":1526493916662}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493929414	21	{"type":"Utterance","sender":"speaker","contents":"1 lightest green","time":1526493929414}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493951214	22	{"type":"Utterance","sender":"speaker","contents":"6 orange","time":1526493951214}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493960276	22	{"type":"Utterance","sender":"listener","contents":"there is no such","time":1526493960276}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526493988195	22	{"type":"Utterance","sender":"speaker","contents":"its like a light orange","time":1526493988195}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526494004292	23	{"type":"Utterance","sender":"speaker","contents":"3 brightest green","time":1526494004292}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526494006604	23	{"type":"Utterance","sender":"speaker","contents":"lightest","time":1526494006604}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526494034042	24	{"type":"Utterance","sender":"speaker","contents":"7 red","time":1526494034042}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526494043598	25	{"type":"Utterance","sender":"speaker","contents":"2 blue","time":1526494043598}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526494062499	26	{"type":"Utterance","sender":"speaker","contents":"4 green","time":1526494062499}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526494073951	27	{"type":"Utterance","sender":"speaker","contents":"1 red","time":1526494073951}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526494086744	28	{"type":"Utterance","sender":"speaker","contents":"2 green","time":1526494086744}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526494098875	29	{"type":"Utterance","sender":"speaker","contents":"4 green","time":1526494098875}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526494119305	30	{"type":"Utterance","sender":"speaker","contents":"4 cyan","time":1526494119305}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526494120843	30	{"type":"Utterance","sender":"speaker","contents":"no","time":1526494120843}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526494123399	30	{"type":"Utterance","sender":"speaker","contents":"sorry","time":1526494123399}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526494130232	30	{"type":"Utterance","sender":"speaker","contents":"4 is a teal","time":1526494130232}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526494144284	31	{"type":"Utterance","sender":"speaker","contents":"2 mustard","time":1526494144284}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526494169038	32	{"type":"Utterance","sender":"speaker","contents":"3 cyan","time":1526494169038}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526494198054	33	{"type":"Utterance","sender":"speaker","contents":"5 purple","time":1526494198054}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526494228532	34	{"type":"Utterance","sender":"speaker","contents":"6 is a brownish","time":1526494228532}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526494238659	35	{"type":"Utterance","sender":"speaker","contents":"7 blue","time":1526494238659}
utterance	6316-3b7a5b8a-752f-4bb6-9d38-d2a7030ac4cb	1526494268938	36	{"type":"Utterance","sender":"speaker","contents":"8 blue","time":1526494268938}
