eventType	gameid	time	roundNum	obj
utterance	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493518998	1	{"type":"Utterance","sender":"speaker","contents":"two purple upper left","time":1526493518998}
utterance	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493543679	2	{"type":"Utterance","sender":"speaker","contents":"Bright red in bottom left","time":1526493543679}
utterance	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493566032	3	{"type":"Utterance","sender":"speaker","contents":"light teal middle bottom","time":1526493566032}
utterance	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493590431	4	{"type":"Utterance","sender":"speaker","contents":"Blue middle bottom","time":1526493590431}
utterance	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493607561	5	{"type":"Utterance","sender":"speaker","contents":"purple middle top","time":1526493607561}
utterance	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493629387	6	{"type":"Utterance","sender":"speaker","contents":"Blue middle top","time":1526493629387}
utterance	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493642841	7	{"type":"Utterance","sender":"speaker","contents":"blue top right","time":1526493642841}
utterance	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493671042	8	{"type":"Utterance","sender":"speaker","contents":"light green, ugly green, light purple in top","time":1526493671042}
utterance	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493691578	9	{"type":"Utterance","sender":"speaker","contents":"brightest pink middle","time":1526493691578}
utterance	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493709426	10	{"type":"Utterance","sender":"speaker","contents":"bright green in top corner","time":1526493709426}
utterance	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493726266	11	{"type":"Utterance","sender":"speaker","contents":"bright pink middle","time":1526493726266}
utterance	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493732098	11	{"type":"Utterance","sender":"speaker","contents":"brightest","time":1526493732098}
utterance	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493745261	12	{"type":"Utterance","sender":"speaker","contents":"bright pink top right corner","time":1526493745261}
utterance	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493766596	13	{"type":"Utterance","sender":"speaker","contents":"light green top right","time":1526493766596}
utterance	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493812716	14	{"type":"Utterance","sender":"speaker","contents":"there are 2 that look almost exactly the same, but this is the one where the 2 greens in the middle almost blend together","time":1526493812716}
utterance	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493842652	14	{"type":"Utterance","sender":"listener","contents":"might have to just guess here","time":1526493842652}
utterance	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493864620	15	{"type":"Utterance","sender":"speaker","contents":"green and brown on top","time":1526493864620}
utterance	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493886740	16	{"type":"Utterance","sender":"listener","contents":"getting harder lol","time":1526493886740}
utterance	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493929566	16	{"type":"Utterance","sender":"listener","contents":"not the one with dark teal mid right is it?","time":1526493929566}
utterance	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493929605	16	{"type":"Utterance","sender":"speaker","contents":"wow um. Okay this one isn't the one with the same blues in the middle~~~ And it's not the one with the most different blues~~~ Its the one with a light bright blue in the middle row~~~","time":1526493929605}
utterance	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493949831	16	{"type":"Utterance","sender":"speaker","contents":"not the darkest blue one.","time":1526493949831}
utterance	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493953149	16	{"type":"Utterance","sender":"speaker","contents":"the medium blue one.","time":1526493953149}
utterance	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493965085	17	{"type":"Utterance","sender":"speaker","contents":"pink middle","time":1526493965085}
utterance	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493978989	18	{"type":"Utterance","sender":"speaker","contents":"pink middle","time":1526493978989}
