eventType	gameid	time	roundNum	obj
utterance	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526506842176	1	{"type":"Utterance","sender":"listener","contents":"hello","time":1526506842176}
utterance	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526506845659	1	{"type":"Utterance","sender":"speaker","contents":"Hi","time":1526506845659}
utterance	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526506873686	1	{"type":"Utterance","sender":"speaker","contents":"top row faded blue, grey, dull purple","time":1526506873686}
utterance	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526506898883	2	{"type":"Utterance","sender":"speaker","contents":"middle right blue","time":1526506898883}
utterance	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526506945519	3	{"type":"Utterance","sender":"listener","contents":"stay with me","time":1526506945519}
utterance	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526506962342	3	{"type":"Utterance","sender":"speaker","contents":"they all look the same sorry","time":1526506962342}
utterance	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526506980647	4	{"type":"Utterance","sender":"speaker","contents":"top left dark blue","time":1526506980647}
utterance	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507002460	5	{"type":"Utterance","sender":"speaker","contents":"top left dark blue","time":1526507002460}
utterance	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507020578	6	{"type":"Utterance","sender":"speaker","contents":"pea grea top left","time":1526507020578}
utterance	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507023674	6	{"type":"Utterance","sender":"speaker","contents":"green","time":1526507023674}
utterance	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507055800	7	{"type":"Utterance","sender":"speaker","contents":"middle right dark magenta","time":1526507055800}
utterance	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507078684	8	{"type":"Utterance","sender":"speaker","contents":"light green top left","time":1526507078684}
utterance	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507097695	9	{"type":"Utterance","sender":"speaker","contents":"grey top left ","time":1526507097695}
utterance	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507124420	10	{"type":"Utterance","sender":"speaker","contents":"two are the same","time":1526507124420}
utterance	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507129822	10	{"type":"Utterance","sender":"speaker","contents":"pick one of them","time":1526507129822}
utterance	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507146366	11	{"type":"Utterance","sender":"speaker","contents":"blue top left","time":1526507146366}
utterance	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507164499	12	{"type":"Utterance","sender":"speaker","contents":"top middle seafoam green","time":1526507164499}
utterance	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507192531	13	{"type":"Utterance","sender":"speaker","contents":"top right dark blue","time":1526507192531}
utterance	1963-570d3d28-9850-4738-884e-fc3ecb8832a3	1526507211402	14	{"type":"Utterance","sender":"speaker","contents":"magenta bottom middle","time":1526507211402}
