eventType	gameid	time	roundNum	obj
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526504873044	1	{"type":"Utterance","sender":"speaker","contents":"the top middle square is hot pink","time":1526504873044}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526504902895	2	{"type":"Utterance","sender":"speaker","contents":"top middle square is sky blue","time":1526504902895}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526504930551	3	{"type":"Utterance","sender":"speaker","contents":"the far left side goes pink, blue, purple from top to bottom","time":1526504930551}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526504999053	4	{"type":"Utterance","sender":"speaker","contents":"top row is orange, gray, purple from left to right","time":1526504999053}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505048103	5	{"type":"Utterance","sender":"speaker","contents":"the top row from left to right is pink, green, blue","time":1526505048103}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505104860	6	{"type":"Utterance","sender":"speaker","contents":"bottom right square is the middle hue of blue","time":1526505104860}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505175584	7	{"type":"Utterance","sender":"speaker","contents":"the far right side from top to bottom goes bright purple, grayish purple, then green. the bottom middle is blueish purple~~~ not the one with two blocks of the same color","time":1526505175584}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505225246	8	{"type":"Utterance","sender":"speaker","contents":"top row left to right is bright pink, murky green, regular purple","time":1526505225246}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505255993	9	{"type":"Utterance","sender":"speaker","contents":"bottom row left to right is brown, lime green, sky blue","time":1526505255993}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505290593	10	{"type":"Utterance","sender":"speaker","contents":"very middle square is murky red","time":1526505290593}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505315875	11	{"type":"Utterance","sender":"speaker","contents":"the middle row has two squares next to each other that are almost the same color","time":1526505315875}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505359342	12	{"type":"Utterance","sender":"speaker","contents":"top left square is pure orange","time":1526505359342}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505373593	13	{"type":"Utterance","sender":"speaker","contents":"top left square is bright red","time":1526505373593}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505417857	14	{"type":"Utterance","sender":"speaker","contents":"middle row is murky brown, light gray, dull red","time":1526505417857}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505446062	15	{"type":"Utterance","sender":"speaker","contents":"top row goes red, pink, gray","time":1526505446062}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505495364	16	{"type":"Utterance","sender":"speaker","contents":"top middle block is grayish brown","time":1526505495364}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505514290	17	{"type":"Utterance","sender":"speaker","contents":"top middle is hot pink","time":1526505514290}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505544555	18	{"type":"Utterance","sender":"speaker","contents":"top right block is pink","time":1526505544555}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505570386	19	{"type":"Utterance","sender":"speaker","contents":"top right is sky blue","time":1526505570386}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505590321	20	{"type":"Utterance","sender":"speaker","contents":"top middle block is pure gray","time":1526505590321}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505637331	21	{"type":"Utterance","sender":"speaker","contents":"the top left and top right are really similar colors","time":1526505637331}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505645686	21	{"type":"Utterance","sender":"speaker","contents":"bottom right is dark blue","time":1526505645686}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505673671	22	{"type":"Utterance","sender":"speaker","contents":"bottom right block is pure orange","time":1526505673671}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505702309	23	{"type":"Utterance","sender":"speaker","contents":"top right is brown and middle is a purpley pink","time":1526505702309}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505725682	24	{"type":"Utterance","sender":"speaker","contents":"bottom left block is bright red","time":1526505725682}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505751521	25	{"type":"Utterance","sender":"speaker","contents":"top left block is pure orange and bottom right is blue","time":1526505751521}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505773045	26	{"type":"Utterance","sender":"speaker","contents":"bottom right block is orange","time":1526505773045}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505798209	27	{"type":"Utterance","sender":"speaker","contents":"the middle column has gray in the middle block and also in the bottom block","time":1526505798209}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505806160	27	{"type":"Utterance","sender":"speaker","contents":"top of the middle column is sky blue","time":1526505806160}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505853623	28	{"type":"Utterance","sender":"speaker","contents":"bottom row is murky gray, murky blue, murky green","time":1526505853623}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505887109	29	{"type":"Utterance","sender":"speaker","contents":"top row goes green, purple, blue","time":1526505887109}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505910735	30	{"type":"Utterance","sender":"speaker","contents":"top row is pink, gray, green","time":1526505910735}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505934581	31	{"type":"Utterance","sender":"speaker","contents":"bottom left block is bright purple","time":1526505934581}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505957359	32	{"type":"Utterance","sender":"speaker","contents":"top right block is bright purple","time":1526505957359}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505980200	33	{"type":"Utterance","sender":"speaker","contents":"middle row has two green blocks, then blue","time":1526505980200}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506022790	34	{"type":"Utterance","sender":"speaker","contents":"top middle block and middle right block are both bright green","time":1526506022790}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506068137	35	{"type":"Utterance","sender":"speaker","contents":"the bottom left block is the most blue out of the purpley shades","time":1526506068137}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506072152	35	{"type":"Utterance","sender":"speaker","contents":"bottom right i mean","time":1526506072152}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506074191	35	{"type":"Utterance","sender":"speaker","contents":"not left sorry","time":1526506074191}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506126112	36	{"type":"Utterance","sender":"speaker","contents":"bottom right block is brightest shade of yellow","time":1526506126112}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506153264	37	{"type":"Utterance","sender":"speaker","contents":"middle right block is lighter red","time":1526506153264}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506207496	38	{"type":"Utterance","sender":"speaker","contents":"top left, middle, and bottom left block are nearly same shades of greenish-yellow","time":1526506207496}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506238369	39	{"type":"Utterance","sender":"speaker","contents":"top middle is lime green","time":1526506238369}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506280140	40	{"type":"Utterance","sender":"speaker","contents":"top left and top middle blocks almost blend into each other","time":1526506280140}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506305194	41	{"type":"Utterance","sender":"speaker","contents":"top middle block is sky blue and middle middle block is lime green","time":1526506305194}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506344267	42	{"type":"Utterance","sender":"speaker","contents":"bottom middle and bottom left blocks are murky green and almost blend together","time":1526506344267}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506353256	42	{"type":"Utterance","sender":"speaker","contents":"bottom right, I mean, not bottom left","time":1526506353256}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506375962	43	{"type":"Utterance","sender":"speaker","contents":"the top right and middle middle are both bright purple","time":1526506375962}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506380723	43	{"type":"Utterance","sender":"speaker","contents":"bottom left is lime green","time":1526506380723}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506429709	44	{"type":"Utterance","sender":"speaker","contents":"top left block is dark blue","time":1526506429709}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506451075	45	{"type":"Utterance","sender":"speaker","contents":"bottom right is gray","time":1526506451075}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506473332	46	{"type":"Utterance","sender":"speaker","contents":"top middle and top right blocks almost blend together","time":1526506473332}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506491443	47	{"type":"Utterance","sender":"speaker","contents":"top left and top middle almost blend together","time":1526506491443}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506517246	48	{"type":"Utterance","sender":"speaker","contents":"bottom right block is pure gray","time":1526506517246}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506531133	49	{"type":"Utterance","sender":"speaker","contents":"top left is pure orange","time":1526506531133}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506552830	50	{"type":"Utterance","sender":"speaker","contents":"top left block is yellowish-brown","time":1526506552830}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506572863	51	{"type":"Utterance","sender":"speaker","contents":"top middle is green","time":1526506572863}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506588720	52	{"type":"Utterance","sender":"speaker","contents":"bottom left is light green","time":1526506588720}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506621704	53	{"type":"Utterance","sender":"speaker","contents":"bottom right is bright purple, top left is reddish brown","time":1526506621704}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506637695	54	{"type":"Utterance","sender":"speaker","contents":"top left block is light blue","time":1526506637695}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506661152	55	{"type":"Utterance","sender":"speaker","contents":"middle middle and bottom left are the same shade of lime green","time":1526506661152}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506699696	56	{"type":"Utterance","sender":"speaker","contents":"top middle and top right blocks almost blend together","time":1526506699696}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506728335	57	{"type":"Utterance","sender":"speaker","contents":"middle right is gray","time":1526506728335}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506747098	58	{"type":"Utterance","sender":"speaker","contents":"bottom right block is orange","time":1526506747098}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506773410	59	{"type":"Utterance","sender":"speaker","contents":"top left is gray, top middle and bottom left are the same shade","time":1526506773410}
utterance	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526506797665	60	{"type":"Utterance","sender":"speaker","contents":"bottom right block is pure yellow","time":1526506797665}
