eventType	gameid	time	roundNum	obj
utterance	2006-30a4b375-6559-417a-bd27-4162d9961186	1526509019070	1	{"type":"Utterance","sender":"listener","contents":"hi","time":1526509019070}
utterance	2006-30a4b375-6559-417a-bd27-4162d9961186	1526509032395	1	{"type":"Utterance","sender":"speaker","contents":"The target is in the middle one.","time":1526509032395}
utterance	2006-30a4b375-6559-417a-bd27-4162d9961186	1526509055805	2	{"type":"Utterance","sender":"speaker","contents":"The positions aren't the same for both of us. That was in the instructions~~~","time":1526509055805}
utterance	2006-30a4b375-6559-417a-bd27-4162d9961186	1526509127406	3	{"type":"Utterance","sender":"listener","contents":".~~~~~~","time":1526509127406}
utterance	2006-30a4b375-6559-417a-bd27-4162d9961186	1526509129448	3	{"type":"Utterance","sender":"speaker","contents":"The target is including a big square of green color.","time":1526509129448}
utterance	2006-30a4b375-6559-417a-bd27-4162d9961186	1526509189947	4	{"type":"Utterance","sender":"speaker","contents":"The big green square is telling you what the target is. The other person can't see that~~~ Pick the one with two orange at bottom~~~","time":1526509189947}
utterance	2006-30a4b375-6559-417a-bd27-4162d9961186	1526509276589	5	{"type":"Utterance","sender":"speaker","contents":"The target is blue on the middle of the left side.","time":1526509276589}
utterance	2006-30a4b375-6559-417a-bd27-4162d9961186	1526509276826	5	{"type":"Utterance","sender":"listener","contents":"I'm numbering the squares 1 through 9 going horizontally and left to right. Just give the number and the color of the square that is different~~~","time":1526509276826}
utterance	2006-30a4b375-6559-417a-bd27-4162d9961186	1526509291033	6	{"type":"Utterance","sender":"speaker","contents":"2 grey","time":1526509291033}
utterance	2006-30a4b375-6559-417a-bd27-4162d9961186	1526509405349	7	{"type":"Utterance","sender":"speaker","contents":"The dark blue on the left bottom.","time":1526509405349}
utterance	2006-30a4b375-6559-417a-bd27-4162d9961186	1526509418930	7	{"type":"Utterance","sender":"listener","contents":"If you did my method this would take a few seconds. ","time":1526509418930}
utterance	2006-30a4b375-6559-417a-bd27-4162d9961186	1526509430160	8	{"type":"Utterance","sender":"speaker","contents":"1 dark blue","time":1526509430160}
utterance	2006-30a4b375-6559-417a-bd27-4162d9961186	1526509472902	9	{"type":"Utterance","sender":"speaker","contents":"one dark green","time":1526509472902}
utterance	2006-30a4b375-6559-417a-bd27-4162d9961186	1526509519986	10	{"type":"Utterance","sender":"speaker","contents":"squares numbered 1 2 3 top row, 4 5 6 middle row, 7 8 9 bottom row.  7 red","time":1526509519986}
utterance	2006-30a4b375-6559-417a-bd27-4162d9961186	1526509558889	11	{"type":"Utterance","sender":"speaker","contents":"3 light yellow","time":1526509558889}
utterance	2006-30a4b375-6559-417a-bd27-4162d9961186	1526509578334	12	{"type":"Utterance","sender":"speaker","contents":"2 dark blue","time":1526509578334}
