eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	2982-6442cb70-1654-4cfc-b4d2-dac8c02ec939	1523508259434	1	{"lClicked":0,"mouseX":199,"mouseY":237,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	2982-6442cb70-1654-4cfc-b4d2-dac8c02ec939	1523508281240	2	{"lClicked":1,"mouseX":501,"mouseY":179,"condition":{"name":"FAR"}}
action	ActionColorGrid	2982-6442cb70-1654-4cfc-b4d2-dac8c02ec939	1523508302978	3	{"lClicked":1,"mouseX":434,"mouseY":138,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	2982-6442cb70-1654-4cfc-b4d2-dac8c02ec939	1523508346045	4	{"lClicked":1,"mouseX":448,"mouseY":211,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	2982-6442cb70-1654-4cfc-b4d2-dac8c02ec939	1523508373342	5	{"lClicked":1,"mouseX":377,"mouseY":80,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	2982-6442cb70-1654-4cfc-b4d2-dac8c02ec939	1523508391046	6	{"lClicked":0,"mouseX":184,"mouseY":173,"condition":{"name":"FAR"}}
action	ActionColorGrid	2982-6442cb70-1654-4cfc-b4d2-dac8c02ec939	1523508408821	7	{"lClicked":1,"mouseX":423,"mouseY":111,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	2982-6442cb70-1654-4cfc-b4d2-dac8c02ec939	1523508430967	8	{"lClicked":0,"mouseX":167,"mouseY":157,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	2982-6442cb70-1654-4cfc-b4d2-dac8c02ec939	1523508490900	9	{"lClicked":2,"mouseX":699,"mouseY":89,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	2982-6442cb70-1654-4cfc-b4d2-dac8c02ec939	1523508551985	10	{"lClicked":0,"mouseX":70,"mouseY":170,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	2982-6442cb70-1654-4cfc-b4d2-dac8c02ec939	1523508568468	11	{"lClicked":1,"mouseX":363,"mouseY":196,"condition":{"name":"FAR"}}
action	ActionColorGrid	2982-6442cb70-1654-4cfc-b4d2-dac8c02ec939	1523508585097	12	{"lClicked":2,"mouseX":801,"mouseY":93,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	2982-6442cb70-1654-4cfc-b4d2-dac8c02ec939	1523508613998	13	{"lClicked":1,"mouseX":447,"mouseY":165,"condition":{"name":"FAR"}}
action	ActionColorGrid	2982-6442cb70-1654-4cfc-b4d2-dac8c02ec939	1523508651699	14	{"lClicked":0,"mouseX":144,"mouseY":150,"condition":{"name":"CLOSE"}}
