eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	7392-d73401ae-77c9-438b-96e6-bebe9f8a3b65	1523582349184	1	{"lClicked":0,"mouseX":191,"mouseY":158,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7392-d73401ae-77c9-438b-96e6-bebe9f8a3b65	1523582422673	2	{"lClicked":1,"mouseX":407,"mouseY":152,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7392-d73401ae-77c9-438b-96e6-bebe9f8a3b65	1523582469446	3	{"lClicked":1,"mouseX":445,"mouseY":139,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7392-d73401ae-77c9-438b-96e6-bebe9f8a3b65	1523582528062	4	{"lClicked":2,"mouseX":763,"mouseY":155,"condition":{"name":"FAR"}}
action	ActionColorGrid	7392-d73401ae-77c9-438b-96e6-bebe9f8a3b65	1523582639852	5	{"lClicked":2,"mouseX":809,"mouseY":182,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7392-d73401ae-77c9-438b-96e6-bebe9f8a3b65	1523582730556	6	{"lClicked":2,"mouseX":752,"mouseY":119,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7392-d73401ae-77c9-438b-96e6-bebe9f8a3b65	1523582774772	7	{"lClicked":2,"mouseX":813,"mouseY":138,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7392-d73401ae-77c9-438b-96e6-bebe9f8a3b65	1523582848058	8	{"lClicked":2,"mouseX":780,"mouseY":189,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7392-d73401ae-77c9-438b-96e6-bebe9f8a3b65	1523582890878	9	{"lClicked":1,"mouseX":514,"mouseY":92,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7392-d73401ae-77c9-438b-96e6-bebe9f8a3b65	1523582951065	10	{"lClicked":1,"mouseX":445,"mouseY":183,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7392-d73401ae-77c9-438b-96e6-bebe9f8a3b65	1523582975687	11	{"lClicked":1,"mouseX":503,"mouseY":178,"condition":{"name":"FAR"}}
action	ActionColorGrid	7392-d73401ae-77c9-438b-96e6-bebe9f8a3b65	1523583006264	12	{"lClicked":0,"mouseX":194,"mouseY":164,"condition":{"name":"FAR"}}
action	ActionColorGrid	7392-d73401ae-77c9-438b-96e6-bebe9f8a3b65	1523583030172	13	{"lClicked":1,"mouseX":461,"mouseY":126,"condition":{"name":"FAR"}}
action	ActionColorGrid	7392-d73401ae-77c9-438b-96e6-bebe9f8a3b65	1523583057527	14	{"lClicked":1,"mouseX":512,"mouseY":145,"condition":{"name":"FAR"}}
action	ActionColorGrid	7392-d73401ae-77c9-438b-96e6-bebe9f8a3b65	1523583116721	15	{"lClicked":1,"mouseX":461,"mouseY":158,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7392-d73401ae-77c9-438b-96e6-bebe9f8a3b65	1523583132158	16	{"lClicked":2,"mouseX":835,"mouseY":204,"condition":{"name":"FAR"}}
action	ActionColorGrid	7392-d73401ae-77c9-438b-96e6-bebe9f8a3b65	1523583152471	17	{"lClicked":0,"mouseX":138,"mouseY":106,"condition":{"name":"FAR"}}
action	ActionColorGrid	7392-d73401ae-77c9-438b-96e6-bebe9f8a3b65	1523583191589	18	{"lClicked":0,"mouseX":174,"mouseY":175,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7392-d73401ae-77c9-438b-96e6-bebe9f8a3b65	1523583232920	19	{"lClicked":1,"mouseX":445,"mouseY":135,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7392-d73401ae-77c9-438b-96e6-bebe9f8a3b65	1523583274654	20	{"lClicked":1,"mouseX":442,"mouseY":174,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7392-d73401ae-77c9-438b-96e6-bebe9f8a3b65	1523583302067	21	{"lClicked":1,"mouseX":476,"mouseY":130,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7392-d73401ae-77c9-438b-96e6-bebe9f8a3b65	1523583410482	22	{"lClicked":0,"mouseX":158,"mouseY":174,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7392-d73401ae-77c9-438b-96e6-bebe9f8a3b65	1523583458242	23	{"lClicked":2,"mouseX":775,"mouseY":163,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7392-d73401ae-77c9-438b-96e6-bebe9f8a3b65	1523583490593	24	{"lClicked":2,"mouseX":824,"mouseY":125,"condition":{"name":"SPLIT"}}
