eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655631119	1	{"lClicked":0,"mouseX":198,"mouseY":254,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655652651	2	{"lClicked":2,"mouseX":783,"mouseY":117,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655694510	3	{"lClicked":0,"mouseX":229,"mouseY":211,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655716573	4	{"lClicked":0,"mouseX":120,"mouseY":141,"condition":{"name":"FAR"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655742828	5	{"lClicked":1,"mouseX":446,"mouseY":152,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655776783	6	{"lClicked":2,"mouseX":780,"mouseY":138,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655813403	7	{"lClicked":2,"mouseX":628,"mouseY":140,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655833031	8	{"lClicked":0,"mouseX":144,"mouseY":127,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655846585	9	{"lClicked":0,"mouseX":251,"mouseY":105,"condition":{"name":"FAR"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655867801	10	{"lClicked":1,"mouseX":466,"mouseY":117,"condition":{"name":"FAR"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655887177	11	{"lClicked":1,"mouseX":463,"mouseY":119,"condition":{"name":"FAR"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655922225	12	{"lClicked":0,"mouseX":180,"mouseY":152,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523655935933	13	{"lClicked":0,"mouseX":196,"mouseY":181,"condition":{"name":"FAR"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656007889	14	{"lClicked":2,"mouseX":705,"mouseY":107,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656030582	15	{"lClicked":1,"mouseX":488,"mouseY":87,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656050205	16	{"lClicked":1,"mouseX":373,"mouseY":143,"condition":{"name":"FAR"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656079122	17	{"lClicked":1,"mouseX":465,"mouseY":256,"condition":{"name":"FAR"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656091338	18	{"lClicked":1,"mouseX":429,"mouseY":166,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656128851	19	{"lClicked":2,"mouseX":751,"mouseY":132,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656155409	20	{"lClicked":2,"mouseX":705,"mouseY":78,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656170023	21	{"lClicked":1,"mouseX":473,"mouseY":77,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656200498	22	{"lClicked":1,"mouseX":409,"mouseY":138,"condition":{"name":"FAR"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656247053	23	{"lClicked":2,"mouseX":779,"mouseY":162,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656270001	24	{"lClicked":2,"mouseX":770,"mouseY":173,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656286365	25	{"lClicked":1,"mouseX":441,"mouseY":110,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656299140	26	{"lClicked":1,"mouseX":474,"mouseY":184,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656311903	27	{"lClicked":2,"mouseX":701,"mouseY":145,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656343654	28	{"lClicked":2,"mouseX":760,"mouseY":167,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656353953	29	{"lClicked":2,"mouseX":766,"mouseY":138,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656396379	30	{"lClicked":0,"mouseX":205,"mouseY":125,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656420677	31	{"lClicked":1,"mouseX":480,"mouseY":140,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656440499	32	{"lClicked":2,"mouseX":716,"mouseY":109,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656452530	33	{"lClicked":2,"mouseX":723,"mouseY":239,"condition":{"name":"FAR"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656467660	34	{"lClicked":0,"mouseX":151,"mouseY":157,"condition":{"name":"FAR"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656487138	35	{"lClicked":1,"mouseX":392,"mouseY":219,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656515365	36	{"lClicked":2,"mouseX":744,"mouseY":116,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656527176	37	{"lClicked":1,"mouseX":471,"mouseY":135,"condition":{"name":"FAR"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656573181	38	{"lClicked":2,"mouseX":734,"mouseY":215,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656586031	39	{"lClicked":0,"mouseX":17,"mouseY":101,"condition":{"name":"FAR"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656609837	40	{"lClicked":0,"mouseX":113,"mouseY":171,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656627601	41	{"lClicked":1,"mouseX":480,"mouseY":174,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656652910	42	{"lClicked":1,"mouseX":426,"mouseY":149,"condition":{"name":"FAR"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656708492	43	{"lClicked":0,"mouseX":185,"mouseY":177,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656739400	44	{"lClicked":2,"mouseX":728,"mouseY":145,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656754612	45	{"lClicked":1,"mouseX":442,"mouseY":189,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656775869	46	{"lClicked":1,"mouseX":442,"mouseY":141,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656804429	47	{"lClicked":0,"mouseX":200,"mouseY":154,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656823290	48	{"lClicked":1,"mouseX":390,"mouseY":125,"condition":{"name":"FAR"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656836009	49	{"lClicked":1,"mouseX":519,"mouseY":92,"condition":{"name":"FAR"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656845301	50	{"lClicked":2,"mouseX":687,"mouseY":140,"condition":{"name":"FAR"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656855235	51	{"lClicked":1,"mouseX":456,"mouseY":152,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656881849	52	{"lClicked":1,"mouseX":438,"mouseY":142,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656897999	53	{"lClicked":2,"mouseX":682,"mouseY":143,"condition":{"name":"FAR"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656908502	54	{"lClicked":1,"mouseX":416,"mouseY":88,"condition":{"name":"FAR"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656928676	55	{"lClicked":0,"mouseX":145,"mouseY":190,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656940764	56	{"lClicked":2,"mouseX":725,"mouseY":189,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656982010	57	{"lClicked":1,"mouseX":410,"mouseY":36,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523656998847	58	{"lClicked":1,"mouseX":483,"mouseY":93,"condition":{"name":"FAR"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523657033112	59	{"lClicked":1,"mouseX":493,"mouseY":70,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	4291-4ba5fa41-7d12-43d7-8908-1930b504910e	1523657045535	60	{"lClicked":1,"mouseX":408,"mouseY":76,"condition":{"name":"FAR"}}
