eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665191312	1	{"lClicked":2,"mouseX":737,"mouseY":160,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665224002	2	{"lClicked":2,"mouseX":755,"mouseY":201,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665266085	3	{"lClicked":1,"mouseX":407,"mouseY":155,"condition":{"name":"FAR"}}
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665304355	4	{"lClicked":2,"mouseX":780,"mouseY":117,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665344324	5	{"lClicked":2,"mouseX":726,"mouseY":165,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665402684	6	{"lClicked":2,"mouseX":831,"mouseY":126,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665435832	7	{"lClicked":1,"mouseX":397,"mouseY":221,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665450149	8	{"lClicked":2,"mouseX":773,"mouseY":131,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665466929	9	{"lClicked":2,"mouseX":751,"mouseY":126,"condition":{"name":"FAR"}}
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665489300	10	{"lClicked":1,"mouseX":416,"mouseY":187,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665514532	11	{"lClicked":1,"mouseX":465,"mouseY":145,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665530756	12	{"lClicked":1,"mouseX":508,"mouseY":109,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665585304	13	{"lClicked":1,"mouseX":464,"mouseY":108,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665605244	14	{"lClicked":1,"mouseX":463,"mouseY":173,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665643775	15	{"lClicked":2,"mouseX":782,"mouseY":145,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665686821	16	{"lClicked":2,"mouseX":863,"mouseY":165,"condition":{"name":"FAR"}}
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665725502	17	{"lClicked":0,"mouseX":218,"mouseY":153,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665773621	18	{"lClicked":0,"mouseX":103,"mouseY":194,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665790835	19	{"lClicked":0,"mouseX":113,"mouseY":135,"condition":{"name":"FAR"}}
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665842100	20	{"lClicked":0,"mouseX":185,"mouseY":136,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665869293	21	{"lClicked":1,"mouseX":418,"mouseY":138,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665894878	22	{"lClicked":2,"mouseX":796,"mouseY":184,"condition":{"name":"FAR"}}
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665915805	23	{"lClicked":2,"mouseX":761,"mouseY":107,"condition":{"name":"FAR"}}
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665979486	24	{"lClicked":1,"mouseX":346,"mouseY":113,"condition":{"name":"FAR"}}
action	ActionColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665997764	25	{"lClicked":0,"mouseX":113,"mouseY":141,"condition":{"name":"FAR"}}
