eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667627604	1	{"lClicked":2,"mouseX":848,"mouseY":134,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667679057	2	{"lClicked":1,"mouseX":481,"mouseY":159,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667708423	3	{"lClicked":2,"mouseX":771,"mouseY":103,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667759139	4	{"lClicked":1,"mouseX":434,"mouseY":138,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667812917	5	{"lClicked":0,"mouseX":192,"mouseY":78,"condition":{"name":"FAR"}}
action	ActionColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667848648	6	{"lClicked":0,"mouseX":142,"mouseY":127,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667873734	7	{"lClicked":1,"mouseX":451,"mouseY":140,"condition":{"name":"FAR"}}
action	ActionColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667944033	8	{"lClicked":0,"mouseX":129,"mouseY":121,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667963308	9	{"lClicked":1,"mouseX":535,"mouseY":80,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668001432	10	{"lClicked":0,"mouseX":179,"mouseY":106,"condition":{"name":"FAR"}}
action	ActionColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668049301	11	{"lClicked":2,"mouseX":783,"mouseY":128,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668091821	12	{"lClicked":1,"mouseX":392,"mouseY":19,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668180832	13	{"lClicked":1,"mouseX":561,"mouseY":246,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668238976	14	{"lClicked":1,"mouseX":458,"mouseY":136,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668279671	15	{"lClicked":2,"mouseX":762,"mouseY":124,"condition":{"name":"FAR"}}
action	ActionColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668316485	16	{"lClicked":2,"mouseX":755,"mouseY":96,"condition":{"name":"FAR"}}
action	ActionColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668379132	17	{"lClicked":1,"mouseX":450,"mouseY":213,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668465632	18	{"lClicked":1,"mouseX":460,"mouseY":142,"condition":{"name":"FAR"}}
action	ActionColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668505031	19	{"lClicked":2,"mouseX":823,"mouseY":82,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668568391	20	{"lClicked":2,"mouseX":748,"mouseY":154,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668585384	21	{"lClicked":2,"mouseX":805,"mouseY":73,"condition":{"name":"FAR"}}
action	ActionColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668631882	22	{"lClicked":0,"mouseX":152,"mouseY":132,"condition":{"name":"FAR"}}
action	ActionColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668656151	23	{"lClicked":2,"mouseX":827,"mouseY":216,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668726976	24	{"lClicked":1,"mouseX":466,"mouseY":125,"condition":{"name":"FAR"}}
