eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	1579-224e0c88-c357-4052-81ae-e7856a45cfc2	1523726344273	1	{"lClicked":1,"mouseX":455,"mouseY":150,"condition":{"name":"FAR"}}
action	ActionColorGrid	1579-224e0c88-c357-4052-81ae-e7856a45cfc2	1523726379822	2	{"lClicked":2,"mouseX":765,"mouseY":138,"condition":{"name":"FAR"}}
action	ActionColorGrid	1579-224e0c88-c357-4052-81ae-e7856a45cfc2	1523726402264	3	{"lClicked":1,"mouseX":447,"mouseY":168,"condition":{"name":"FAR"}}
action	ActionColorGrid	1579-224e0c88-c357-4052-81ae-e7856a45cfc2	1523726457192	4	{"lClicked":1,"mouseX":487,"mouseY":102,"condition":{"name":"FAR"}}
action	ActionColorGrid	1579-224e0c88-c357-4052-81ae-e7856a45cfc2	1523726483182	5	{"lClicked":2,"mouseX":728,"mouseY":163,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1579-224e0c88-c357-4052-81ae-e7856a45cfc2	1523726518704	6	{"lClicked":1,"mouseX":540,"mouseY":113,"condition":{"name":"FAR"}}
action	ActionColorGrid	1579-224e0c88-c357-4052-81ae-e7856a45cfc2	1523726567632	7	{"lClicked":2,"mouseX":735,"mouseY":164,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1579-224e0c88-c357-4052-81ae-e7856a45cfc2	1523726608828	8	{"lClicked":0,"mouseX":211,"mouseY":158,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1579-224e0c88-c357-4052-81ae-e7856a45cfc2	1523726630602	9	{"lClicked":0,"mouseX":118,"mouseY":163,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1579-224e0c88-c357-4052-81ae-e7856a45cfc2	1523726698228	10	{"lClicked":2,"mouseX":762,"mouseY":113,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1579-224e0c88-c357-4052-81ae-e7856a45cfc2	1523726719223	11	{"lClicked":1,"mouseX":456,"mouseY":181,"condition":{"name":"FAR"}}
action	ActionColorGrid	1579-224e0c88-c357-4052-81ae-e7856a45cfc2	1523726769182	12	{"lClicked":2,"mouseX":744,"mouseY":99,"condition":{"name":"FAR"}}
action	ActionColorGrid	1579-224e0c88-c357-4052-81ae-e7856a45cfc2	1523726832962	13	{"lClicked":2,"mouseX":761,"mouseY":148,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1579-224e0c88-c357-4052-81ae-e7856a45cfc2	1523726876248	14	{"lClicked":1,"mouseX":439,"mouseY":150,"condition":{"name":"FAR"}}
action	ActionColorGrid	1579-224e0c88-c357-4052-81ae-e7856a45cfc2	1523726905144	15	{"lClicked":0,"mouseX":126,"mouseY":153,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1579-224e0c88-c357-4052-81ae-e7856a45cfc2	1523726926641	16	{"lClicked":1,"mouseX":411,"mouseY":144,"condition":{"name":"FAR"}}
action	ActionColorGrid	1579-224e0c88-c357-4052-81ae-e7856a45cfc2	1523726966328	17	{"lClicked":1,"mouseX":435,"mouseY":177,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1579-224e0c88-c357-4052-81ae-e7856a45cfc2	1523726992182	18	{"lClicked":0,"mouseX":206,"mouseY":166,"condition":{"name":"FAR"}}
action	ActionColorGrid	1579-224e0c88-c357-4052-81ae-e7856a45cfc2	1523727024723	19	{"lClicked":1,"mouseX":444,"mouseY":160,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1579-224e0c88-c357-4052-81ae-e7856a45cfc2	1523727119029	20	{"lClicked":1,"mouseX":498,"mouseY":100,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1579-224e0c88-c357-4052-81ae-e7856a45cfc2	1523727194077	21	{"lClicked":1,"mouseX":439,"mouseY":178,"condition":{"name":"FAR"}}
action	ActionColorGrid	1579-224e0c88-c357-4052-81ae-e7856a45cfc2	1523727226071	22	{"lClicked":1,"mouseX":433,"mouseY":178,"condition":{"name":"SPLIT"}}
