eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721353317	1	{"lClicked":1,"mouseX":468,"mouseY":145,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721379305	2	{"lClicked":2,"mouseX":754,"mouseY":147,"condition":{"name":"FAR"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721438178	3	{"lClicked":0,"mouseX":113,"mouseY":173,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721471746	4	{"lClicked":1,"mouseX":425,"mouseY":108,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721505056	5	{"lClicked":2,"mouseX":729,"mouseY":131,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721525049	6	{"lClicked":1,"mouseX":472,"mouseY":106,"condition":{"name":"FAR"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721573664	7	{"lClicked":2,"mouseX":737,"mouseY":142,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721605637	8	{"lClicked":0,"mouseX":199,"mouseY":115,"condition":{"name":"FAR"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721625359	9	{"lClicked":1,"mouseX":425,"mouseY":94,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721734696	10	{"lClicked":0,"mouseX":142,"mouseY":108,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721768318	11	{"lClicked":1,"mouseX":439,"mouseY":130,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721789954	12	{"lClicked":2,"mouseX":698,"mouseY":150,"condition":{"name":"FAR"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721845061	13	{"lClicked":1,"mouseX":447,"mouseY":131,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721884581	14	{"lClicked":0,"mouseX":167,"mouseY":145,"condition":{"name":"FAR"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721925177	15	{"lClicked":2,"mouseX":744,"mouseY":166,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721953538	16	{"lClicked":2,"mouseX":734,"mouseY":78,"condition":{"name":"FAR"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523721981321	17	{"lClicked":0,"mouseX":155,"mouseY":130,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523722009180	18	{"lClicked":1,"mouseX":450,"mouseY":178,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523722026701	19	{"lClicked":1,"mouseX":452,"mouseY":123,"condition":{"name":"FAR"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523722045983	20	{"lClicked":1,"mouseX":411,"mouseY":187,"condition":{"name":"FAR"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523722075336	21	{"lClicked":0,"mouseX":136,"mouseY":154,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523722151657	22	{"lClicked":2,"mouseX":645,"mouseY":94,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523722200707	23	{"lClicked":1,"mouseX":495,"mouseY":117,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523722243605	24	{"lClicked":2,"mouseX":783,"mouseY":144,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523722270192	25	{"lClicked":2,"mouseX":788,"mouseY":125,"condition":{"name":"FAR"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523722299484	26	{"lClicked":1,"mouseX":470,"mouseY":98,"condition":{"name":"FAR"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523722335073	27	{"lClicked":0,"mouseX":134,"mouseY":140,"condition":{"name":"FAR"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523722403887	28	{"lClicked":1,"mouseX":411,"mouseY":119,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523722423029	29	{"lClicked":2,"mouseX":721,"mouseY":121,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523722449694	30	{"lClicked":2,"mouseX":839,"mouseY":117,"condition":{"name":"FAR"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523722486112	31	{"lClicked":1,"mouseX":448,"mouseY":130,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523722513671	32	{"lClicked":0,"mouseX":148,"mouseY":132,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523722559967	33	{"lClicked":1,"mouseX":453,"mouseY":135,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523722601744	34	{"lClicked":1,"mouseX":420,"mouseY":220,"condition":{"name":"FAR"}}
action	ActionColorGrid	1365-f75aa281-4887-4663-9826-b639f2440a6c	1523722629087	35	{"lClicked":0,"mouseX":114,"mouseY":130,"condition":{"name":"CLOSE"}}
