eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	8383-e6e5d8d8-f814-4f89-9a2b-1b7ff41475ec	1523721492113	1	{"lClicked":2,"mouseX":774,"mouseY":88,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	8383-e6e5d8d8-f814-4f89-9a2b-1b7ff41475ec	1523721570560	2	{"lClicked":1,"mouseX":476,"mouseY":164,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	8383-e6e5d8d8-f814-4f89-9a2b-1b7ff41475ec	1523721629554	3	{"lClicked":0,"mouseX":153,"mouseY":109,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	8383-e6e5d8d8-f814-4f89-9a2b-1b7ff41475ec	1523721722202	4	{"lClicked":1,"mouseX":447,"mouseY":124,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	8383-e6e5d8d8-f814-4f89-9a2b-1b7ff41475ec	1523721818249	5	{"lClicked":0,"mouseX":173,"mouseY":148,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	8383-e6e5d8d8-f814-4f89-9a2b-1b7ff41475ec	1523721902204	6	{"lClicked":1,"mouseX":405,"mouseY":141,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	8383-e6e5d8d8-f814-4f89-9a2b-1b7ff41475ec	1523722012728	7	{"lClicked":0,"mouseX":195,"mouseY":138,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	8383-e6e5d8d8-f814-4f89-9a2b-1b7ff41475ec	1523722071486	8	{"lClicked":0,"mouseX":153,"mouseY":164,"condition":{"name":"FAR"}}
action	ActionColorGrid	8383-e6e5d8d8-f814-4f89-9a2b-1b7ff41475ec	1523722102447	9	{"lClicked":2,"mouseX":779,"mouseY":98,"condition":{"name":"FAR"}}
action	ActionColorGrid	8383-e6e5d8d8-f814-4f89-9a2b-1b7ff41475ec	1523722204273	10	{"lClicked":0,"mouseX":146,"mouseY":128,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	8383-e6e5d8d8-f814-4f89-9a2b-1b7ff41475ec	1523722246290	11	{"lClicked":2,"mouseX":777,"mouseY":96,"condition":{"name":"FAR"}}
