eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523838160850	1	{"lClicked":1,"mouseX":365,"mouseY":154,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523838185710	2	{"lClicked":2,"mouseX":879,"mouseY":166,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523838226016	3	{"lClicked":2,"mouseX":697,"mouseY":139,"condition":{"name":"FAR"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523838246836	4	{"lClicked":1,"mouseX":490,"mouseY":92,"condition":{"name":"FAR"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523838287641	5	{"lClicked":2,"mouseX":669,"mouseY":192,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523838356444	6	{"lClicked":2,"mouseX":815,"mouseY":98,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523838392851	7	{"lClicked":1,"mouseX":526,"mouseY":69,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523838424499	8	{"lClicked":1,"mouseX":400,"mouseY":54,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523838471108	9	{"lClicked":0,"mouseX":268,"mouseY":103,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523838532273	10	{"lClicked":0,"mouseX":84,"mouseY":71,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523838589032	11	{"lClicked":2,"mouseX":619,"mouseY":210,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523838623051	12	{"lClicked":1,"mouseX":513,"mouseY":107,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523838732577	13	{"lClicked":1,"mouseX":413,"mouseY":105,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523838761264	14	{"lClicked":2,"mouseX":865,"mouseY":86,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523838847965	15	{"lClicked":2,"mouseX":697,"mouseY":136,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523838901428	16	{"lClicked":1,"mouseX":457,"mouseY":131,"condition":{"name":"FAR"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523838954940	17	{"lClicked":1,"mouseX":535,"mouseY":151,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523838999209	18	{"lClicked":1,"mouseX":476,"mouseY":97,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523839059638	19	{"lClicked":1,"mouseX":441,"mouseY":134,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523839115212	20	{"lClicked":2,"mouseX":860,"mouseY":177,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523839144015	21	{"lClicked":1,"mouseX":471,"mouseY":131,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523839169191	22	{"lClicked":2,"mouseX":803,"mouseY":151,"condition":{"name":"FAR"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523839220992	23	{"lClicked":2,"mouseX":650,"mouseY":94,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523839248514	24	{"lClicked":1,"mouseX":505,"mouseY":126,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523839309738	25	{"lClicked":1,"mouseX":506,"mouseY":160,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523839369866	26	{"lClicked":1,"mouseX":544,"mouseY":169,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523839398619	27	{"lClicked":0,"mouseX":161,"mouseY":249,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523839414637	28	{"lClicked":2,"mouseX":818,"mouseY":90,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9280-79fd84a7-7847-44e1-b60f-4b1d9395ce49	1523839432660	29	{"lClicked":2,"mouseX":711,"mouseY":78,"condition":{"name":"FAR"}}
