eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838478538	1	{"lClicked":1,"mouseX":487,"mouseY":101,"condition":{"name":"FAR"}}
action	ActionColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838504510	2	{"lClicked":1,"mouseX":450,"mouseY":160,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838570027	3	{"lClicked":1,"mouseX":454,"mouseY":153,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838582974	4	{"lClicked":0,"mouseX":222,"mouseY":146,"condition":{"name":"FAR"}}
action	ActionColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838637803	5	{"lClicked":0,"mouseX":223,"mouseY":145,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838660247	6	{"lClicked":2,"mouseX":775,"mouseY":155,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838695037	7	{"lClicked":2,"mouseX":667,"mouseY":147,"condition":{"name":"FAR"}}
action	ActionColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838717748	8	{"lClicked":0,"mouseX":136,"mouseY":152,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838737228	9	{"lClicked":2,"mouseX":762,"mouseY":116,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838755194	10	{"lClicked":0,"mouseX":167,"mouseY":179,"condition":{"name":"FAR"}}
action	ActionColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838768638	11	{"lClicked":1,"mouseX":441,"mouseY":182,"condition":{"name":"FAR"}}
action	ActionColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838788739	12	{"lClicked":2,"mouseX":808,"mouseY":186,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838807878	13	{"lClicked":1,"mouseX":394,"mouseY":127,"condition":{"name":"FAR"}}
action	ActionColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838820257	14	{"lClicked":2,"mouseX":848,"mouseY":154,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838851368	15	{"lClicked":0,"mouseX":175,"mouseY":65,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838863314	16	{"lClicked":2,"mouseX":754,"mouseY":142,"condition":{"name":"FAR"}}
action	ActionColorGrid	4332-b8654eaf-1f17-478a-aded-a5a03e54b064	1523838877824	17	{"lClicked":1,"mouseX":530,"mouseY":106,"condition":{"name":"FAR"}}
