eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840400942	1	{"lClicked":2,"mouseX":745,"mouseY":157,"condition":{"name":"FAR"}}
action	ActionColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840420993	2	{"lClicked":2,"mouseX":743,"mouseY":150,"condition":{"name":"FAR"}}
action	ActionColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840443491	3	{"lClicked":1,"mouseX":512,"mouseY":112,"condition":{"name":"FAR"}}
action	ActionColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840467912	4	{"lClicked":1,"mouseX":490,"mouseY":178,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840481085	5	{"lClicked":2,"mouseX":731,"mouseY":117,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840494267	6	{"lClicked":2,"mouseX":813,"mouseY":127,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840506826	7	{"lClicked":0,"mouseX":187,"mouseY":70,"condition":{"name":"FAR"}}
action	ActionColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840526801	8	{"lClicked":2,"mouseX":799,"mouseY":187,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840568777	9	{"lClicked":2,"mouseX":717,"mouseY":193,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840598288	10	{"lClicked":1,"mouseX":483,"mouseY":195,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840613424	11	{"lClicked":0,"mouseX":151,"mouseY":94,"condition":{"name":"FAR"}}
action	ActionColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840640841	12	{"lClicked":0,"mouseX":170,"mouseY":164,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840686286	13	{"lClicked":1,"mouseX":465,"mouseY":134,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840718704	14	{"lClicked":0,"mouseX":163,"mouseY":165,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840733909	15	{"lClicked":1,"mouseX":527,"mouseY":146,"condition":{"name":"FAR"}}
action	ActionColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840766818	16	{"lClicked":0,"mouseX":192,"mouseY":143,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840803204	17	{"lClicked":1,"mouseX":442,"mouseY":106,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840842942	18	{"lClicked":0,"mouseX":169,"mouseY":139,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840898523	19	{"lClicked":0,"mouseX":215,"mouseY":51,"condition":{"name":"FAR"}}
