eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	8190-0f2f16da-9551-40a7-ab02-f1282d283649	1523924459615	1	{"lClicked":1,"mouseX":449,"mouseY":150,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	8190-0f2f16da-9551-40a7-ab02-f1282d283649	1523924569155	2	{"lClicked":2,"mouseX":738,"mouseY":121,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	8190-0f2f16da-9551-40a7-ab02-f1282d283649	1523924619397	3	{"lClicked":2,"mouseX":816,"mouseY":165,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	8190-0f2f16da-9551-40a7-ab02-f1282d283649	1523924664490	4	{"lClicked":2,"mouseX":735,"mouseY":115,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	8190-0f2f16da-9551-40a7-ab02-f1282d283649	1523924732961	5	{"lClicked":2,"mouseX":812,"mouseY":147,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	8190-0f2f16da-9551-40a7-ab02-f1282d283649	1523924765688	6	{"lClicked":2,"mouseX":802,"mouseY":96,"condition":{"name":"FAR"}}
action	ActionColorGrid	8190-0f2f16da-9551-40a7-ab02-f1282d283649	1523924843087	7	{"lClicked":0,"mouseX":152,"mouseY":142,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	8190-0f2f16da-9551-40a7-ab02-f1282d283649	1523924874113	8	{"lClicked":1,"mouseX":387,"mouseY":184,"condition":{"name":"FAR"}}
action	ActionColorGrid	8190-0f2f16da-9551-40a7-ab02-f1282d283649	1523924894306	9	{"lClicked":2,"mouseX":777,"mouseY":158,"condition":{"name":"FAR"}}
action	ActionColorGrid	8190-0f2f16da-9551-40a7-ab02-f1282d283649	1523924922998	10	{"lClicked":1,"mouseX":426,"mouseY":144,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	8190-0f2f16da-9551-40a7-ab02-f1282d283649	1523924944851	11	{"lClicked":2,"mouseX":781,"mouseY":105,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	8190-0f2f16da-9551-40a7-ab02-f1282d283649	1523925062048	12	{"lClicked":1,"mouseX":466,"mouseY":139,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	8190-0f2f16da-9551-40a7-ab02-f1282d283649	1523925120111	13	{"lClicked":2,"mouseX":766,"mouseY":141,"condition":{"name":"FAR"}}
action	ActionColorGrid	8190-0f2f16da-9551-40a7-ab02-f1282d283649	1523925168456	14	{"lClicked":0,"mouseX":201,"mouseY":227,"condition":{"name":"FAR"}}
action	ActionColorGrid	8190-0f2f16da-9551-40a7-ab02-f1282d283649	1523925210442	15	{"lClicked":1,"mouseX":530,"mouseY":159,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	8190-0f2f16da-9551-40a7-ab02-f1282d283649	1523925246492	16	{"lClicked":0,"mouseX":74,"mouseY":90,"condition":{"name":"FAR"}}
