eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523926275778	1	{"lClicked":2,"mouseX":793,"mouseY":126,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523926337641	2	{"lClicked":0,"mouseX":213,"mouseY":166,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523926379879	3	{"lClicked":2,"mouseX":744,"mouseY":172,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523926434721	4	{"lClicked":2,"mouseX":766,"mouseY":201,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523926502567	5	{"lClicked":2,"mouseX":784,"mouseY":184,"condition":{"name":"FAR"}}
action	ActionColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523926558409	6	{"lClicked":1,"mouseX":465,"mouseY":184,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523926610725	7	{"lClicked":1,"mouseX":479,"mouseY":129,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523926775422	8	{"lClicked":0,"mouseX":129,"mouseY":202,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523926825037	9	{"lClicked":1,"mouseX":492,"mouseY":135,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523926853455	10	{"lClicked":1,"mouseX":440,"mouseY":161,"condition":{"name":"FAR"}}
action	ActionColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523926959039	11	{"lClicked":1,"mouseX":481,"mouseY":202,"condition":{"name":"CLOSE"}}
