eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523897891754	1	{"lClicked":2,"mouseX":731,"mouseY":137,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523897918370	2	{"lClicked":1,"mouseX":454,"mouseY":116,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523897949789	3	{"lClicked":1,"mouseX":381,"mouseY":87,"condition":{"name":"FAR"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523897986373	4	{"lClicked":2,"mouseX":762,"mouseY":73,"condition":{"name":"FAR"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898008723	5	{"lClicked":1,"mouseX":456,"mouseY":126,"condition":{"name":"FAR"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898033826	6	{"lClicked":2,"mouseX":732,"mouseY":119,"condition":{"name":"FAR"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898095429	7	{"lClicked":0,"mouseX":189,"mouseY":189,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898149628	8	{"lClicked":2,"mouseX":701,"mouseY":148,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898185907	9	{"lClicked":2,"mouseX":855,"mouseY":83,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898220454	10	{"lClicked":1,"mouseX":489,"mouseY":55,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898264915	11	{"lClicked":2,"mouseX":749,"mouseY":147,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898290270	12	{"lClicked":1,"mouseX":392,"mouseY":131,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898314683	13	{"lClicked":1,"mouseX":454,"mouseY":134,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898339041	14	{"lClicked":2,"mouseX":811,"mouseY":160,"condition":{"name":"FAR"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898377689	15	{"lClicked":1,"mouseX":439,"mouseY":150,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898456374	16	{"lClicked":1,"mouseX":414,"mouseY":66,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898474888	17	{"lClicked":1,"mouseX":449,"mouseY":151,"condition":{"name":"FAR"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898547340	18	{"lClicked":2,"mouseX":689,"mouseY":67,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898620204	19	{"lClicked":0,"mouseX":148,"mouseY":185,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898667580	20	{"lClicked":2,"mouseX":709,"mouseY":112,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898690660	21	{"lClicked":0,"mouseX":217,"mouseY":182,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898737330	22	{"lClicked":0,"mouseX":208,"mouseY":47,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898772789	23	{"lClicked":1,"mouseX":433,"mouseY":157,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898821931	24	{"lClicked":1,"mouseX":443,"mouseY":117,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898841883	25	{"lClicked":0,"mouseX":156,"mouseY":117,"condition":{"name":"FAR"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898873141	26	{"lClicked":1,"mouseX":464,"mouseY":119,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898887467	27	{"lClicked":2,"mouseX":695,"mouseY":42,"condition":{"name":"FAR"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898910489	28	{"lClicked":2,"mouseX":789,"mouseY":128,"condition":{"name":"FAR"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898930208	29	{"lClicked":0,"mouseX":142,"mouseY":74,"condition":{"name":"FAR"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898970066	30	{"lClicked":2,"mouseX":745,"mouseY":172,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	1856-9f11ca07-82a2-401e-9b4a-96ef592df43d	1523898997855	31	{"lClicked":0,"mouseX":141,"mouseY":132,"condition":{"name":"SPLIT"}}
