eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	2694-2b626eb1-587f-492f-89b6-5ab0d357e578	1523897885630	1	{"lClicked":1,"mouseX":459,"mouseY":179,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	2694-2b626eb1-587f-492f-89b6-5ab0d357e578	1523897933514	2	{"lClicked":0,"mouseX":170,"mouseY":102,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	2694-2b626eb1-587f-492f-89b6-5ab0d357e578	1523897960281	3	{"lClicked":1,"mouseX":496,"mouseY":197,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	2694-2b626eb1-587f-492f-89b6-5ab0d357e578	1523897983912	4	{"lClicked":0,"mouseX":192,"mouseY":70,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	2694-2b626eb1-587f-492f-89b6-5ab0d357e578	1523898006907	5	{"lClicked":1,"mouseX":453,"mouseY":128,"condition":{"name":"FAR"}}
action	ActionColorGrid	2694-2b626eb1-587f-492f-89b6-5ab0d357e578	1523898047074	6	{"lClicked":0,"mouseX":215,"mouseY":91,"condition":{"name":"FAR"}}
action	ActionColorGrid	2694-2b626eb1-587f-492f-89b6-5ab0d357e578	1523898103971	7	{"lClicked":2,"mouseX":702,"mouseY":199,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	2694-2b626eb1-587f-492f-89b6-5ab0d357e578	1523898141155	8	{"lClicked":2,"mouseX":754,"mouseY":120,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	2694-2b626eb1-587f-492f-89b6-5ab0d357e578	1523898193751	9	{"lClicked":2,"mouseX":732,"mouseY":154,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	2694-2b626eb1-587f-492f-89b6-5ab0d357e578	1523898211274	10	{"lClicked":2,"mouseX":816,"mouseY":182,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	2694-2b626eb1-587f-492f-89b6-5ab0d357e578	1523898221901	11	{"lClicked":2,"mouseX":767,"mouseY":180,"condition":{"name":"FAR"}}
action	ActionColorGrid	2694-2b626eb1-587f-492f-89b6-5ab0d357e578	1523898284074	12	{"lClicked":1,"mouseX":427,"mouseY":99,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	2694-2b626eb1-587f-492f-89b6-5ab0d357e578	1523898316055	13	{"lClicked":2,"mouseX":750,"mouseY":154,"condition":{"name":"SPLIT"}}
