eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986106991	1	{"lClicked":2,"mouseX":748,"mouseY":119,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986171864	2	{"lClicked":1,"mouseX":471,"mouseY":105,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986201542	3	{"lClicked":1,"mouseX":435,"mouseY":126,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986251397	4	{"lClicked":2,"mouseX":754,"mouseY":111,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986295285	5	{"lClicked":1,"mouseX":415,"mouseY":137,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986322573	6	{"lClicked":0,"mouseX":102,"mouseY":120,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986364989	7	{"lClicked":0,"mouseX":196,"mouseY":121,"condition":{"name":"FAR"}}
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986388808	8	{"lClicked":0,"mouseX":95,"mouseY":162,"condition":{"name":"FAR"}}
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986424858	9	{"lClicked":2,"mouseX":791,"mouseY":174,"condition":{"name":"FAR"}}
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986458178	10	{"lClicked":2,"mouseX":741,"mouseY":185,"condition":{"name":"FAR"}}
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986483282	11	{"lClicked":1,"mouseX":421,"mouseY":129,"condition":{"name":"FAR"}}
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986535872	12	{"lClicked":1,"mouseX":445,"mouseY":153,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986581552	13	{"lClicked":0,"mouseX":163,"mouseY":146,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986604114	14	{"lClicked":1,"mouseX":438,"mouseY":158,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986652682	15	{"lClicked":1,"mouseX":394,"mouseY":117,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986684784	16	{"lClicked":2,"mouseX":766,"mouseY":161,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986759176	17	{"lClicked":2,"mouseX":724,"mouseY":179,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986789291	18	{"lClicked":0,"mouseX":146,"mouseY":158,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986872385	19	{"lClicked":0,"mouseX":222,"mouseY":109,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986888664	20	{"lClicked":0,"mouseX":167,"mouseY":151,"condition":{"name":"FAR"}}
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986935615	21	{"lClicked":1,"mouseX":462,"mouseY":160,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986962925	22	{"lClicked":0,"mouseX":166,"mouseY":137,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523986990331	23	{"lClicked":1,"mouseX":461,"mouseY":106,"condition":{"name":"FAR"}}
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523987007547	24	{"lClicked":1,"mouseX":417,"mouseY":139,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7099-e2f5be8f-9248-4fa5-bd96-ebd3ce977d32	1523987050400	25	{"lClicked":2,"mouseX":768,"mouseY":134,"condition":{"name":"CLOSE"}}
