eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	6381-e772be69-e74d-4df6-8e82-7fcdcb2b7f97	1523986194099	1	{"lClicked":0,"mouseX":187,"mouseY":171,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6381-e772be69-e74d-4df6-8e82-7fcdcb2b7f97	1523986224500	2	{"lClicked":2,"mouseX":779,"mouseY":135,"condition":{"name":"FAR"}}
action	ActionColorGrid	6381-e772be69-e74d-4df6-8e82-7fcdcb2b7f97	1523986245468	3	{"lClicked":1,"mouseX":528,"mouseY":188,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6381-e772be69-e74d-4df6-8e82-7fcdcb2b7f97	1523986261740	4	{"lClicked":1,"mouseX":486,"mouseY":192,"condition":{"name":"FAR"}}
action	ActionColorGrid	6381-e772be69-e74d-4df6-8e82-7fcdcb2b7f97	1523986277068	5	{"lClicked":2,"mouseX":777,"mouseY":165,"condition":{"name":"FAR"}}
action	ActionColorGrid	6381-e772be69-e74d-4df6-8e82-7fcdcb2b7f97	1523986311419	6	{"lClicked":1,"mouseX":460,"mouseY":85,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	6381-e772be69-e74d-4df6-8e82-7fcdcb2b7f97	1523986353526	7	{"lClicked":0,"mouseX":180,"mouseY":130,"condition":{"name":"FAR"}}
action	ActionColorGrid	6381-e772be69-e74d-4df6-8e82-7fcdcb2b7f97	1523986393600	8	{"lClicked":0,"mouseX":115,"mouseY":60,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6381-e772be69-e74d-4df6-8e82-7fcdcb2b7f97	1523986413564	9	{"lClicked":0,"mouseX":157,"mouseY":175,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	6381-e772be69-e74d-4df6-8e82-7fcdcb2b7f97	1523986426278	10	{"lClicked":2,"mouseX":816,"mouseY":132,"condition":{"name":"SPLIT"}}
