eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523986552674	1	{"lClicked":1,"mouseX":476,"mouseY":77,"condition":{"name":"FAR"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523986617792	2	{"lClicked":1,"mouseX":500,"mouseY":205,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523986646381	3	{"lClicked":0,"mouseX":166,"mouseY":162,"condition":{"name":"FAR"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523986659922	4	{"lClicked":2,"mouseX":700,"mouseY":186,"condition":{"name":"FAR"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523986731317	5	{"lClicked":0,"mouseX":99,"mouseY":121,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523986763169	6	{"lClicked":0,"mouseX":144,"mouseY":177,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523986782334	7	{"lClicked":1,"mouseX":413,"mouseY":101,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523986824055	8	{"lClicked":0,"mouseX":224,"mouseY":148,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523986938179	9	{"lClicked":0,"mouseX":180,"mouseY":119,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523986973671	10	{"lClicked":1,"mouseX":363,"mouseY":147,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523987014360	11	{"lClicked":0,"mouseX":123,"mouseY":89,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523987038567	12	{"lClicked":0,"mouseX":125,"mouseY":56,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523987065227	13	{"lClicked":2,"mouseX":729,"mouseY":74,"condition":{"name":"FAR"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523987100114	14	{"lClicked":1,"mouseX":443,"mouseY":198,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523987119507	15	{"lClicked":1,"mouseX":350,"mouseY":93,"condition":{"name":"FAR"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523987138906	16	{"lClicked":1,"mouseX":509,"mouseY":142,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523987159401	17	{"lClicked":1,"mouseX":444,"mouseY":62,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523987190376	18	{"lClicked":0,"mouseX":148,"mouseY":61,"condition":{"name":"FAR"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523987245743	19	{"lClicked":2,"mouseX":665,"mouseY":165,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523987261751	20	{"lClicked":0,"mouseX":121,"mouseY":72,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523987274878	21	{"lClicked":0,"mouseX":197,"mouseY":119,"condition":{"name":"FAR"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523987286191	22	{"lClicked":2,"mouseX":818,"mouseY":160,"condition":{"name":"FAR"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523987304790	23	{"lClicked":0,"mouseX":137,"mouseY":90,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523987351365	24	{"lClicked":0,"mouseX":179,"mouseY":110,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523987369500	25	{"lClicked":1,"mouseX":365,"mouseY":85,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523987388980	26	{"lClicked":1,"mouseX":474,"mouseY":228,"condition":{"name":"FAR"}}
action	ActionColorGrid	7216-460382d4-3246-45d0-a241-751eac1380bc	1523987465357	27	{"lClicked":1,"mouseX":518,"mouseY":116,"condition":{"name":"SPLIT"}}
