eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523987371473	1	{"lClicked":1,"mouseX":415,"mouseY":145,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523987435925	2	{"lClicked":2,"mouseX":714,"mouseY":211,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523987449815	3	{"lClicked":0,"mouseX":78,"mouseY":65,"condition":{"name":"FAR"}}
action	ActionColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523987471504	4	{"lClicked":0,"mouseX":145,"mouseY":179,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523987492959	5	{"lClicked":1,"mouseX":394,"mouseY":82,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523987513305	6	{"lClicked":1,"mouseX":454,"mouseY":145,"condition":{"name":"FAR"}}
action	ActionColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523987551567	7	{"lClicked":1,"mouseX":491,"mouseY":238,"condition":{"name":"FAR"}}
action	ActionColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523987590033	8	{"lClicked":0,"mouseX":138,"mouseY":202,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523987608767	9	{"lClicked":0,"mouseX":185,"mouseY":127,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523987704734	10	{"lClicked":0,"mouseX":231,"mouseY":255,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523987745720	11	{"lClicked":2,"mouseX":744,"mouseY":209,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523987837099	12	{"lClicked":1,"mouseX":433,"mouseY":185,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523987867967	13	{"lClicked":1,"mouseX":518,"mouseY":190,"condition":{"name":"FAR"}}
action	ActionColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523988049100	14	{"lClicked":0,"mouseX":207,"mouseY":140,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523988075859	15	{"lClicked":0,"mouseX":141,"mouseY":159,"condition":{"name":"FAR"}}
action	ActionColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523988110990	16	{"lClicked":1,"mouseX":490,"mouseY":249,"condition":{"name":"FAR"}}
action	ActionColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523988164051	17	{"lClicked":0,"mouseX":166,"mouseY":210,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5402-8813ac48-67df-460d-89d0-5f2537ab1a23	1523988214929	18	{"lClicked":1,"mouseX":514,"mouseY":134,"condition":{"name":"CLOSE"}}
