eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	7020-223d401a-dc24-452c-8abd-bb8b8ea95004	1523997274234	1	{"lClicked":0,"mouseX":135,"mouseY":140,"condition":{"name":"FAR"}}
action	ActionColorGrid	7020-223d401a-dc24-452c-8abd-bb8b8ea95004	1523997309436	2	{"lClicked":2,"mouseX":783,"mouseY":207,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7020-223d401a-dc24-452c-8abd-bb8b8ea95004	1523997334182	3	{"lClicked":0,"mouseX":179,"mouseY":146,"condition":{"name":"FAR"}}
action	ActionColorGrid	7020-223d401a-dc24-452c-8abd-bb8b8ea95004	1523997355314	4	{"lClicked":1,"mouseX":486,"mouseY":86,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7020-223d401a-dc24-452c-8abd-bb8b8ea95004	1523997384383	5	{"lClicked":0,"mouseX":191,"mouseY":137,"condition":{"name":"FAR"}}
action	ActionColorGrid	7020-223d401a-dc24-452c-8abd-bb8b8ea95004	1523997396869	6	{"lClicked":0,"mouseX":193,"mouseY":67,"condition":{"name":"FAR"}}
action	ActionColorGrid	7020-223d401a-dc24-452c-8abd-bb8b8ea95004	1523997433806	7	{"lClicked":2,"mouseX":730,"mouseY":123,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7020-223d401a-dc24-452c-8abd-bb8b8ea95004	1523997461028	8	{"lClicked":1,"mouseX":483,"mouseY":108,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	7020-223d401a-dc24-452c-8abd-bb8b8ea95004	1523997510556	9	{"lClicked":1,"mouseX":459,"mouseY":153,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7020-223d401a-dc24-452c-8abd-bb8b8ea95004	1523997529380	10	{"lClicked":0,"mouseX":112,"mouseY":97,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	7020-223d401a-dc24-452c-8abd-bb8b8ea95004	1523997567295	11	{"lClicked":2,"mouseX":758,"mouseY":167,"condition":{"name":"SPLIT"}}
