eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998305118	1	{"lClicked":0,"mouseX":197,"mouseY":184,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998414598	2	{"lClicked":1,"mouseX":498,"mouseY":191,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998466803	3	{"lClicked":2,"mouseX":716,"mouseY":80,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998521748	4	{"lClicked":0,"mouseX":238,"mouseY":189,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998560828	5	{"lClicked":1,"mouseX":510,"mouseY":161,"condition":{"name":"FAR"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998589102	6	{"lClicked":2,"mouseX":803,"mouseY":127,"condition":{"name":"FAR"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998609614	7	{"lClicked":0,"mouseX":236,"mouseY":75,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998650247	8	{"lClicked":1,"mouseX":502,"mouseY":128,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998737073	9	{"lClicked":1,"mouseX":450,"mouseY":206,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998765997	10	{"lClicked":2,"mouseX":769,"mouseY":48,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998812915	11	{"lClicked":0,"mouseX":192,"mouseY":142,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998824671	12	{"lClicked":2,"mouseX":755,"mouseY":121,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998848077	13	{"lClicked":1,"mouseX":547,"mouseY":110,"condition":{"name":"FAR"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998878873	14	{"lClicked":2,"mouseX":786,"mouseY":123,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998902741	15	{"lClicked":1,"mouseX":479,"mouseY":190,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998935827	16	{"lClicked":2,"mouseX":806,"mouseY":143,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998990087	17	{"lClicked":0,"mouseX":153,"mouseY":222,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523999059977	18	{"lClicked":1,"mouseX":452,"mouseY":193,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523999089842	19	{"lClicked":0,"mouseX":258,"mouseY":96,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523999110987	20	{"lClicked":1,"mouseX":450,"mouseY":119,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523999132684	21	{"lClicked":1,"mouseX":458,"mouseY":131,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523999151048	22	{"lClicked":2,"mouseX":780,"mouseY":84,"condition":{"name":"SPLIT"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523999161325	23	{"lClicked":2,"mouseX":733,"mouseY":132,"condition":{"name":"FAR"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523999181124	24	{"lClicked":1,"mouseX":510,"mouseY":97,"condition":{"name":"FAR"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523999203110	25	{"lClicked":1,"mouseX":496,"mouseY":153,"condition":{"name":"FAR"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523999218203	26	{"lClicked":1,"mouseX":566,"mouseY":138,"condition":{"name":"FAR"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523999250904	27	{"lClicked":2,"mouseX":785,"mouseY":218,"condition":{"name":"CLOSE"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523999268450	28	{"lClicked":0,"mouseX":185,"mouseY":100,"condition":{"name":"FAR"}}
action	ActionColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523999320569	29	{"lClicked":0,"mouseX":166,"mouseY":111,"condition":{"name":"FAR"}}
