eventType	type	gameid	time	roundNum	state
state	StateColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576198777	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[314,23,50]},{"color":[158,8,50]},{"color":[304,64,50]},{"color":[157,93,50]},{"color":[157,21,50]},{"color":[88,98,50]},{"color":[193,89,50]},{"color":[45,95,50]},{"color":[278,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[13,30,50]},{"color":[123,83,50]},{"color":[113,10,50]},{"color":[309,64,50]},{"color":[329,35,50]},{"color":[89,32,50]},{"color":[160,32,50]},{"color":[355,28,50]},{"color":[159,47,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[115,41,50]},{"color":[284,31,50]},{"color":[207,35,50]},{"color":[72,53,50]},{"color":[256,55,50]},{"color":[28,54,50]},{"color":[230,27,50]},{"color":[231,90,50]},{"color":[65,55,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576260272	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[319,87,50]},{"color":[238,8,50]},{"color":[334,38,50]},{"color":[41,1,50]},{"color":[201,96,50]},{"color":[17,16,50]},{"color":[63,34,50]},{"color":[116,18,50]},{"color":[84,42,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[328,69,50]},{"color":[249,18,50]},{"color":[318,25,50]},{"color":[150,4,50]},{"color":[188,50,50]},{"color":[5,48,50]},{"color":[134,52,50]},{"color":[173,25,50]},{"color":[79,80,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[314,56,50]},{"color":[278,6,50]},{"color":[285,17,50]},{"color":[206,40,50]},{"color":[200,59,50]},{"color":[12,62,50]},{"color":[76,71,50]},{"color":[72,11,50]},{"color":[96,39,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576324507	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[252,15,50]},{"color":[349,8,50]},{"color":[284,44,50]},{"color":[37,96,50]},{"color":[86,47,50]},{"color":[50,77,50]},{"color":[38,52,50]},{"color":[219,51,50]},{"color":[122,36,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[283,9,50]},{"color":[297,1,50]},{"color":[337,24,50]},{"color":[30,86,50]},{"color":[97,27,50]},{"color":[46,83,50]},{"color":[43,51,50]},{"color":[209,74,50]},{"color":[73,63,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[245,7,50]},{"color":[15,18,50]},{"color":[269,26,50]},{"color":[44,75,50]},{"color":[144,70,50]},{"color":[70,55,50]},{"color":[49,85,50]},{"color":[205,8,50]},{"color":[112,78,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576362603	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[70,77,50]},{"color":[140,53,50]},{"color":[224,70,50]},{"color":[200,40,50]},{"color":[330,66,50]},{"color":[49,39,50]},{"color":[306,46,50]},{"color":[161,98,50]},{"color":[130,51,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[88,46,50]},{"color":[81,26,50]},{"color":[250,27,50]},{"color":[202,82,50]},{"color":[287,78,50]},{"color":[82,51,50]},{"color":[277,23,50]},{"color":[152,44,50]},{"color":[102,61,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[99,67,50]},{"color":[97,19,50]},{"color":[216,81,50]},{"color":[210,47,50]},{"color":[299,80,50]},{"color":[66,75,50]},{"color":[340,31,50]},{"color":[101,59,50]},{"color":[80,69,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576433381	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[357,6,50]},{"color":[273,22,50]},{"color":[44,48,50]},{"color":[148,46,50]},{"color":[279,10,50]},{"color":[254,63,50]},{"color":[176,41,50]},{"color":[33,21,50]},{"color":[84,88,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[352,1,50]},{"color":[282,87,50]},{"color":[40,18,50]},{"color":[141,64,50]},{"color":[293,15,50]},{"color":[229,86,50]},{"color":[191,86,50]},{"color":[49,49,50]},{"color":[65,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[219,14,50]},{"color":[302,38,50]},{"color":[27,44,50]},{"color":[167,49,50]},{"color":[354,0,50]},{"color":[248,33,50]},{"color":[193,71,50]},{"color":[86,17,50]},{"color":[114,76,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576486605	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[309,8,50]},{"color":[75,90,50]},{"color":[55,0,50]},{"color":[241,16,50]},{"color":[270,2,50]},{"color":[29,36,50]},{"color":[337,95,50]},{"color":[346,98,50]},{"color":[314,56,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[99,82,50]},{"color":[241,44,50]},{"color":[353,25,50]},{"color":[7,87,50]},{"color":[317,62,50]},{"color":[139,38,50]},{"color":[178,49,50]},{"color":[98,73,50]},{"color":[140,48,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[98,26,50]},{"color":[205,53,50]},{"color":[278,85,50]},{"color":[46,68,50]},{"color":[83,20,50]},{"color":[330,1,50]},{"color":[132,89,50]},{"color":[333,10,50]},{"color":[256,95,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576533676	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[113,77,50]},{"color":[184,58,50]},{"color":[22,47,50]},{"color":[71,8,50]},{"color":[52,57,50]},{"color":[210,43,50]},{"color":[47,19,50]},{"color":[236,4,50]},{"color":[276,67,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[206,90,50]},{"color":[282,36,50]},{"color":[134,9,50]},{"color":[46,70,50]},{"color":[165,87,50]},{"color":[94,25,50]},{"color":[275,17,50]},{"color":[52,72,50]},{"color":[44,14,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[329,94,50]},{"color":[163,77,50]},{"color":[162,60,50]},{"color":[20,63,50]},{"color":[310,7,50]},{"color":[309,93,50]},{"color":[351,57,50]},{"color":[334,81,50]},{"color":[194,24,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
state	StateColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576565274	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[258,9,50]},{"color":[156,62,50]},{"color":[175,50,50]},{"color":[316,62,50]},{"color":[232,5,50]},{"color":[19,36,50]},{"color":[247,86,50]},{"color":[252,50,50]},{"color":[241,91,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[101,81,50]},{"color":[264,73,50]},{"color":[203,60,50]},{"color":[163,31,50]},{"color":[258,36,50]},{"color":[82,46,50]},{"color":[197,36,50]},{"color":[13,4,50]},{"color":[44,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[288,66,50]},{"color":[336,5,50]},{"color":[249,8,50]},{"color":[56,39,50]},{"color":[209,59,50]},{"color":[275,88,50]},{"color":[112,52,50]},{"color":[70,67,50]},{"color":[319,45,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576643536	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[80,8,50]},{"color":[33,29,50]},{"color":[143,56,50]},{"color":[38,0,50]},{"color":[322,65,50]},{"color":[243,64,50]},{"color":[217,28,50]},{"color":[211,43,50]},{"color":[301,60,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[186,16,50]},{"color":[19,58,50]},{"color":[82,33,50]},{"color":[257,18,50]},{"color":[297,68,50]},{"color":[271,66,50]},{"color":[217,57,50]},{"color":[202,79,50]},{"color":[271,78,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[140,5,50]},{"color":[14,36,50]},{"color":[121,24,50]},{"color":[218,24,50]},{"color":[304,28,50]},{"color":[259,77,50]},{"color":[223,93,50]},{"color":[203,48,50]},{"color":[288,67,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7396-5f1763e1-18c0-4544-9a33-d03be5418d97	1523576674506	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[281,62,50]},{"color":[221,21,50]},{"color":[50,95,50]},{"color":[229,46,50]},{"color":[74,20,50]},{"color":[292,43,50]},{"color":[342,31,50]},{"color":[251,90,50]},{"color":[271,18,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[178,77,50]},{"color":[23,13,50]},{"color":[273,59,50]},{"color":[3,41,50]},{"color":[346,41,50]},{"color":[84,38,50]},{"color":[113,26,50]},{"color":[270,8,50]},{"color":[46,93,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[213,9,50]},{"color":[0,64,50]},{"color":[38,43,50]},{"color":[107,55,50]},{"color":[67,83,50]},{"color":[220,73,50]},{"color":[220,32,50]},{"color":[177,55,50]},{"color":[80,43,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
