eventType	type	gameid	time	roundNum	state
state	StateColorGrid	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652473716	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[124,83,50]},{"color":[6,29,50]},{"color":[307,95,50]},{"color":[169,67,50]},{"color":[322,55,50]},{"color":[126,64,50]},{"color":[274,42,50]},{"color":[119,96,50]},{"color":[196,11,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[85,48,50]},{"color":[28,33,50]},{"color":[322,95,50]},{"color":[160,54,50]},{"color":[322,80,50]},{"color":[128,80,50]},{"color":[254,52,50]},{"color":[102,73,50]},{"color":[221,47,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[88,83,50]},{"color":[346,4,50]},{"color":[329,67,50]},{"color":[179,96,50]},{"color":[348,39,50]},{"color":[146,59,50]},{"color":[289,65,50]},{"color":[119,55,50]},{"color":[212,5,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652539488	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[241,96,50]},{"color":[238,74,50]},{"color":[231,26,50]},{"color":[63,80,50]},{"color":[225,20,50]},{"color":[50,31,50]},{"color":[17,10,50]},{"color":[157,7,50]},{"color":[14,8,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[262,85,50]},{"color":[278,90,50]},{"color":[205,22,50]},{"color":[53,45,50]},{"color":[222,2,50]},{"color":[33,45,50]},{"color":[71,8,50]},{"color":[202,37,50]},{"color":[288,0,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[10,1,50]},{"color":[3,90,50]},{"color":[3,40,50]},{"color":[228,37,50]},{"color":[151,26,50]},{"color":[195,43,50]},{"color":[168,71,50]},{"color":[259,30,50]},{"color":[158,86,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652560365	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[82,64,50]},{"color":[124,69,50]},{"color":[8,37,50]},{"color":[23,67,50]},{"color":[156,18,50]},{"color":[266,16,50]},{"color":[298,82,50]},{"color":[45,57,50]},{"color":[258,30,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[61,83,50]},{"color":[149,43,50]},{"color":[28,31,50]},{"color":[3,47,50]},{"color":[102,22,50]},{"color":[266,26,50]},{"color":[311,73,50]},{"color":[65,33,50]},{"color":[280,54,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[205,93,50]},{"color":[201,19,50]},{"color":[235,84,50]},{"color":[196,55,50]},{"color":[239,92,50]},{"color":[176,79,50]},{"color":[317,13,50]},{"color":[96,83,50]},{"color":[135,58,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652595678	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[236,48,50]},{"color":[283,25,50]},{"color":[213,82,50]},{"color":[150,60,50]},{"color":[268,4,50]},{"color":[275,63,50]},{"color":[11,92,50]},{"color":[331,83,50]},{"color":[34,27,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[238,88,50]},{"color":[272,10,50]},{"color":[204,69,50]},{"color":[164,78,50]},{"color":[193,5,50]},{"color":[246,62,50]},{"color":[351,60,50]},{"color":[337,18,50]},{"color":[14,47,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[232,39,50]},{"color":[242,31,50]},{"color":[216,26,50]},{"color":[132,77,50]},{"color":[343,1,50]},{"color":[253,87,50]},{"color":[355,70,50]},{"color":[343,42,50]},{"color":[17,8,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652611164	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[163,68,50]},{"color":[230,79,50]},{"color":[112,90,50]},{"color":[128,57,50]},{"color":[79,20,50]},{"color":[134,44,50]},{"color":[192,62,50]},{"color":[235,93,50]},{"color":[35,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[136,52,50]},{"color":[229,24,50]},{"color":[77,56,50]},{"color":[102,21,50]},{"color":[130,32,50]},{"color":[81,23,50]},{"color":[184,72,50]},{"color":[250,55,50]},{"color":[23,72,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[274,50,50]},{"color":[179,98,50]},{"color":[211,14,50]},{"color":[210,79,50]},{"color":[180,33,50]},{"color":[2,35,50]},{"color":[257,50,50]},{"color":[106,63,50]},{"color":[134,10,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652635752	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[277,41,50]},{"color":[25,59,50]},{"color":[332,47,50]},{"color":[297,6,50]},{"color":[158,5,50]},{"color":[290,25,50]},{"color":[137,8,50]},{"color":[147,30,50]},{"color":[132,35,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[172,5,50]},{"color":[210,14,50]},{"color":[37,93,50]},{"color":[168,37,50]},{"color":[172,60,50]},{"color":[173,40,50]},{"color":[318,61,50]},{"color":[216,6,50]},{"color":[6,92,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[342,52,50]},{"color":[209,67,50]},{"color":[48,92,50]},{"color":[135,36,50]},{"color":[181,48,50]},{"color":[164,85,50]},{"color":[277,16,50]},{"color":[273,3,50]},{"color":[22,51,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652673700	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[351,3,50]},{"color":[55,40,50]},{"color":[145,38,50]},{"color":[171,62,50]},{"color":[138,95,50]},{"color":[332,43,50]},{"color":[145,7,50]},{"color":[217,91,50]},{"color":[129,63,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[234,14,50]},{"color":[49,76,50]},{"color":[122,79,50]},{"color":[174,35,50]},{"color":[114,66,50]},{"color":[185,4,50]},{"color":[193,13,50]},{"color":[266,56,50]},{"color":[95,58,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[297,13,50]},{"color":[43,31,50]},{"color":[74,47,50]},{"color":[185,63,50]},{"color":[69,64,50]},{"color":[277,43,50]},{"color":[107,13,50]},{"color":[252,94,50]},{"color":[99,74,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652687769	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[3,52,50]},{"color":[281,47,50]},{"color":[275,93,50]},{"color":[353,67,50]},{"color":[71,15,50]},{"color":[262,63,50]},{"color":[135,72,50]},{"color":[337,70,50]},{"color":[271,59,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[302,82,50]},{"color":[328,1,50]},{"color":[26,3,50]},{"color":[225,99,50]},{"color":[350,66,50]},{"color":[312,20,50]},{"color":[24,86,50]},{"color":[11,79,50]},{"color":[205,55,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[228,68,50]},{"color":[89,18,50]},{"color":[261,19,50]},{"color":[164,50,50]},{"color":[173,83,50]},{"color":[104,21,50]},{"color":[236,22,50]},{"color":[273,6,50]},{"color":[113,48,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652731692	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[344,65,50]},{"color":[200,2,50]},{"color":[175,31,50]},{"color":[162,17,50]},{"color":[190,47,50]},{"color":[16,96,50]},{"color":[338,15,50]},{"color":[288,49,50]},{"color":[243,26,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[8,46,50]},{"color":[86,17,50]},{"color":[164,57,50]},{"color":[192,11,50]},{"color":[206,25,50]},{"color":[25,56,50]},{"color":[291,6,50]},{"color":[304,70,50]},{"color":[219,87,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[340,55,50]},{"color":[52,8,50]},{"color":[136,34,50]},{"color":[119,8,50]},{"color":[200,85,50]},{"color":[31,78,50]},{"color":[242,16,50]},{"color":[330,80,50]},{"color":[259,62,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652784000	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[21,79,50]},{"color":[332,61,50]},{"color":[3,35,50]},{"color":[317,49,50]},{"color":[262,86,50]},{"color":[198,58,50]},{"color":[240,14,50]},{"color":[62,24,50]},{"color":[330,92,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[115,12,50]},{"color":[53,72,50]},{"color":[275,83,50]},{"color":[224,13,50]},{"color":[195,6,50]},{"color":[130,19,50]},{"color":[339,42,50]},{"color":[330,98,50]},{"color":[115,88,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[118,45,50]},{"color":[73,61,50]},{"color":[263,77,50]},{"color":[41,5,50]},{"color":[295,31,50]},{"color":[55,5,50]},{"color":[304,70,50]},{"color":[323,93,50]},{"color":[146,76,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
